index_hex,snes_addr,old_label,new_label,category,word_count,byte_count,text_preview
00B,B688A4,DATA16_B688A4,Text_00B_Diary_WorkHardAgainTomorrow,Diary,38,76,I'll work hard again tomorrow.
00D,B68972,DATA16_B68972,Text_00D_Diary_GoodNight,Diary,12,24,Good night.
01A,B695A4,DATA16_B695A4,Text_01A_Festival_TellMeWorkingNewYears,Festival,74,148,No: don't tell me you are working on New Years' Day. Just relax today.
01D,B6978C,DATA16_B6978C,Text_01D_Weather_NailedDownThedoorPrepareHurricane,Weather,67,134,Oh yes: I've nailed down thedoor to prepare for the hurricane.
034,B69FE0,DATA16_B69FE0,Text_034_Dialog_OpenSomethingsStuck,Dialog,47,94,I can't open it. something's stuck.
035,B6A03E,DATA16_B6A03E,Text_035_Dialog_HowsGoingWorkTooHard,Dialog,72,144,Hey: how's it going? Don't work too hard. Just take time.
036,B6A0CE,DATA16_B6A0CE,Text_036_Animal_AskFloristFlowersAskLivestock,Animal,125,250,Ask the florist for flowers and ask the livestock delaerfor livestock. Better ask Mrs. Fortune-teller for girls.
037,B6A1C8,DATA16_B6A1C8,Text_037_Church_HangAroundListenPriest,Church,50,100,Don't hang around. Listen to the priest.
038,B6A22C,DATA16_B6A22C,Text_038_Dialog_OffTodayKeepUpAll,Dialog,74,148,You are off today: aren't you? We can't keep it up all the time.
039,B6A2C0,DATA16_B6A2C0,Text_039_Weather_PeopleTownTalkDifferentlyAccording,Weather,82,164,People in town talk differently according to theweather: day: and season.
03A,B6A364,DATA16_B6A364,Text_03A_Animal_EverybodyHasDifferentIdeasHappiness,Animal,204,408,Everybody has different ideas on what happiness means:right? I guess the best thing is to do what you want to do. But it's probably not real happiness when you annoy someone or are blamed.
03B,B6A4FC,DATA16_B6A4FC,Text_03B_Sign_WorkingHardHaveChatFriends,Sign,132,264,You are working so hard. You should have a chat with your friends or go to mountains... to relax once in a while.
03C,B6A604,DATA16_B6A604,Text_03C_Church_ChurchDedicatedGodCropsSuggest,Church,87,174,This church is dedicated to the God of the crops. I suggest you pray faithfully.
03D,B6A6B2,DATA16_B6A6B2,Text_03D_Dialog_LikeTakingMyTimeReading,Dialog,75,150,I like taking my time reading books.That's one of my happiest times.
03E,B6A748,DATA16_B6A748,Text_03E_Sign_HaveHeardWaterImpSomeone,Sign,82,164,Have you heard of the water imp? Someone has seen it in the pond of the mountain.
03F,B6A7EC,DATA16_B6A7EC,Text_03F_Dialog_ThinkBadThingsIfDiscovered,Dialog,215,430,Don't think it's OK to do bad things if it's not discovered. No one is perfect. We all make mistakes. That's the way we are. But it's wrong to not feel guilty about what you've done wrong.
040,B6A99A,DATA16_B6A99A,Text_040_Romance_WonderIfDaughterAnncanGet,Romance,62,124,I wonder if our daughter Anncan get married living like that.
041,B6AA16,DATA16_B6AA16,Text_041_Animal_HowsWorkGoingSomeWild,Animal,85,170,Hi: how's your work going? There are some wild dogs: so you should fix the fence.
042,B6AAC0,DATA16_B6AAC0,Text_042_Church_BelieveGodExistsBelieve,Church,55,110,I believe God exists. You believe it: don't you?
043,B6AB2E,DATA16_B6AB2E,Text_043_Dialog_StrangeAlwaysNowNothingAll,Dialog,97,194,Hey: it's strange. She is always here by now. .....oh no: it's nothing at all.
044,B6ABF0,DATA16_B6ABF0,Text_044_Dialog_TakingWalkTooImportantGet,Dialog,151,302,Hi. Are you taking a walk too? It's important to get afew days off. Working hard till late at night will drive you crazy: mentally and physically.
045,B6AD1E,DATA16_B6AD1E,Text_045_Romance_HelpMyselfWorryingAboutAnn,Romance,180,360,I just can't help myself worrying about Ann so much. Mr. <CTRL_FFFD>eh: you are of the same generation as Ann. What do you think of her? ....oh: sorry. Maybe I'm a little confused.
046,B6AE86,DATA16_B6AE86,Text_046_Shop_AlwaysLookFineBagSeed,Shop,99,198,Hello. You always look fine.The bag of seed for sowing. It's convenient to buy a few bags at once.
047,B6AF4C,DATA16_B6AF4C,Text_047_Dialog_GrassGrowsAutumnYoudontHave,Dialog,71,142,Grass grows in Autumn so youdon't have to mow much before Winter.
048,B6AFDA,DATA16_B6AFDA,Text_048_Romance_MayEveryoneGiveKindnessEveryone,Romance,49,98,May everyone give kindness to everyone else....
049,B6B03C,DATA16_B6B03C,Text_049_Dialog_Entry,Dialog,5,10,....
04A,B6B046,DATA16_B6B046,Text_04A_Sign_ShopClosedSaturdaysBathingInthe,Sign,75,150,What? The shop is closed on Saturdays. So I'm bathing inthe sun. Nice:huh?
04B,B6B0DC,DATA16_B6B0DC,Text_04B_Weather_KindDarkRainyDaysFeels,Weather,129,258,It's kind of dark on rainy days....feels slightly lonely:doesn't it? But the rain is good when itcomes to producing crops.
04C,B6B1DE,DATA16_B6B1DE,Text_04C_Dialog_CoincidenceHavingMealToday,Dialog,54,108,What a coincidence. Are you having a meal here today?
04D,B6B24A,DATA16_B6B24A,Text_04D_Dialog_EasyWorkSteadilyButWorthwhile,Dialog,68,136,It's not easy to work steadily but it's worthwhile.
04E,B6B2D2,DATA16_B6B2D2,Text_04E_Church_HopeBusinessBetterBetterGod,Church,107,214,Hope business will be better:it will be better .... What? Isn't it the God of business? Oh:well.
04F,B6B3A8,DATA16_B6B3A8,Text_04F_Diary_GoodBatheSunEatWork,Diary,100,200,It's good to bathe in the sun. Eat well and work hard.Good health is the foundation of happiness.
050,B6B470,DATA16_B6B470,Text_050_Animal_EatSomethingTiredCakesBest,Animal,81,162,Eat something when you are tired. Our cakes are the best to get more energy.
051,B6B512,DATA16_B6B512,Text_051_Dialog_HowdyYoungBoysWhatsUp,Dialog,37,74,"Howdy:young boys, What's up?....hic."
052,B6B55C,DATA16_B6B55C,Text_052_Animal_HicWorkingLikeDogOnly,Animal,57,114,...hic:working like a dog is not the only way to live.
053,B6B5CE,DATA16_B6B5CE,Text_053_Dialog_MyRoutineTakeWalkSundays,Dialog,65,130,It's my routine to take a walk on Sundays so it's OK with me.
054,B6B650,DATA16_B6B650,Text_054_Weather_StartedRainingNowGeeWas,Weather,107,214,Oh no:it started raining now...gee: I was going to work. Well:I can do nothing but stay home today.
055,B6B726,DATA16_B6B726,Text_055_Weather_SayingMatterIfRainsWork,Weather,83,166,"What are you saying? It doesn't matter if It rains to do our work here,"
056,B6B7CC,DATA16_B6B7CC,Text_056_Dialog_UlpSooooGreatShesOut,Dialog,77,154,"ulp...soooo...great, She's out.I can relax as much as I want:yeah."
057,B6B866,DATA16_B6B866,Text_057_Church_CalmInsideChurchManyPeople,Church,102,204,You can be calm inside the church.Not many people here:you know. It's crowded on holidays though.
058,B6B932,DATA16_B6B932,Text_058_Animal_FeltTimeWentSlowlyWas,Animal,131,262,I felt time went by slowly when I was young. Now time goes by too fast and one year seems short. It's strange:really.
059,B6BA38,DATA16_B6BA38,Text_059_Animal_HaveSympathyPeopleKindPeople,Animal,136,272,Have sympathy for people. When you are kind to people:they give you kindness in return. Animals are the same as us for sure.
05A,B6BB48,DATA16_B6BB48,Text_05A_Dialog_NecessarilyRightWrongDailyIncidents,Dialog,92,184,It's not necessarily right or wrong. Daily incidents are neither. It's up to you:really.
05B,B6BC00,DATA16_B6BC00,Text_05B_Weather_KnowConsumeYourstaminaRainyDay,Weather,83,166,I know it won't consume yourstamina on a rainy day but you should be off. Really.
05C,B6BCA6,DATA16_B6BCA6,Text_05C_Animal_ToughTakeCareCowsTake,Animal,163,326,It's tough to take care of cows.Take good care of them so that they do not get sick.My note is right there so read it carefully so you can avoid any diseases.
05D,B6BDEC,DATA16_B6BDEC,Text_05D_Animal_HensLayEggsPutCage,Animal,146,292,Hey:do your hens lay eggs? Put them in the cage. And feed them every day. They won't lay eggs for <CTRL_B5>days after you miss a feeding.
05E,B6BF10,DATA16_B6BF10,Text_05E_Weather_YoungBoyPutLivestockInside,Weather,87,174,"Hey:young boy, Put your livestock inside the pen before the weather gets worse,"
05F,B6BFBE,DATA16_B6BFBE,Text_05F_Animal_KnowCowsGiveMoreMilk,Animal,177,354,"You know:cows give you more milk when you take good careof them with love. ..hey:are you listening to me? They will like you and good calves will be born ...listen to me:boy,"
060,B6C120,DATA16_B6C120,Text_060_Dialog_RedoLifeMightHaveSecond,Dialog,93,186,You can't redo your life. You might not have the second chance. Think before you act.
061,B6C1DA,DATA16_B6C1DA,Text_061_Church_AskingIfGotoChurchGod,Church,116,232,Are you asking if I don't goto church? God is everywhereand He is nowhere: you know. Hee-hee-hee.
062,B6C2C2,DATA16_B6C2C2,Text_062_Romance_TheresUsefulBookOverAbout,Romance,75,150,There's a useful book over there: about girls:I wrote it.Better read it.
063,B6C358,DATA16_B6C358,Text_063_Sign_AlsoMidwifeKnowMayorsDaughter,Sign,127,254,I'm also a midwife.You know:the mayor's daughter Maria and the grocery shop owner's daughter Ann I delivered them all.
064,B6C456,DATA16_B6C456,Text_064_Dialog_GrownUpsAlwaysMakeRule,Dialog,125,250,Grown-ups always make rule telling us to do this:do that:don't do this: don't do that.What hard workit is being a child.
065,B6C550,DATA16_B6C550,Text_065_Romance_HmmmLoveMariasSisterCantbe,Romance,60,120,Hmmm...is he in love with Maria's sister? ....it can'tbe.
066,B6C5C8,DATA16_B6C5C8,Text_066_Sign_GatherManyThingsIntheMountain,Sign,127,254,We can gather many things inthe mountain.I want to sell them but they won't allow a little kid to go to the mountains alone.
067,B6C6C6,DATA16_B6C6C6,Text_067_Dialog_GotDate,Dialog,45,90,"Please:please, I've got a date."
068,B6C720,DATA16_B6C720,Text_068_Romance_YoudBetterReadBookWritten,Romance,127,254,You'd better read the book written by Mrs. Fortune-teller many times. It's pretty hard to capture a girl's heart.
069,B6C81E,DATA16_B6C81E,Text_069_Dialog_YeahWelcomeMakeYourselfatHome,Dialog,37,74,Yeah: welcome. Make yourselfat home.
06A,B6C868,DATA16_B6C868,Text_06A_Shop_ThingsGirlsLikeFlowersSweets,Shop,101,202,Things girls like are flowers and sweets:right? I'm saving money to buy a present for Maria.
06B,B6C932,DATA16_B6C932,Text_06B_Romance_LoveMariaWishMyBride,Romance,64,128,I love Maria.I wish she would be my bride in the future.
