index_hex,snes_addr,bank,label,category,text_preview
000,B68000,B6,Text_Forecast_Spring_Sunny,Weather,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.
001,B680D8,B6,Text_Forecast_Summer_Sunny,Weather,It's been hot recently. The weather forecast for tomorrow is fair.
002,B6816C,B6,Text_Forecast_Fall_Sunny,Weather,The autumn mountains are beautifully colored The skywill be clear and blue tomorrow.
003,B6821E,B6,Text_Forecast_Winter_Sunny,Weather,It's getting colder day by day but how are you doing? It'll be fair tomorrow.
004,B682BE,B6,Text_Forecast_Spring_Rain,Weather,Hello. The weather forecast for tomorrow is that it'll begin to rain at midnight and will be rainy for the whole day.
005,B683B0,B6,Text_Forecast_Summer_Rain,Weather,This is the weather forecastfor tomorrow. It'll start torain hard in the morning with lightening in some places.
006,B6849A,B6,Text_Forecast_Fall_Rain,Weather,It's getting cooler everyday. It'll be raining for the whole day tomorrow.
007,B68542,B6,Text_Forecast_Winter_Snow,Weather,It's pretty cold now. The weather forecast for tomorrow is snow.
008,B685D6,B6,Text_Forecast_Summer_Hurricane,Weather,"Here's the hurricane information. The hurricane is becoming stronger and is getting nearer. Please don't forget to keep all thelivestock inside,"
009,B6870C,B6,Text_LogBook,Animal,Latest funds <CTRL_FFFC>hb<CTRL_B2>G Cow <CTRL_FFFC>cc Chicken <CTRL_FFFC>cd Dog <CTRL_FFFD>eb Horse <CTRL_FFFD>ec
00A,B68802,B6,Text_Diary,Diary,Shall I write in my diary before I go to bed? Yes No<CHOICE_OR_WAIT>c
00B,B688A4,B6,Text_00B_Diary_WorkHardAgainTomorrow,Diary,I'll work hard again tomorrow.
00C,B688F0,B6,Text_Diary2,Diary,I'm going to bed. Oh: I've got something to do.<CHOICE_OR_WAIT>c
00D,B68972,B6,Text_00D_Diary_GoodNight,Diary,Good night.
00E,B6898A,B6,Text_Sign_House_Expansion,Sign,"""Allocated land for the annex of the house"" Necessary Materials <CTRL_FFFC>depiece"
00F,B68A46,B6,Text_Manual_Sickle,Manual,"""Sickle"" Cut the grass to make feed, It's the feed for cows and chickens. I would be thrown into a pinch if it's gone."
010,B68B5E,B6,Text_Manual_Hoe,Manual,"""Hoe"" Plow the ground to make a field. Raise vegetables in the field. Try various ways to make thefield."
011,B68C68,B6,Text_Manual_Axe,Manual,"""Axe"" Split logs to make lumber. Lumber is useful. Focus on one point and hit. Don't enter the control pad."
012,B68D6E,B6,Text_Manual_Hammer,Manual,"""Hammer"" Breaks rocks and breaks fences down. Big rocks can be knocked down when focusing on one spot. Don't ever enter the control pad."
013,B68EC6,B6,Text_Manual_Can,Weather,"""Watering can"" Water the crops. Once a day.No watering is necessary on rainy days. Dip up water at a well or a pond when it runs out."
014,B69006,B6,Text_Manual_Milker,Manual,"""Milker"" Milk cows and ship the milk."
015,B69078,B6,Text_Manual_Brush,Manual,"""Brush"" Brushing raises the cows' level of affection. A cow with High affection gives a lot of milk."
016,B69172,B6,Text_Manual_Bell,Manual,"""Bell"" A tool used to herd cows. Look at the cows carefully and move them properly."
017,B69248,B6,Text_Manual_CropSeeds,Manual,"""Vegetable seeds"" Sowing season is different. Ask the florist for the proper season. Seeds must be sown in the field. They won't bud without watering."
018,B693A8,B6,Text_Manual_GrassSeeds,Manual,"""Grass seeds"" Sow the field from spring tosummer. It grows without watering. The Meadow must be ready forraising cows and chickens. Grass is ready for mowing when it turns a deep green."
019,B6953E,B6,Text_Manual_Paint,Dialog,"""Paint"" Paint the house right."
01A,B695A4,B6,Text_01A_Festival_TellMeWorkingNewYears,Festival,No: don't tell me you are working on New Years' Day. Just relax today.
01B,B69638,B6,Text_Sign_Wood,Sign,Latest materials <CTRL_FFFC>dfpiece Split logs and collect them.
01C,B696E2,B6,Text_Sign_Fodder,Sign,Feed <CTRL_FFFC>dgpiece Mow grass to make more feed.
01D,B6978C,B6,Text_01D_Weather_NailedDownThedoorPrepareHurricane,Weather,Oh yes: I've nailed down thedoor to prepare for the hurricane.
01E,B69812,B6,Text_Sign_Fork,Sign,Neighbor town Back hill
01F,B69860,B6,Text_Sign_Mountain_Top,Sign,to the top
020,B69878,B6,Text_Sign_Hotspring,Sign,Get undressed here.
021,B698A0,B6,Text_Sign_Cave,Sign,"Dangerous, Easy to collapse,"
022,B698DA,B6,Text_Sign_Workmans,Sign,workman's House Call us for annex <$0040> extension Closed on weekends and holidays.
023,B69982,B6,Text_Bachellorete_Diary,Diary,"Found the diary, Read Not read<CHOICE_OR_WAIT>c"
024,B699F2,B6,Text_Mayor_House_Bookcase1,Church,"""Myths of Gods"" There are lots of difficult books."
025,B69A70,B6,Text_Mayor_House_Bookcase2,Town,"""History <$0040> Myths"" There's a lot others too."
026,B69ADC,B6,Text_Mayor_House_Bookcase3,Church,"""Simple lessons from God"" ""Happiness lies in life"""
027,B69B46,B6,Text_Flowershop_Rooms_Bookcase,Sign,"""Plants"" ""Artistic Flowers"""
028,B69BA4,B6,Text_Bar_Bookcase,Shop,"""Cocktails: Best <CTRL_B3><CTRL_B2><CTRL_B2>"" ""How to make berry juice"""
029,B69C10,B6,Text_Restaurant_Bookcase,Shop,"""Tasty Cakes"" ""Dishes for today"""
02A,B69C6E,B6,Text_GeneralStore_Rooms_Bookcase,Shop,"""Get into invention"" ""Daily life and groceries"""
02B,B69CDC,B6,Text_WitchHouse_Bookcase,Town,"""Encyclopedia of fortune telling "" ""Heart pounding compatibility of partner"""
02C,B69D94,B6,Text_Carpenters_Bookcase,Town,"""House and living"" ""We are carpenters"""
02D,B69DF4,B6,Text_Shop_Closed,Sign,"""We're closed"""
02E,B69E12,B6,Text_Bar_Closed,Sign,"""We're preparing"""
02F,B69E36,B6,Text_Cow_Talk,Animal,Yes:<CTRL_FFFD>ed: good girl You look fine today.
030,B69E96,B6,Text_Cow_Talk_Cranky,Animal,<CTRL_FFFD>ee looks cranky.
031,B69EBA,B6,Text_Cow_Talk_Sick,Animal,"<CTRL_FFFD>ef is sick, I've got to give .... medicine right away,"
032,B69F52,B6,Text_Cow_Talk_Pregnant,Animal,<CTRL_FFFC>ch more days for delivery. Come on <CTRL_FFFD>eg.
033,B69FA6,B6,Text_Elf_Cave_Door_Closed,Sign,I can't open it.It's locked.
034,B69FE0,B6,Text_034_Dialog_OpenSomethingsStuck,Dialog,I can't open it. something's stuck.
