bank,bank_file,label,snes_addr,source_line,word_count,byte_count,terminated,text
B6,bank_B6.asm,Text_Forecast_Spring_Sunny,B68000,5,108,216,True,"Hello: this is the weather  forecast for tomorrow.      It'll be sunny and calm
for the whole day tomorrow."
B6,bank_B6.asm,Text_Forecast_Summer_Sunny,B680D8,20,74,148,True,It's been hot recently.     The weather forecast for    tomorrow is fair.
B6,bank_B6.asm,Text_Forecast_Fall_Sunny,B6816C,31,89,178,True,"The autumn mountains are    beautifully colored  The skywill be clear and blue
tomorrow."
B6,bank_B6.asm,Text_Forecast_Winter_Sunny,B6821E,44,80,160,True,It's getting colder day by  day but how are you doing?  It'll be fair tomorrow.
B6,bank_B6.asm,Text_Forecast_Spring_Rain,B682BE,55,121,242,True,"Hello. The weather forecast for tomorrow is that it'll  begin to rain at midnight
and will be rainy for the   whole day."
B6,bank_B6.asm,Text_Forecast_Summer_Rain,B683B0,72,117,234,True,"This is the weather forecastfor tomorrow. It'll start torain hard in the morning
with lightening in some     places."
B6,bank_B6.asm,Text_Forecast_Fall_Rain,B6849A,88,84,168,True,It's getting cooler         everyday. It'll be raining  for the whole day tomorrow.
B6,bank_B6.asm,Text_Forecast_Winter_Snow,B68542,100,74,148,True,It's pretty cold now.       The weather forecast for    tomorrow is snow.
B6,bank_B6.asm,Text_Forecast_Summer_Hurricane,B685D6,111,155,310,True,"Here's the hurricane        information. The hurricane  is becoming stronger and
is getting nearer. Please   don't forget to keep all thelivestock inside,"
B6,bank_B6.asm,Text_LogBook,B6870C,132,123,246,True,"Latest funds                         <CTRL_FFFC>hb<CTRL_B2>G
Cow     <CTRL_FFFC>cc                  Chicken <CTRL_FFFC>cd
Dog     <CTRL_FFFD>eb                Horse   <CTRL_FFFD>ec"
B6,bank_B6.asm,Text_Diary,B68802,149,81,162,False,"Shall I write in my diary   before I go to bed?
 Yes                         No<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_00B_Diary_WorkHardAgainTomorrow,B688A4,161,38,76,True,I'll work hard again        tomorrow.
B6,bank_B6.asm,Text_Diary2,B688F0,167,65,130,False, I'm going to bed.           Oh: I've got something      to do.<CHOICE_OR_WAIT>c
B6,bank_B6.asm,Text_00D_Diary_GoodNight,B68972,177,12,24,True,Good night.
B6,bank_B6.asm,Text_Sign_House_Expansion,B6898A,180,94,188,True,"""Allocated land for the     annex of the house""
Necessary Materials                  <CTRL_FFFC>depiece"
B6,bank_B6.asm,Text_Manual_Sickle,B68A46,193,140,280,True,"""Sickle""                    Cut the grass to make feed,
It's the feed for cows and  chickens. I would be thrown into a pinch if
it's gone."
