index_hex,bank,snes_addr,label,category,max_words,old_bytes,edited_words,edited_bytes,delta_words,delta_bytes,status,repoint_label,suggested_pointer_line,note
000,B6,B68000,Text_Forecast_Spring_Sunny,Weather,108,216,,,,,UNCHANGED,,,
001,B6,B680D8,Text_Forecast_Summer_Sunny,Weather,74,148,,,,,UNCHANGED,,,
002,B6,B6816C,Text_Forecast_Fall_Sunny,Weather,89,178,,,,,UNCHANGED,,,
003,B6,B6821E,Text_Forecast_Winter_Sunny,Weather,80,160,,,,,UNCHANGED,,,
004,B6,B682BE,Text_Forecast_Spring_Rain,Weather,121,242,,,,,UNCHANGED,,,
005,B6,B683B0,Text_Forecast_Summer_Rain,Weather,117,234,,,,,UNCHANGED,,,
006,B6,B6849A,Text_Forecast_Fall_Rain,Weather,84,168,,,,,UNCHANGED,,,
007,B6,B68542,Text_Forecast_Winter_Snow,Weather,74,148,,,,,UNCHANGED,,,
008,B6,B685D6,Text_Forecast_Summer_Hurricane,Weather,155,310,,,,,UNCHANGED,,,
009,B6,B6870C,Text_LogBook,Animal,123,246,,,,,UNCHANGED,,,
00A,B6,B68802,Text_Diary,Diary,81,162,,,,,UNCHANGED,,,
00B,B6,B688A4,Text_00B_Diary_WorkHardAgainTomorrow,Diary,38,76,33,66,-5,-10,INPLACE_OK,,,Fits original block budget. Repoint not required.
00C,B6,B688F0,Text_Diary2,Dialog,65,130,,,,,UNCHANGED,,,
00D,B6,B68972,Text_00D_Diary_GoodNight,Diary,12,24,,,,,UNCHANGED,,,
00E,B6,B6898A,Text_Sign_House_Expansion,Sign,94,188,,,,,UNCHANGED,,,
00F,B6,B68A46,Text_Manual_Sickle,Manual,140,280,,,,,UNCHANGED,,,
010,B6,B68B5E,Text_Manual_Hoe,Manual,133,266,,,,,UNCHANGED,,,
011,B6,B68C68,Text_Manual_Axe,Manual,131,262,,,,,UNCHANGED,,,
012,B6,B68D6E,Text_Manual_Hammer,Manual,172,344,,,,,UNCHANGED,,,
013,B6,B68EC6,Text_Manual_Can,Manual,160,320,,,,,UNCHANGED,,,
014,B6,B69006,Text_Manual_Milker,Manual,57,114,,,,,UNCHANGED,,,
015,B6,B69078,Text_Manual_Brush,Manual,125,250,,,,,UNCHANGED,,,
016,B6,B69172,Text_Manual_Bell,Manual,107,214,,,,,UNCHANGED,,,
017,B6,B69248,Text_Manual_CropSeeds,Manual,176,352,,,,,UNCHANGED,,,
018,B6,B693A8,Text_Manual_GrassSeeds,Manual,203,406,,,,,UNCHANGED,,,
019,B6,B6953E,Text_Manual_Paint,Manual,51,102,,,,,UNCHANGED,,,
01A,B6,B695A4,Text_01A_Festival_TellMeWorkingNewYears,Festival,74,148,,,,,UNCHANGED,,,
01B,B6,B69638,Text_Sign_Wood,Sign,85,170,,,,,UNCHANGED,,,
01C,B6,B696E2,Text_Sign_Fodder,Sign,85,170,,,,,UNCHANGED,,,
01D,B6,B6978C,Text_01D_Weather_NailedDownThedoorPrepareHurricane,Weather,67,134,,,,,UNCHANGED,,,
01E,B6,B69812,Text_Sign_Fork,Sign,39,78,,,,,UNCHANGED,,,
01F,B6,B69860,Text_Sign_Mountain_Top,Sign,12,24,,,,,UNCHANGED,,,
020,B6,B69878,Text_Sign_Hotspring,Sign,20,40,,,,,UNCHANGED,,,
021,B6,B698A0,Text_Sign_Cave,Sign,29,58,,,,,UNCHANGED,,,
022,B6,B698DA,Text_Sign_Workmans,Sign,84,168,,,,,UNCHANGED,,,
023,B6,B69982,Text_Bachellorete_Diary,Diary,56,112,,,,,UNCHANGED,,,
024,B6,B699F2,Text_Mayor_House_Bookcase1,Mayor,63,126,,,,,UNCHANGED,,,
025,B6,B69A70,Text_Mayor_House_Bookcase2,Mayor,54,108,,,,,UNCHANGED,,,
026,B6,B69ADC,Text_Mayor_House_Bookcase3,Mayor,53,106,,,,,UNCHANGED,,,
027,B6,B69B46,Text_Flowershop_Rooms_Bookcase,Flowershop,47,94,,,,,UNCHANGED,,,
028,B6,B69BA4,Text_Bar_Bookcase,Shop,54,108,,,,,UNCHANGED,,,
029,B6,B69C10,Text_Restaurant_Bookcase,Restaurant,47,94,,,,,UNCHANGED,,,
02A,B6,B69C6E,Text_GeneralStore_Rooms_Bookcase,GeneralStore,55,110,,,,,UNCHANGED,,,
02B,B6,B69CDC,Text_WitchHouse_Bookcase,WitchHouse,92,184,,,,,UNCHANGED,,,
02C,B6,B69D94,Text_Carpenters_Bookcase,Carpenters,48,96,,,,,UNCHANGED,,,
02D,B6,B69DF4,Text_Shop_Closed,Shop,15,30,145,290,130,260,REPOINT_NEEDED,Text_Repoint_02D_Shop_Closed,        dl Text_Repoint_02D_Shop_Closed                     ; replaces $02D Text_Shop_Closed,Too long for original block; needs pointer redirection and reviewed free/expanded space.
02E,B6,B69E12,Text_Bar_Closed,Shop,18,36,,,,,UNCHANGED,,,
02F,B6,B69E36,Text_Cow_Talk,Animal,48,96,,,,,UNCHANGED,,,
030,B6,B69E96,Text_Cow_Talk_Cranky,Animal,18,36,,,,,UNCHANGED,,,
031,B6,B69EBA,Text_Cow_Talk_Sick,Animal,76,152,,,,,UNCHANGED,,,
032,B6,B69F52,Text_Cow_Talk_Pregnant,Animal,42,84,,,,,UNCHANGED,,,
033,B6,B69FA6,Text_Elf_Cave_Door_Closed,Elf,29,58,,,,,UNCHANGED,,,
034,B6,B69FE0,Text_034_Dialog_OpenSomethingsStuck,Dialog,47,94,,,,,UNCHANGED,,,
