map_id_hex,map_id_dec,label,definition_address,table_comment,graphic_preset,screen_config_or_flag,unknown_0181,unknown_0182,tilemap_count,charactermap_count,dl_asset_count,dl_assets,tilemap_pngs
00,0,MapFarmSpring,80AB3C,,00,80E0,04,04,3,1,4,92D3AB;938000;939E8E;A18000,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
01,1,MapFarmSummer,80AB5F,,00,80E0,04,04,3,1,4,92D3AB;938000;939E8E;A18000,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
02,2,MapFarmFall,80AB82,,00,80E0,04,04,3,1,4,9282CB;929D10;92BB03;A18000,tilemaps/Tilemap0x9282cb.png;tilemaps/Tilemap0x929d10.png;tilemaps/Tilemap0x92bb03.png
03,3,MapFarmWinter,80ABA5,,00,80E0,04,04,3,1,4,93B736;93D049;93E12B;A18000,tilemaps/Tilemap0x93b736.png;tilemaps/Tilemap0x93d049.png;tilemaps/Tilemap0x93e12b.png
04,4,MapTownSpring,80ABC8,,00,8060,04,04,3,1,4,97B45F;998000;999A74;A38000,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x998000.png;tilemaps/Tilemap0x999a74.png
05,5,MapTownSummer,80ABEB,,00,8060,04,04,3,1,4,97B45F;97CD20;97E7A2;A38000,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x97cd20.png;tilemaps/Tilemap0x97e7a2.png
06,6,MapTownFall,80AC0E,,00,8060,04,04,3,1,4,97B45F;988000;989A52;A38000,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x988000.png;tilemaps/Tilemap0x989a52.png
07,7,MapTownWinter,80AC31,,00,8060,04,04,3,1,4,99DCBD;9A8000;9A9921;A38000,tilemaps/Tilemap0x99dcbd.png;tilemaps/Tilemap0x9a8000.png;tilemaps/Tilemap0x9a9921.png
08,8,MapFlowerFestival,80AC54,,00,0060,02,02,3,1,4,97B45F;998000;99AEC3;A4D379,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x998000.png;tilemaps/Tilemap0x99aec3.png
09,9,MapHarvestFestival,80AC77,,00,0060,02,02,3,1,4,97B45F;988000;98AEDB;A4C5DE,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x988000.png;tilemaps/Tilemap0x98aedb.png
0A,10,MapStarNightFestivalSquare,80AC9A,,00,0060,02,02,3,1,4,99DCBD;9A8000;9AAEAB;A58327,tilemaps/Tilemap0x99dcbd.png;tilemaps/Tilemap0x9a8000.png;tilemaps/Tilemap0x9aaeab.png
