item_id_hex,item_id_dec,working_name,action_ptr_snes,action_ptr_word,anim_ptr_snes,shipping_tile_or_action_value_hex,shipping_value_raw,shop_text_id_hex,shop_text_label,shop_text_preview,direct_sell_value_raw,tile_interaction_type_hex,use_sound_flag
00,0,None / empty hand,,FFFF,FFFFFF,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,00,0
01,1,Mushroom / generic carried item 01,8180FE,80FE,819876,00,15,358,Text_358_Mountain_MushroomAboutGMoneyH,Mushroom. How about <CTRL_B4><CTRL_B2><CTRL_B2>G for it? Yes No Money <CTRL_FFFC>h.<CTRL_B2>G<CHOICE_OR_WAIT>c,20,01,1
02,2,Poisonous mushroom / generic carried item 02,818102,8102,81989A,00,20,359,Text_359_Animal_PoisonousMushroomMedicineCompoundedAbout,It's a poisonous mushroom. It can be a medicine when it's compounded well. How about <CTRL_B5><CTRL_B2><CTRL_B2>G for it? Yes No Money <CTRL_FFFC>h?<CTRL_B2>G<CHOICE_OR_WAIT>c,30,01,1
03,3,Wild grape / generic carried item 03,818106,8106,8198BE,00,15,35B,Text_35B_Mountain_AhBerryWildGrapeSmells,Ah: it's a berry of wild grape. Smells good. How about <CTRL_B4><CTRL_B2><CTRL_B2>G for it? Yes No Money <CTRL_FFFC>h!<CTRL_B2>G<CHOICE_OR_WAIT>c,20,01,1
04,4,Tropical fruit / generic carried item 04,81810A,810A,8198E2,00,20,35C,Text_35C_Dialog_BoyTropicalFruitAboutG,Oh boy: it's a tropical fruit:isn't it? How about <CTRL_B5><CTRL_B2><CTRL_B2>G for it? Yes No Money <CTRL_FFFC>h:<CTRL_B2>G<CHOICE_OR_WAIT>c,30,01,1
05,5,Fullmoon Plant berry / rare mountain item,81810E,810E,819906,00,60,35D,Text_35D_Shop_AhRareThingAberryFullmoon,"Ah:what a rare thing, It's aberry of Fullmoon Plant. I'm buying it for <$00B8><CTRL_B2><CTRL_B2>G but how about it? Yes No Money <CTRL_FFFC>h<$003B><CTRL_B2>G<CHOICE_OR_WAIT>c",60,03,1
06,6,Unknown carried item 06; shop text 0313 special case,818112,8112,81992A,00,0,313,Text_313_Dialog_SorryButAccept,Sorry but we can't accept that.,0,00,0
07,7,Fish,818116,8116,81994E,00,30,35E,Text_35E_Shop_VeryFreshFishBuyingG,It's a very fresh fish. I'm buying it for <CTRL_B5><CTRL_B2><CTRL_B2>G but how about it? Yes No Money <CTRL_FFFC>h<$003C><CTRL_B2>G<CHOICE_OR_WAIT>c,30,00,0
08,8,Unknown carried item 08,81811A,811A,819972,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,00,1
09,9,Unknown carried item 09,81811E,811E,819996,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,02,1
0A,10,Unknown carried item 0A,818122,8122,8199BA,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,02,1
0B,11,Unknown carried item 0B,81811E,811E,819996,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,02,1
0C,12,Unknown carried item 0C,81811E,811E,819996,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,01,1
0D,13,Placed/field item candidate 0D,818126,8126,8199DE,10,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,02,1
0E,14,Placed/field item candidate 0E,81812A,812A,819A02,10,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,02,1
0F,15,Placed/field item candidate 0F,81812E,812E,819A26,14,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,02,1
10,16,Corn,818132,8132,819A4A,00,12,353,Text_353_Shop_CornBuyingGButMoney,Corn? Well...I'm buying it for <CTRL_B4><$00B6><CTRL_B2>G but is it OK? Yes No Money <CTRL_FFFC>hX<CTRL_B2>G<CHOICE_OR_WAIT>c,24,4C,1
11,17,Tomato,81814A,814A,819A6E,00,10,354,Text_354_Shop_RipenedTomatoBuyingGBut,Yes:it's a well ripened tomato. I'm buying it for <CTRL_B4><CTRL_B2><CTRL_B2>G but is it OK? Yes No Money <CTRL_FFFC>hY<CTRL_B2>G<CHOICE_OR_WAIT>c,20,32,1
12,18,Potato,818162,8162,819A92,00,8,355,Text_355_Shop_PotatoBuyingGButMoney,Potato? Well:I'm buying it for <CTRL_B3><$00B8><CTRL_B2>G but is it OK? Yes No Money <CTRL_FFFC>hZ<CTRL_B2>G<CHOICE_OR_WAIT>caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,16,07,1
13,19,Turnip,81817A,817A,819AB6,00,6,356,Text_356_Shop_TurnipGoodShapeBuyingG,Turnip? Good shape:isn't it? I'm buying it for <CTRL_B3><CTRL_B4><CTRL_B2>G but is it OK? Yes No Money <CTRL_FFFC>h'<CTRL_B2>G<CHOICE_OR_WAIT>c,12,07,1
14,20,Egg,818192,8192,819ADA,00,5,357,Text_357_Animal_FreshEggBuyingGBut,"Isn't it a fresh egg? I'm buying it for <CTRL_B3><CTRL_B2><CTRL_B2>G but is itOK? Yes No Money <CTRL_FFFC>h,<CTRL_B2>G<CHOICE_OR_WAIT>c",10,2E,0
15,21,Milk S / milk item candidate,818196,8196,819AFE,00,15,350,Text_350_Animal_MilkBuyingGdoAgreeMoney,Milk? I'm buying it for <CTRL_B4><CTRL_B2><CTRL_B2>GDo you agree? Yes No Money <CTRL_FFFC>hU<CTRL_B2>G<CHOICE_OR_WAIT>c,20,00,0
16,22,Milk M / milk item candidate,81819A,819A,819B22,00,25,351,Text_351_Animal_MilkBuyingGbutMoneyHv,Milk? I'm buying it for <CTRL_B5><CTRL_B2><CTRL_B2>Gbut is it OK? Yes No Money <CTRL_FFFC>hV<CTRL_B2>G<CHOICE_OR_WAIT>c,30,00,0
17,23,Milk L / milk item candidate,81819E,819E,819B46,00,35,352,Text_352_Animal_MilkBuyingGbutMoneyHw,Milk? I'm buying it for <$00B6><CTRL_B2><CTRL_B2>Gbut is it OK? Yes No Money <CTRL_FFFC>hW<CTRL_B2>G<CHOICE_OR_WAIT>c,40,00,0
18,24,Good herb / herb item,8181A2,81A2,819B6A,00,20,35A,Text_35A_Dialog_GoodHerbAboutGMoney,"Oh yes:it's a good herb. Well: how about <CTRL_B4><CTRL_B2><CTRL_B2>G for it? Yes No Money <CTRL_FFFC>h""<CTRL_B2>G<CHOICE_OR_WAIT>c",20,20,1
19,25,Chicken feed when carried from shed,8181A6,81A6,819FA2,00,0,313,Text_313_Dialog_SorryButAccept,Sorry but we can't accept that.,0,01,1
1A,26,Cow feed when carried from shed,8181AA,81AA,819B8E,99,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,00,1
1B,27,,8181AE,81AE,819BB2,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,12,0
1C,28,,8181C8,81C8,819BD6,00,0,,Text_Forecast_Spring_Sunny,Hello: this is the weather forecast for tomorrow. It'll be sunny and calm for the whole day tomorrow.,0,12,0
