component_id_dec,component_id_hex,graphics_bank,source_addr,top_row_bytes,bottom_row_bytes,nonzero_bytes,referenced_by_gobj_metadata,example_gobj_ids,replacement_risk
0,$000,$88,$888000,$888000-$88803F,$888200-$88823F,60,36,$0000 $0000 $0000 $0000,used
1,$001,$88,$888040,$888040-$88807F,$888240-$88827F,0,75,$0039 $0039 $003B $003B,used
2,$002,$88,$888080,$888080-$8880BF,$888280-$8882BF,0,20,$0044 $0060 $0071 $0095,used
3,$003,$88,$8880C0,$8880C0-$8880FF,$8882C0-$8882FF,0,21,$003C $003C $0044 $0064,used
4,$004,$88,$888100,$888100-$88813F,$888300-$88833F,57,31,$0001 $0001 $0001 $0001,used
5,$005,$88,$888140,$888140-$88817F,$888340-$88837F,0,31,$003A $003A $003D $003D,used
6,$006,$88,$888180,$888180-$8881BF,$888380-$8883BF,29,21,$0044 $0044 $0060 $0060,used
7,$007,$88,$8881C0,$8881C0-$8881FF,$8883C0-$8883FF,0,28,$0044 $0044 $0060 $0060,used
8,$008,$88,$888200,$888200-$88823F,$888400-$88843F,124,31,$0000 $0000 $0005 $0044,used
9,$009,$88,$888240,$888240-$88827F,$888440-$88847F,62,54,$0000 $0044 $0056 $0056,used
10,$00A,$88,$888280,$888280-$8882BF,$888480-$8884BF,62,18,$0000 $0044 $0060 $0071,used
11,$00B,$88,$8882C0,$8882C0-$8882FF,$8884C0-$8884FF,61,23,$0002 $0044 $0060 $0067,used
12,$00C,$88,$888300,$888300-$88833F,$888500-$88853F,118,19,$0001 $0001 $0006 $0044,used
13,$00D,$88,$888340,$888340-$88837F,$888540-$88857F,61,12,$0001 $0044 $0060 $0071,used
14,$00E,$88,$888380,$888380-$8883BF,$888580-$8885BF,90,23,$0001 $0044 $0044 $0060,used
15,$00F,$88,$8883C0,$8883C0-$8883FF,$8885C0-$8885FF,0,34,$0044 $0044 $0060 $0060,used
16,$010,$88,$888400,$888400-$88843F,$888600-$88863F,120,26,$0002 $0002 $0002 $0002,used
17,$011,$88,$888440,$888440-$88847F,$888640-$88867F,122,16,$000D $0045 $0091 $00B6,used
18,$012,$88,$888480,$888480-$8884BF,$888680-$8886BF,122,25,$0003 $0003 $0045 $0061,used
19,$013,$88,$8884C0,$8884C0-$8884FF,$8886C0-$8886FF,122,16,$0045 $0061 $0061 $0092,used
20,$014,$88,$888500,$888500-$88853F,$888700-$88873F,115,31,$0003 $0003 $0045 $0062,used
21,$015,$88,$888540,$888540-$88857F,$888740-$88877F,119,28,$0045 $0062 $0092 $00B6,used
22,$016,$88,$888580,$888580-$8885BF,$888780-$8887BF,119,25,$0004 $0004 $000A $000A,used
23,$017,$88,$8885C0,$8885C0-$8885FF,$8887C0-$8887FF,0,30,$0004 $0004 $0045 $0045,used
24,$018,$88,$888600,$888600-$88863F,$888800-$88883F,56,24,$0002 $0002 $0007 $0045,used
