gobj_id_dec,gobj_id_hex,pointer_bank,anim_sequence,frame_entries,loop_or_reset,terminates_FE,max_components_per_frame,unique_component_count,graphics_banks,component_ids_sample,parse_notes
0,$0000,$86,$868544,5,True,False,2,4,88,$00 $08 $09 $0A,
1,$0001,$86,$868552,5,True,False,2,4,88,$04 $0C $0D $0E,
2,$0002,$86,$868560,5,True,False,2,4,88,$0B $10 $18 $19,
3,$0003,$86,$86856E,5,True,False,2,5,88,$12 $14 $1A $1C $1D,
4,$0004,$86,$86857C,5,True,False,2,5,88,$16 $17 $1E $1F $20,
5,$0005,$86,$86858A,2,True,False,2,2,88,$00 $08,
6,$0006,$86,$86858F,2,True,False,2,2,88,$04 $0C,
7,$0007,$86,$868594,2,True,False,2,2,88,$10 $18,
8,$0008,$86,$868599,5,True,False,2,5,88,$24 $25 $2C $2D $2E,
9,$0009,$86,$8685A7,3,True,False,2,4,88,$24 $27 $2C $2F,
10,$000A,$86,$8685AF,5,True,False,2,5,88,$16 $30 $38 $39 $3A,
11,$000B,$86,$8685BD,3,True,False,2,4,88,$30 $33 $38 $3B,
12,$000C,$86,$8685C5,5,True,False,2,6,88,$34 $35 $36 $3C $3D $3E,
13,$000D,$86,$8685D3,3,True,False,3,5,88,$11 $26 $31 $32 $3F,
14,$000E,$86,$8685DB,5,True,False,2,5,88,$21 $22 $29 $2A $2B,
15,$000F,$86,$8685E9,4,True,False,2,3,88,$25 $2D $2E,
16,$0010,$86,$8685F4,4,True,False,2,3,88,$16 $39 $3A,
17,$0011,$86,$8685FF,4,True,False,2,4,88,$35 $36 $3D $3E,
18,$0012,$86,$86860A,2,True,False,2,2,88,$25 $2E,
19,$0013,$86,$86860F,2,True,False,2,2,88,$16 $3A,
20,$0014,$86,$868614,2,True,False,2,2,88,$36 $3E,
21,$0015,$86,$868619,9,True,False,4,16,88,$40 $42 $43 $44 $45 $46 $47 $48 $49 $4A $4B $4C $4D $4E $4F $58,
22,$0016,$86,$868633,9,True,False,4,12,88,$45 $46 $47 $4D $4E $4F $58 $61 $62 $69 $6A $6B,
23,$0017,$86,$86864D,5,True,False,2,5,88,$24 $2C $70 $78 $79,
24,$0018,$86,$86865B,7,True,False,3,12,88,$40 $42 $43 $44 $45 $48 $49 $4A $4B $4C $4D $58,
25,$0019,$86,$86866F,5,True,False,4,10,88,$40 $45 $46 $47 $48 $49 $4D $4E $4F $58,
26,$001A,$86,$86867D,4,True,False,2,4,88,$30 $38 $72 $7A,
27,$001B,$86,$868688,9,True,False,3,14,88,$51 $53 $54 $55 $56 $57 $58 $59 $5A $5B $5C $5D $5E $5F,
28,$001C,$86,$8686A2,9,True,False,3,11,88,$56 $57 $58 $5E $5F $64 $65 $66 $6C $6D $6E,
29,$001D,$86,$8686BC,5,True,False,2,5,88,$30 $38 $67 $6F $71,
30,$001E,$86,$8686CA,7,True,False,3,12,88,$51 $53 $54 $55 $56 $58 $59 $5A $5B $5C $5D $5E,
31,$001F,$86,$8686DE,5,True,False,3,8,88,$51 $56 $57 $58 $59 $5A $5E $5F,
32,$0020,$86,$8686EC,9,True,False,6,6,88,$74 $75 $76 $77 $7B $7C,
33,$0021,$86,$868706,9,True,False,3,13,88,$98 $A1 $A2 $A3 $A4 $A5 $A6 $A9 $AA $AB $AC $AD $AE,
34,$0022,$86,$868720,9,True,False,3,11,88,$91 $92 $93 $98 $99 $9A $9B $A5 $A6 $AD $AE,
35,$0023,$86,$86873A,5,True,False,3,6,88,$31 $32 $B3 $B5 $BB $BC,
36,$0024,$86,$868748,7,True,False,3,11,88,$98 $A1 $A2 $A3 $A4 $A5 $A9 $AA $AB $AC $AD,
37,$0025,$86,$86875C,5,True,False,3,7,88,$98 $A1 $A5 $A6 $A9 $AD $AE,
38,$0026,$86,$86876A,9,True,False,6,6,88,$8E $90 $96 $9C $9D $9E,
39,$0027,$86,$868784,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $F0,
40,$0028,$86,$8687A1,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $F1,
41,$0029,$86,$8687BE,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $D0,
42,$002A,$86,$8687DB,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $D1,
43,$002B,$86,$8687F8,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $D2,
