offset,dec,save_source,load_target,summary_target,notes
$0000,0,!year,!year,!year,8-bit year counter
$0001,1,!season,!season,!season,8-bit season
$0002,2,!weekday,!weekday,,8-bit weekday
$0003,3,!day,!day,!day,8-bit day of season
$0004,4,!seeds_grass_N,!seeds_grass_N,,grass seed count
$0005,5,!seeds_corn_N,!seeds_corn_N,,corn seed count
$0006,6,!seeds_tomato_N,!seeds_tomato_N,,tomato seed count
$0007,7,!seeds_potato_N,!seeds_potato_N,,potato seed count
$0008,8,!seeds_turnip_N,!seeds_turnip_N,,turnip seed count
$0009,9,!feed_cow_N,!feed_cow_N,,cow feed count
$000A,10,!feed_chicks_N,!feed_chicks_N,,chicken feed count
$000B,11,!cow_N,!cow_N,,cow count
$000C,12,!chicks_N,!chicks_N,,chicken count
$000D,13,!weather_tomorrow,!weather_tomorrow,,tomorrow weather
$000E,14,!max_stamina,!max_stamina,,max stamina
$000F,15,!tool_selected,!tool_selected,,selected tool
$0010,16,!watering_can_water,!watering_can_water,,watering can water
$0011,17,$7F1F12,$7F1F12,,unknown persistent byte
$0012,18,$7F1F2B,$7F1F2B,,unknown persistent byte
$0013,19,!dog_map,!dog_map,,dog map/location id
$0014,20,$7F1F31,$7F1F31,,unknown persistent byte
$0015,21,$7F1F32,$7F1F32,,unknown persistent byte
$0016,22,!development_rate,!development_rate,,farm development rate
$0017,23,!power_berry_N,!power_berry_N,,power berry count
$0018,24,$09A3,$09A3,,unknown WRAM value
$0019,25,$0937,$0937,,unknown WRAM value
$001A,26,!tool_backpack,!tool_backpack,,backpack tool
$002E,46,slot marker / checksum scratch,,,temporarily zeroed during checksum; also slot-state marker
$002F,47,checksum low/high,,,16-bit additive checksum starts here
$0031,49,!shipped_corn,!shipped_corn,,corn shipped count
$0033,51,!shipped_tomatoes,!shipped_tomatoes,,tomatoes shipped count
$0035,53,!shipped_turnips,!shipped_turnips,,turnips shipped count
$0037,55,!shipped_potatoes,!shipped_potatoes,,potatoes shipped count
$0039,57,!moneyL,!moneyL,,money low 16 bits
$003B,59,!moneyH,!moneyH,,money high byte
$003C,60,ASCII FARM,ASCII FARM,FARM check,"valid slot signature bytes $46,$41,$52,$4D"
$0040,64,!stored_wood,!stored_wood,,stored wood
$0042,66,!stored_grass,!stored_grass,,stored grass/fodder
$0044,68,$0196,$0196,,unknown 16-bit value
$0046,70,!planted_grass,!planted_grass,,planted grass count
$0048,72,!hearts_maria,!hearts_maria,,Maria affection
$004A,74,!hearts_ann,!hearts_ann,,Ann affection
$004C,76,!hearts_nina,!hearts_nina,,Nina affection
$004E,78,!hearts_ellen,!hearts_ellen,,Ellen affection
$0050,80,!hearts_eve,!hearts_eve,,Eve affection
$0060,96,$7F1F64,$7F1F64,,unknown persistent word
$0062,98,$7F1F66,$7F1F66,,unknown persistent word
$0064,100,$7F1F68,$7F1F68,,unknown persistent word
$0066,102,$7F1F6A,$7F1F6A,,unknown persistent word
$0068,104,!dog_pos_X,!dog_pos_X,,dog X position
$006A,106,!dog_pos_Y,!dog_pos_Y,,dog Y position
$006C,108,!happiness,!happiness,,player/farm happiness
$006E,110,$7F1F45,$7F1F45,,unknown persistent word
$0070,112,$7F1F6C,$7F1F6C,,unknown persistent word
$0072,114,$7F1F6E,$7F1F6E,,unknown persistent word
$0074,116,$7F1F70,$7F1F70,,unknown persistent word
$0076,118,$7F1F72,$7F1F72,,unknown persistent word
$0078,120,!wife_pregnancy,!wife_pregnancy,,wife pregnancy state
$007A,122,!kid1_age,!kid1_age,,kid 1 age
$007C,124,!kid2_age,!kid2_age,,kid 2 age
$007E,126,!dog_hugs,!dog_hugs,,dog hug counter
$0080,128,!player_name_sort_1,!player_name_sort_1,!player_name_sort_1,player_name character 1
$0081,129,!player_name_sort_2,!player_name_sort_2,!player_name_sort_2,player_name character 2
$0082,130,!player_name_sort_3,!player_name_sort_3,!player_name_sort_3,player_name character 3
$0083,131,!player_name_sort_4,!player_name_sort_4,!player_name_sort_4,player_name character 4
$0084,132,!shed_items_row_1,!shed_items_row_1,,tool shed bitfield row
$0085,133,!shed_items_row_2,!shed_items_row_2,,tool shed bitfield row
