address,label,colors_count,delays,installer_refs,jump_target,self_loop,colors
$80:DD5B,PaletteAnimScript_DD5B,8,$10,1,$DD5B,yes,$7F79 $3A11 $6A8E $5E0D $6AD2 $5E0D $6A8E $3A11
$80:DD78,PaletteAnimScript_DD78,8,$10,1,$DD78,yes,$6AD2 $6A8E $5E0D $6AD2 $3A11 $6AD2 $5E0D $6A8E
$80:DD95,PaletteAnimScript_DD95,8,$10,1,$DD95,yes,$6A8E $5E0D $6AD2 $3A11 $5E0D $3A11 $6AD2 $5E0D
$80:DDB2,PaletteAnimScript_DDB2,8,$10,1,$DDB2,yes,$5E0D $6AD2 $4253 $5E0D $6A8E $5E0D $4253 $6AD2
$80:DDCF,PaletteAnimScript_DDCF,8,$10,1,$DDCF,yes,$539D $2E12 $1DFB $1D94 $2EFE $1D94 $1DFB $2E12
$80:DDEC,PaletteAnimScript_DDEC,8,$10,1,$DDEC,yes,$2EFE $1DFB $1D94 $2EFE $2E12 $2EFE $1D94 $1DFB
$80:DE09,PaletteAnimScript_DE09,8,$10,1,$DE09,yes,$1DFB $1D94 $2EFE $2E12 $1D94 $2E12 $2EFE $1D94
$80:DE26,PaletteAnimScript_DE26,8,$10,1,$DE26,yes,$1D94 $2EFE $2E74 $1DFB $1DFB $1DFB $2E74 $2EFE
$80:DE43,PaletteAnimScript_DE43,8,$10,1,$DE43,yes,$5A52 $314C $356B $2908 $5A52 $2908 $356B $314C
$80:DE60,PaletteAnimScript_DE60,8,$10,1,$DE60,yes,$45EF $49EF $2908 $5A52 $314C $5A52 $2908 $49EF
$80:DE7D,PaletteAnimScript_DE7D,8,$10,1,$DE7D,yes,$356B $394A $5A52 $314C $2908 $314C $5A52 $394A
$80:DE9A,PaletteAnimScript_DE9A,8,$10,1,$DE9A,yes,$2908 $5A52 $314C $356B $356B $356B $314C $5A52
$80:DEB7,PaletteAnimScript_DEB7,8,$10,1,$DEB7,yes,$456B $1CE7 $28E7 $2908 $456B $2908 $28E7 $1CE7
$80:DED4,PaletteAnimScript_DED4,8,$10,1,$DED4,yes,$3508 $3508 $28E7 $2908 $456B $2908 $28E7 $3508
$80:DEF1,PaletteAnimScript_DEF1,8,$10,1,$DEF1,yes,$28E7 $28E7 $456B $1CE7 $290B $1CE7 $456B $28E7
$80:DF0E,PaletteAnimScript_DF0E,8,$10,1,$DF0E,yes,$28C5 $456B $3508 $28E7 $1CE7 $28E7 $3508 $456B
$80:DF2B,PaletteAnimScript_DF2B,8,$10,1,$DF2B,yes,$7F99 $320F $5A8E $524D $62D2 $524D $5A8E $320F
$80:DF48,PaletteAnimScript_DF48,8,$10,1,$DF48,yes,$62D2 $5A8E $524D $62D2 $320F $62D2 $524D $5A8E
$80:DF65,PaletteAnimScript_DF65,8,$10,1,$DF65,yes,$5A8E $524D $62D2 $320F $5A8E $320F $62D2 $524D
$80:DF82,PaletteAnimScript_DF82,8,$10,1,$DF82,yes,$524D $62D2 $320F $5A8E $524D $5A8E $320F $62D2
$80:DF9F,PaletteAnimScript_DF9F,8,$10,1,$DF9F,yes,$23FE $2298 $11DB $029B $031F $029B $11DB $2298
$80:DFBC,PaletteAnimScript_DFBC,8,$10,1,$DFBC,yes,$031F $11DC $01B6 $031F $2276 $031F $01B6 $11DC
$80:DFD9,PaletteAnimScript_DFD9,8,$10,1,$DFD9,yes,$11DB $01B6 $031F $2276 $125F $2276 $031F $01B6
$80:DFF6,PaletteAnimScript_DFF6,8,$10,1,$DFF6,yes,$01B6 $031F $2276 $11DB $01B6 $11DB $2276 $031F
$80:E013,PaletteAnimScript_E013,8,$10,1,$E013,yes,$51CD $216B $496B $4587 $51CD $4587 $496B $216B
$80:E030,PaletteAnimScript_E030,8,$10,1,$E030,yes,$496B $496B $4587 $51CD $216B $51CD $4587 $496B
$80:E04D,PaletteAnimScript_E04D,8,$10,1,$E04D,yes,$11DB $01B6 $031F $2276 $125F $2276 $031F $01B6
$80:E06A,PaletteAnimScript_E06A,8,$10,1,$E06A,yes,$3507 $51CD $216B $696B $4587 $496B $216B $51CD
$80:E087,PaletteAnimScript_E087,8,$10,1,$E087,yes,$6140 $20C6 $4104 $30C0 $4564 $30C0 $4104 $20C6
$80:E0A4,PaletteAnimScript_E0A4,8,$10,1,$E0A4,yes,$4564 $4104 $30C0 $4564 $20C6 $4564 $30C0 $4104
$80:E0C1,PaletteAnimScript_E0C1,8,$10,1,$E0C1,yes,$4104 $30C0 $4564 $20C6 $4104 $20C6 $4564 $30C0
$80:E0DE,PaletteAnimScript_E0DE,8,$10,1,$E0DE,yes,$30C0 $4564 $20C6 $4104 $30C0 $4104 $20C6 $4564
$80:E0FB,PaletteAnimScript_E0FB,4,$08,1,$E0FB,yes,$0150 $0153 $0150 $0153
$80:E10C,PaletteAnimScript_E10C,4,$08,1,$E10C,yes,$09D7 $09D9 $09D7 $09D9
$80:E11D,PaletteAnimScript_E11D,4,$08,1,$E11D,yes,$029F $039F $029F $039F
$80:E12E,PaletteAnimScript_E12E,4,$08,1,$E12E,yes,$019C $029F $019C $029F
$80:E13F,PaletteAnimScript_E13F,4,$08,1,$E13F,yes,$0138 $019C $0138 $019C
$80:E150,PaletteAnimScript_E150,4,$08,1,$E150,yes,$00EA $011C $00EA $00EA
$80:E161,PaletteAnimScript_E161,4,$08,1,$E161,yes,$012D $012D $012D $013B
$80:E172,PaletteAnimScript_E172,2,$08,1,$E172,yes,$0048 $000C
$80:E17D,PaletteAnimScript_E17D,2,$08,1,$E17D,yes,$0017 $001A
$80:E188,PaletteAnimScript_E188,2,$08,1,$E188,yes,$001F $017F
$80:E193,PaletteAnimScript_E193,2,$08,1,$E193,yes,$01B4 $0219
$80:E19E,PaletteAnimScript_E19E,2,$08,1,$E19E,yes,$004C $0052
$80:E1A9,PaletteAnimScript_E1A9,2,$08,1,$E1A9,yes,$02BF $017F
$80:E1B4,PaletteAnimScript_E1B4,2,$08,1,$E1B4,yes,$009F $035F
$80:E1BF,PaletteAnimScript_E1BF,2,$08,1,$E1BF,yes,$029F $039F
$80:E1CA,PaletteAnimScript_E1CA,4,$08,1,$E1CA,yes,$218D $2E10 $2E10 $2E10
$80:E1DB,PaletteAnimScript_E1DB,4,$08,1,$E1DB,yes,$5F9C $5F7B $4AF9 $5F7B
$80:E1EC,PaletteAnimScript_E1EC,4,$08,1,$E1EC,yes,$4AF9 $4AF9 $261F $4AF9
$80:E1FD,PaletteAnimScript_E1FD,4,$08,1,$E1FD,yes,$261F $261F $053E $261F
$80:E20E,PaletteAnimScript_E20E,4,$08,1,$E20E,yes,$053E $261F $4AF9 $261F
$80:E21F,PaletteAnimScript_E21F,4,$08,1,$E21F,yes,$261F $4AF9 $4AF9 $4AF9
$80:E230,PaletteAnimScript_E230,4,$08,1,$E230,yes,$03BF $261F $03BF $261F
$80:E241,PaletteAnimScript_E241,4,$08,1,$E241,yes,$03BF $261F $053E $261F
$80:E252,PaletteAnimScript_E252,2,$08,1,$E252,yes,$123F $06BF
$80:E25D,PaletteAnimScript_E25D,2,$08,1,$E25D,yes,$0048 $004D
$80:E268,PaletteAnimScript_E268,2,$08,1,$E268,yes,$021F $013A
$80:E273,PaletteAnimScript_E273,2,$08,1,$E273,yes,$00FA $033F
$80:E27E,PaletteAnimScript_E27E,2,$08,1,$E27E,yes,$0048 $004F
$80:E289,PaletteAnimScript_E289,2,$08,1,$E289,yes,$1E9A $1F1F
$80:E294,PaletteAnimScript_E294,2,$08,1,$E294,yes,$021F $0037
$80:E29F,PaletteAnimScript_E29F,2,$08,1,$E29F,yes,$0019 $0025
$80:E2AA,PaletteAnimScript_E2AA,2,$08,1,$E2AA,yes,$2E7F $233F
