group_id_hex,group_label,master_entry_addr,group_table_addr,bank,table_size_hex,pointer_entries,unique_targets,repeated_entries,first_target,last_target,outside_same_bank,entry_first_byte_histogram
00,EventScriptGroup_00,$B38000,$B38BB8,$B3,$0110,136,135,1,$B38CC8,$B39313,0,$2F:52 $1B:35 $2B:22 $1A:21 $49:2 $13:2 $09:1
01,EventScriptGroup_01,$B38003,$B39359,$B3,$0020,16,12,4,$B39379,$B3AE03,0,$11:11 $23:1
02,EventScriptGroup_02,$B38006,$B3AE03,$B3,$0020,16,6,10,$B3AE23,$B3BA39,0,$11:5 $59:1
03,EventScriptGroup_03,$B38009,$B3BA39,$B3,$0020,16,4,12,$B3BA59,$B3C507,0,$11:3 $27:1
04,EventScriptGroup_04,$B3800C,$B3C507,$B3,$0020,16,9,7,$B3C527,$B3CC71,0,$11:6 $09:2 $91:1
05,EventScriptGroup_05,$B3800F,$B3CC71,$B3,$0020,16,2,14,$B3CC91,$B3D447,0,$11:1 $67:1
06,EventScriptGroup_06,$B38012,$B3D447,$B3,$0020,16,8,8,$B3D467,$B3D9F7,0,$11:7 $17:1
07,EventScriptGroup_07,$B38015,$B3D9F7,$B3,$0020,16,9,7,$B3DA17,$B3E0BF,0,$11:8 $DF:1
08,EventScriptGroup_08,$B38018,$B3E0BF,$B3,$0020,16,9,7,$B3E0DF,$B3E603,0,$11:8 $23:1
09,EventScriptGroup_09,$B3801B,$B3E603,$B3,$0020,16,2,14,$B3E623,$B3E83B,0,$40:1 $5B:1
0A,EventScriptGroup_0A,$B3801E,$B3E83B,$B3,$0020,16,7,9,$B3E85B,$B3E9DA,0,$4F:4 $02:2 $FA:1
0B,EventScriptGroup_0B,$B38021,$B3E9DA,$B3,$0020,16,13,3,$B3E9FA,$B3EF5A,0,$09:9 $02:2 $07:1 $7A:1
0C,EventScriptGroup_0C,$B38024,$B3EF5A,$B3,$0020,16,3,13,$B3EF7A,$B3F068,0,$50:2 $88:1
0D,EventScriptGroup_0D,$B38027,$B3F068,$B3,$0020,16,3,13,$B3F088,$B3F0E6,0,$50:2 $06:1
0E,EventScriptGroup_0E,$B3802A,$B3F0E6,$B3,$0020,16,3,13,$B3F106,$B3FFA4,0,$4F:2 $00:1
0F,EventScriptGroup_0F,$B3802D,$B48000,$B4,$0020,16,7,9,$B48020,$B487B8,0,$4F:6 $D8:1
10,EventScriptGroup_10,$B38030,$B487B8,$B4,$0020,16,2,14,$B487D8,$B48818,0,$08:1 $38:1
11,EventScriptGroup_11,$B38033,$B48818,$B4,$0020,16,2,14,$B48838,$B488A0,0,$50:1 $C0:1
12,EventScriptGroup_12,$B38036,$B488A0,$B4,$0020,16,2,14,$B488C0,$B4892A,0,$50:1 $4A:1
13,EventScriptGroup_13,$B38039,$B4892A,$B4,$0020,16,2,14,$B4894A,$B489D2,0,$50:1 $F2:1
14,EventScriptGroup_14,$B3803C,$B489D2,$B4,$0020,16,6,10,$B489F2,$B48C25,0,$4F:4 $50:1 $45:1
15,EventScriptGroup_15,$B3803F,$B48C25,$B4,$0020,16,2,14,$B48C45,$B48D38,0,$05:1 $58:1
16,EventScriptGroup_16,$B38042,$B48D38,$B4,$0020,16,2,14,$B48D58,$B48E05,0,$50:1 $25:1
