group,label,entry,target,duplicate_count,commands,unknown_commands,stop_reason,first_opcode,first_name,classes,pseudocode_preview
$00,EventScriptGroup_00,0,$B38CC8,1,3,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:1 animals:1 script_control:1,"SetCCObjectVisual(ptr=$815C, bank_or_mode=$00) ; ChickenRelated() ; Jump(target=$B38CCC)"
$00,EventScriptGroup_00,1,$B38CD0,1,5,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:3 animals:1 script_control:1,"SetCCObjectVisual(ptr=$8150, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8150, d=$10) ; SetCCObjectParam10() ; ChickenRelated() ; Jump(target=$B38CDA)"
$00,EventScriptGroup_00,2,$B38CDE,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$8144, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8144, d=$10) ; ChickenRelated() ; Jump(target=$B38CE7)"
$00,EventScriptGroup_00,3,$B38CEB,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$86C0, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86CC, d=$10) ; CowRelated() ; Jump(target=$B38CF4)"
$00,EventScriptGroup_00,4,$B38CF8,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$86A8, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86B4, d=$10) ; CowRelated() ; Jump(target=$B38D01)"
$00,EventScriptGroup_00,5,$B38D05,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$80FC, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8108, d=$10) ; CowRelated() ; Jump(target=$B38D0E)"
$00,EventScriptGroup_00,6,$B38D12,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$8708, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8714, d=$10) ; CowRelated() ; Jump(target=$B38D1B)"
$00,EventScriptGroup_00,7,$B38D1F,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$86D8, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86E4, d=$10) ; CowRelated() ; Jump(target=$B38D28)"
$00,EventScriptGroup_00,8,$B38D2C,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$86F0, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86FC, d=$10) ; CowRelated() ; Jump(target=$B38D35)"
$00,EventScriptGroup_00,9,$B38D39,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 animals:1 script_control:1,"SetCCObjectVisual(ptr=$872C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$872C, d=$10) ; CowRelated() ; Jump(target=$B38D42)"
$00,EventScriptGroup_00,10,$B38D46,1,3,0,next_entry_boundary,$1B,SetCCObjectParam,script_control:2 cc_state_object:1,"SetCCObjectParam(param=$019D, value=$01) ; WaitOrSetCCCounter(value=$003C) ; Jump(target=$B38D09)"
$00,EventScriptGroup_00,11,$B38D50,1,3,0,next_entry_boundary,$1B,SetCCObjectParam,script_control:2 cc_state_object:1,"SetCCObjectParam(param=$019D, value=$00) ; WaitOrSetCCCounter(value=$003C) ; Jump(target=$B38D09)"
$00,EventScriptGroup_00,12,$B38D5A,1,4,0,next_entry_boundary,$1B,SetCCObjectParam,cc_state_object:2 script_control:2,"SetCCObjectParam(param=$01A4, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,EventScriptGroup_00,13,$B38D67,1,4,0,next_entry_boundary,$1B,SetCCObjectParam,cc_state_object:2 script_control:2,"SetCCObjectParam(param=$01A8, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,EventScriptGroup_00,14,$B38D74,1,4,0,next_entry_boundary,$1B,SetCCObjectParam,cc_state_object:2 script_control:2,"SetCCObjectParam(param=$0191, value=$01) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,EventScriptGroup_00,15,$B38D81,1,4,0,next_entry_boundary,$1B,SetCCObjectParam,cc_state_object:2 script_control:2,"SetCCObjectParam(param=$0191, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,EventScriptGroup_00,16,$B38D8E,1,4,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:2 player_camera_motion:1 script_control:1,"SetCCObjectVisual(ptr=$812C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8138, d=$10) ; PlayerPos() ; Jump(target=$B38D97)"
$00,EventScriptGroup_00,17,$B38D9B,1,6,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:3 script_control:2 animals:1,"SetCCObjectVisual(ptr=$8114, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8120, d=$10) ; Jump(target=$B38DAC) ; SetCCObjectParam5(a=$01, ptr=$8948, d=$10) ; DogRelated() ; Jump(target=$B38DAC)"
$00,EventScriptGroup_00,18,$B38DB0,1,4,0,next_entry_boundary,$49,SetCCObjectParam9,script_control:2 cc_state_object:1 time_rng_palette:1,"SetCCObjectParam9(ptr=$8114, mode=$2E) ; EnableTimeFlow() ; JumpIf018F(value=$81, target=$B33610) ; Jump(target=$B38DB8)"
$00,EventScriptGroup_00,19,$B38DBC,1,6,0,next_entry_boundary,$2B,SetCCObjectVisual,cc_state_object:3 script_control:2 player_camera_motion:1,"SetCCObjectVisual(ptr=$8768, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8774, d=$10) ; Jump(target=$B38DCD) ; SetCCObjectParam5(a=$01, ptr=$8780, d=$10) ; PlayerPos() ; Jump(target=$B38DCD)"
$00,EventScriptGroup_00,20,$B38DD1,1,4,1,unknown_opcode_$81,$49,SetCCObjectParam9,cc_state_object:1 time_rng_palette:1 special_unknown:1 unknown:1,"SetCCObjectParam9(ptr=$812C, mode=$2E) ; EnableTimeFlow() ; EventCoreUNK2() ; UnknownOpcode_$81()"
