group_id_hex,group_label,target_addr,first_opcode,first_opcode_name,linear_commands_sampled,known_commands,unknown_or_unparsed_commands,semantic_tags,dominant_classes,opcode_histogram,stopped_by
00,EventScriptGroup_00,$B38CC8,$2B,CCStateChange8,3,3,0,"objeto_cc, animal",cc_state_object:1 animals:1 script_control:1,$2B:1 $30:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38CD0,$2B,CCStateChange8,5,5,0,"objeto_cc, animal",cc_state_object:3 animals:1 script_control:1,$2B:1 $2E:1 $4C:1 $30:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38CDE,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $30:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38CEB,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38CF8,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D05,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D12,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D1F,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D2C,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D39,$2B,CCStateChange8,4,4,0,"objeto_cc, animal",cc_state_object:2 animals:1 script_control:1,$2B:1 $2E:1 $31:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D46,$1B,CCStateChange4,3,3,0,objeto_cc,script_control:2 cc_state_object:1,$1B:1 $13:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D50,$1B,CCStateChange4,3,3,0,objeto_cc,script_control:2 cc_state_object:1,$1B:1 $13:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D5A,$1B,CCStateChange4,4,4,0,objeto_cc,cc_state_object:2 script_control:2,$1B:1 $13:1 $2F:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D67,$1B,CCStateChange4,4,4,0,objeto_cc,cc_state_object:2 script_control:2,$1B:1 $13:1 $2F:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D74,$1B,CCStateChange4,4,4,0,objeto_cc,cc_state_object:2 script_control:2,$1B:1 $13:1 $2F:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D81,$1B,CCStateChange4,4,4,0,objeto_cc,cc_state_object:2 script_control:2,$1B:1 $13:1 $2F:1 $12:1,next_entry_boundary
00,EventScriptGroup_00,$B38D8E,$2B,CCStateChange8,4,4,0,"objeto_cc, player_anim",cc_state_object:2 player_camera_motion:1 script_control:1,$2B:1 $2E:1 $35:1 $12:1,next_entry_boundary
