group_id_hex,group_label,group_table_addr,bank,pointer_entries,unique_targets,linear_commands_sampled,avg_commands_per_unique_target,known_commands,unknown_or_unparsed_commands,semantic_tags,dominant_classes,opcode_histogram,first_opcode_histogram,stop_reasons
00,EventScriptGroup_00,$B38BB8,$B3,136,135,471,3.49,467,4,"dialogo, flags_memoria, objeto_cc, animal, player_anim",cc_state_object:200 script_control:200 unknown:23 special_unknown:22 animals:14 conditional:5 player_camera_motion:2 time_rng_palette:2,$12:121 $2F:72 $13:59 $1B:52 $1A:24 $2B:22 $0D:19 $2E:18 $10:17 $37:16 $31:9 $22:5,$2F:52 $1B:35 $2B:22 $1A:21 $49:2 $13:2 $09:1,next_entry_boundary:114; stop_or_wait_opcode_$10:17; unknown_opcode_$81:1; unknown_opcode_$91:1; unknown_opcode_$C1:1; unknown_opcode_$93:1
01,EventScriptGroup_01,$B39359,$B3,16,12,321,26.75,313,8,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:129 conditional:68 cc_state_object:47 dialog_text:36 unknown:19 screen_transition:11 time_rng_palette:10 flags_values:1,$12:74 $1C:36 $15:28 $09:26 $14:21 $4D:17 $2D:14 $18:13 $11:11 $1A:11 $0D:11 $13:10,$11:11 $23:1,stop_or_wait_opcode_$10:2; next_entry_boundary:2; unknown_opcode_$CB:1; unknown_opcode_$62:1; unknown_opcode_$A8:1; unknown_opcode_$5C:1; unknown_opcode_$A4:1; unknown_opcode_$A3:1; unknown_opcode_$D2:1; unknown_opcode_$B4:1
02,EventScriptGroup_02,$B3AE03,$B3,16,6,204,34.0,202,2,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:99 dialog_text:36 conditional:31 cc_state_object:25 screen_transition:6 flags_values:5 unknown:2,$12:60 $1C:35 $09:18 $14:16 $16:12 $4D:11 $2D:10 $1A:8 $11:5 $13:5 $1B:4 $10:3,$11:5 $59:1,stop_or_wait_opcode_$10:3; next_entry_boundary:1; unknown_opcode_$F3:1; unknown_opcode_$59:1
03,EventScriptGroup_03,$B3BA39,$B3,16,4,151,37.75,149,2,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:65 conditional:29 cc_state_object:27 dialog_text:24 screen_transition:3 unknown:2 flags_values:1,$12:37 $1C:24 $09:19 $14:16 $1B:15 $16:8 $1A:6 $45:5 $4D:5 $2D:5 $11:3 $13:3,$11:3 $27:1,unknown_opcode_$DB:1; max_commands:1; stop_or_wait_opcode_$10:1; unknown_opcode_$C6:1
04,EventScriptGroup_04,$B3C507,$B3,16,9,388,43.11,387,1,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:167 dialog_text:91 conditional:66 cc_state_object:57 screen_transition:6 unknown:1,$12:126 $1C:91 $16:25 $14:19 $41:19 $15:18 $09:17 $1A:16 $2D:15 $4D:14 $13:9 $11:6,$11:6 $09:2 $91:1,next_entry_boundary:7; stop_or_wait_opcode_$10:1; unknown_opcode_$91:1
05,EventScriptGroup_05,$B3CC71,$B3,16,2,94,47.0,93,1,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:37 conditional:20 cc_state_object:17 dialog_text:17 screen_transition:1 time_rng_palette:1 unknown:1,$12:24 $1C:17 $09:10 $14:10 $1B:10 $15:6 $1A:3 $2D:3 $16:2 $18:2 $11:1 $13:1,$11:1 $67:1,stop_or_wait_opcode_$10:1; unknown_opcode_$67:1
06,EventScriptGroup_06,$B3D447,$B3,16,8,317,39.62,316,1,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:134 dialog_text:73 conditional:57 cc_state_object:44 screen_transition:7 time_rng_palette:1 unknown:1,$12:105 $1C:72 $14:22 $16:16 $1A:15 $15:15 $09:14 $2D:14 $41:13 $13:8 $11:7 $4D:4,$11:7 $17:1,next_entry_boundary:6; stop_or_wait_opcode_$10:1; unknown_opcode_$72:1
07,EventScriptGroup_07,$B3D9F7,$B3,16,9,382,42.44,381,1,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:165 dialog_text:89 cc_state_object:66 conditional:53 screen_transition:8 unknown:1,$12:123 $1C:89 $15:25 $14:20 $41:20 $09:17 $1A:16 $4D:15 $2D:15 $1B:15 $13:9 $11:8,$11:8 $DF:1,next_entry_boundary:7; stop_or_wait_opcode_$10:1; unknown_opcode_$DF:1
08,EventScriptGroup_08,$B3E0BF,$B3,16,9,298,33.11,297,1,"dialogo, flags_memoria, objeto_cc, transicao_tela",script_control:131 dialog_text:65 cc_state_object:46 conditional:44 screen_transition:10 flags_values:1 unknown:1,$12:100 $1C:65 $16:21 $09:17 $1A:17 $2D:16 $41:12 $15:10 $13:9 $14:9 $11:8 $4D:4,$11:8 $23:1,next_entry_boundary:7; stop_or_wait_opcode_$10:1; unknown_opcode_$E8:1
09,EventScriptGroup_09,$B3E603,$B3,16,2,62,31.0,60,2,"objeto_cc, transicao_tela, audio, animal, player_anim",script_control:22 player_camera_motion:15 cc_state_object:7 time_rng_palette:6 screen_transition:3 flags_values:3 audio:2 unknown:2,$13:14 $19:10 $09:8 $02:4 $07:3 $39:3 $40:2 $05:2 $0C:2 $00:2 $25:2 $08:1,$40:1 $5B:1,unknown_opcode_$5C:1; unknown_opcode_$5B:1
