group,label,entry,script_target,command_index,command_addr,opcode,relation,symbol,bit_or_value,extra
$00,EventScriptGroup_00,33,$B38EAA,1,$B38EAD,$43,read_condition,$8000D4,word_$0005,
$00,EventScriptGroup_00,38,$B38F11,1,$B38F14,$43,read_condition,$8000D4,word_$0005,
$00,EventScriptGroup_00,38,$B38F11,5,$B38F2D,$23,write_value_or_flag,$7F1F5A,bit_$0B,
$00,EventScriptGroup_00,126,$B39250,1,$B39258,$15,read_condition,$7F1F19,eq_$00,
$00,EventScriptGroup_00,126,$B39250,2,$B3925F,$15,read_condition,$7F1F19,eq_$01,
$00,EventScriptGroup_00,126,$B39250,3,$B39266,$15,read_condition,$7F1F19,eq_$02,
$00,EventScriptGroup_00,134,$B39313,2,$B3931C,$21,dialog_text_id,Text_$1293,mode_$93,
$00,EventScriptGroup_00,134,$B39313,3,$B39321,$1C,dialog_text_id,Text_$013A,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,15,$B39D41,$1C,dialog_text_id,Text_$01C9,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,17,$B39D48,$16,read_condition,$80091E,between_$09_$0C,
$01,EventScriptGroup_01,1,$B39D05,18,$B39D50,$1C,dialog_text_id,Text_$0200,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,20,$B39D57,$1C,dialog_text_id,Text_$03B8,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,22,$B39D5E,$14,read_condition,$7F1F6A,bit_$0C,
$01,EventScriptGroup_01,1,$B39D05,23,$B39D65,$14,read_condition,$7F1F66,bit_$00,
$01,EventScriptGroup_01,1,$B39D05,24,$B39D6C,$14,read_condition,$7F1F66,bit_$01,
$01,EventScriptGroup_01,1,$B39D05,25,$B39D73,$14,read_condition,$7F1F66,bit_$02,
$01,EventScriptGroup_01,1,$B39D05,26,$B39D7A,$14,read_condition,$7F1F66,bit_$03,
$01,EventScriptGroup_01,1,$B39D05,27,$B39D81,$14,read_condition,$7F1F66,bit_$04,
$01,EventScriptGroup_01,1,$B39D05,28,$B39D88,$45,read_condition,$7F1F1F,word_$00C8,
$01,EventScriptGroup_01,1,$B39D05,29,$B39D92,$15,read_condition,$7F1F19,eq_$00,
$01,EventScriptGroup_01,1,$B39D05,30,$B39D99,$15,read_condition,$7F1F19,eq_$02,
$01,EventScriptGroup_01,1,$B39D05,31,$B39DA0,$15,read_condition,$7F1F19,eq_$03,
$01,EventScriptGroup_01,1,$B39D05,36,$B39DB4,$1C,dialog_text_id,Text_$0035,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,38,$B39DBB,$1C,dialog_text_id,Text_$0036,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,40,$B39DC2,$15,read_condition,$7F1F1B,eq_$16,
$01,EventScriptGroup_01,1,$B39D05,42,$B39DCC,$15,read_condition,$7F1F1B,eq_$0B,
$01,EventScriptGroup_01,1,$B39D05,44,$B39DD6,$15,read_condition,$7F1F1B,eq_$17,
$01,EventScriptGroup_01,1,$B39D05,45,$B39DDD,$15,read_condition,$7F1F1B,eq_$1E,
$01,EventScriptGroup_01,1,$B39D05,47,$B39DE7,$1C,dialog_text_id,Text_$020B,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,49,$B39DEE,$1C,dialog_text_id,Text_$023D,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,51,$B39DF5,$1C,dialog_text_id,Text_$02AD,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,53,$B39DFC,$1C,dialog_text_id,Text_$03EC,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,56,$B39E09,$1C,dialog_text_id,Text_$01CD,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,60,$B39E16,$1C,dialog_text_id,Text_$03C0,mode_$00,
$01,EventScriptGroup_01,1,$B39D05,64,$B39E23,$1C,dialog_text_id,Text_$03BF,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,17,$B39F7D,$1C,dialog_text_id,Text_$01E0,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,19,$B39F84,$16,read_condition,$80091E,between_$09_$0C,
$01,EventScriptGroup_01,2,$B39F3E,20,$B39F8C,$1C,dialog_text_id,Text_$0200,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,22,$B39F93,$1C,dialog_text_id,Text_$03B0,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,24,$B39F9A,$14,read_condition,$7F1F6A,bit_$0C,
$01,EventScriptGroup_01,2,$B39F3E,25,$B39FA1,$15,read_condition,$7F1F19,eq_$00,
$01,EventScriptGroup_01,2,$B39F3E,26,$B39FA8,$15,read_condition,$7F1F19,eq_$02,
$01,EventScriptGroup_01,2,$B39F3E,27,$B39FAF,$15,read_condition,$7F1F19,eq_$03,
$01,EventScriptGroup_01,2,$B39F3E,28,$B39FB6,$14,read_condition,$7F1F66,bit_$00,
$01,EventScriptGroup_01,2,$B39F3E,29,$B39FBD,$14,read_condition,$7F1F66,bit_$01,
$01,EventScriptGroup_01,2,$B39F3E,30,$B39FC4,$14,read_condition,$7F1F66,bit_$02,
$01,EventScriptGroup_01,2,$B39F3E,31,$B39FCB,$14,read_condition,$7F1F66,bit_$03,
$01,EventScriptGroup_01,2,$B39F3E,32,$B39FD2,$14,read_condition,$7F1F66,bit_$04,
$01,EventScriptGroup_01,2,$B39F3E,39,$B39FEC,$1C,dialog_text_id,Text_$0057,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,41,$B39FF3,$1C,dialog_text_id,Text_$0058,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,43,$B39FFA,$1C,dialog_text_id,Text_$03CB,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,45,$B3A001,$15,read_condition,$7F1F1B,eq_$16,
$01,EventScriptGroup_01,2,$B39F3E,50,$B3A015,$15,read_condition,$7F1F1B,eq_$0B,
$01,EventScriptGroup_01,2,$B39F3E,51,$B3A01C,$15,read_condition,$7F1F1B,eq_$13,
$01,EventScriptGroup_01,2,$B39F3E,56,$B3A030,$1C,dialog_text_id,Text_$0205,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,58,$B3A037,$1C,dialog_text_id,Text_$03DC,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,60,$B3A03E,$1C,dialog_text_id,Text_$03DC,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,62,$B3A045,$15,read_condition,$7F1F1B,eq_$17,
$01,EventScriptGroup_01,2,$B39F3E,63,$B3A04C,$15,read_condition,$7F1F1B,eq_$1E,
$01,EventScriptGroup_01,2,$B39F3E,68,$B3A060,$1C,dialog_text_id,Text_$0405,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,70,$B3A067,$1C,dialog_text_id,Text_$03F0,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,73,$B3A074,$1C,dialog_text_id,Text_$01CF,mode_$00,
$01,EventScriptGroup_01,2,$B39F3E,77,$B3A07F,$1C,dialog_text_id,Text_$03CC,mode_$00,
$01,EventScriptGroup_01,3,$B3A086,8,$B3A0A4,$1C,dialog_text_id,Text_$01C6,mode_$00,
