symbol,relation,count
$80091E,read_condition,175
$7F1F66,read_condition,68
$7F1F6C,read_condition,68
$7F1F19,read_condition,53
$7F1F1B,read_condition,46
$7F1F64,read_condition,36
$7F1F6A,read_condition,35
$7F1F1C,read_condition,35
$7F1F60,write_value_or_flag,23
$800196,read_condition,18
$7F1F37,read_condition,14
$7F1F39,read_condition,14
$7F1F5E,write_value_or_flag,11
$7F1F1A,read_condition,10
$7F1F1F,read_condition,9
$800921,write_value_or_flag,9
$7F1F25,read_condition,9
$7F1F23,read_condition,7
$80098C,read_condition,6
$7F1F21,read_condition,5
$7F1F5E,read_condition,5
$7F1F5A,write_value_or_flag,3
$7F1F18,read_condition,3
$7F1F27,read_condition,3
$8000D4,read_condition,2
$800926,write_value_or_flag,2
$800923,write_value_or_flag,2
$7F1F66,write_value_or_flag,1
$7F1F3B,read_condition,1
