old_label,new_label,category
DATA8_00B121,MapEntryTilePatch_DispatchArea28,map_entry_tile_patch
DATA8_00B1CF,MapEntryTilePatch_DispatchArea29,map_entry_tile_patch
DATA8_00B21E,MapEntryTilePatch_DispatchArea2A,map_entry_tile_patch
DATA8_00B261,MapEntryTilePatch_DispatchArea2B,map_entry_tile_patch
DATA8_00B262,MapEntryTilePatch_DispatchArea2C,map_entry_tile_patch
DATA8_00B263,MapEntryTilePatch_DispatchArea2D,map_entry_tile_patch
DATA8_00B264,MapEntryTilePatch_DispatchArea2E,map_entry_tile_patch
DATA8_00B265,MapEntryTilePatch_DispatchArea2F,map_entry_tile_patch
DATA8_00B266,MapEntryTilePatch_DispatchArea30,map_entry_tile_patch
DATA8_00B267,MapEntryTilePatch_DispatchArea31,map_entry_tile_patch
DATA8_00B268,MapEntryTilePatch_DispatchArea32,map_entry_tile_patch
DATA8_00B269,MapEntryTilePatch_DispatchArea33,map_entry_tile_patch
DATA8_00B26A,MapEntryTilePatch_DispatchArea34,map_entry_tile_patch
DATA8_00B26B,MapEntryTilePatch_DispatchArea35,map_entry_tile_patch
DATA8_00B26C,MapEntryTilePatch_DispatchArea36,map_entry_tile_patch
DATA8_00B26D,MapEntryTilePatch_DispatchArea37,map_entry_tile_patch
DATA8_00B293,MapEntryTilePatch_DispatchArea38,map_entry_tile_patch
DATA8_00B294,MapEntryTilePatch_DispatchArea39,map_entry_tile_patch
DATA8_00B295,MapEntryTilePatch_DispatchArea3A,map_entry_tile_patch
DATA8_00B296,MapEntryTilePatch_DispatchArea3B,map_entry_tile_patch
DATA8_00B297,MapEntryTilePatch_DispatchArea3C,map_entry_tile_patch
DATA8_00B298,MapEntryTilePatch_DispatchArea3D,map_entry_tile_patch
DATA8_00B299,MapEntryTilePatch_DispatchArea3E,map_entry_tile_patch
DATA8_00B29A,MapEntryTilePatch_DispatchArea3F,map_entry_tile_patch
DATA8_00B29B,MapEntryTilePatch_DispatchArea40,map_entry_tile_patch
DATA8_00B29C,MapEntryTilePatch_DispatchArea41,map_entry_tile_patch
DATA8_00B29D,MapEntryTilePatch_DispatchArea42,map_entry_tile_patch
DATA8_00B29E,MapEntryTilePatch_DispatchArea43,map_entry_tile_patch
DATA8_00B29F,MapEntryTilePatch_DispatchArea44,map_entry_tile_patch
DATA8_00B2A0,MapEntryTilePatch_DispatchArea45,map_entry_tile_patch
DATA8_00B2A1,MapEntryTilePatch_DispatchArea46,map_entry_tile_patch
DATA8_00B2A2,MapEntryTilePatch_DispatchArea47,map_entry_tile_patch
DATA8_00B2A3,MapEntryTilePatch_DispatchArea48,map_entry_tile_patch
DATA8_00B2A4,MapEntryTilePatch_DispatchArea49,map_entry_tile_patch
DATA8_00B2A5,MapEntryTilePatch_DispatchArea4A,map_entry_tile_patch
DATA8_00B2A6,MapEntryTilePatch_DispatchArea4B,map_entry_tile_patch
DATA8_00B2A7,MapEntryTilePatch_DispatchArea4C,map_entry_tile_patch
DATA8_00B2A8,MapEntryTilePatch_DispatchArea4D,map_entry_tile_patch
DATA8_00B2A9,MapEntryTilePatch_DispatchArea4E,map_entry_tile_patch
DATA8_00B2AA,MapEntryTilePatch_DispatchArea4F,map_entry_tile_patch
DATA8_00B2AB,MapEntryTilePatch_DispatchArea50,map_entry_tile_patch
DATA8_00B2AC,MapEntryTilePatch_DispatchArea51,map_entry_tile_patch
DATA8_00B2AD,MapEntryTilePatch_DispatchArea52,map_entry_tile_patch
DATA8_00B2AE,MapEntryTilePatch_DispatchArea53,map_entry_tile_patch
DATA8_00B2AF,MapEntryTilePatch_DispatchArea54,map_entry_tile_patch
DATA8_00B2B0,MapEntryTilePatch_DispatchArea55,map_entry_tile_patch
DATA8_00B2B1,MapEntryTilePatch_DispatchArea56,map_entry_tile_patch
DATA8_00B2B2,MapEntryTilePatch_DispatchArea57,map_entry_tile_patch
DATA8_00B2B3,MapEntryTilePatch_DispatchArea58,map_entry_tile_patch
DATA8_00B2B4,MapEntryTilePatch_DispatchArea59,map_entry_tile_patch
DATA8_00B2B5,MapEntryTilePatch_DispatchArea5A,map_entry_tile_patch
DATA8_00B2B6,MapEntryTilePatch_DispatchArea5B,map_entry_tile_patch
DATA8_00B2B7,MapEntryTilePatch_DispatchArea5C,map_entry_tile_patch
DATA8_00B2B8,MapEntryTilePatch_DispatchArea5D,map_entry_tile_patch
DATA8_00B2B9,MapEntryTilePatch_DispatchArea5E,map_entry_tile_patch
DATA8_00B2BA,MapEntryTilePatch_DispatchArea5F,map_entry_tile_patch
DATA8_00DD62,PlayerAction_PickupMapObjectItem74,player_action_dispatch
DATA8_00DD87,PlayerAction_PickupMapObjectItem75,player_action_dispatch
DATA8_00DDAC,PlayerAction_ShopOrNpcPurchaseDialogEntry2E,player_action_dispatch
DATA8_00DE1C,PlayerAction_ShopOrNpcPurchaseDialogEntry2F,player_action_dispatch
DATA8_00E245,PlayerAction_DispatchEntry30,player_action_dispatch
DATA8_00E26A,PlayerAction_DispatchEntry31,player_action_dispatch
DATA8_00E28F,PlayerAction_DispatchEntry32,player_action_dispatch
DATA8_00E2B4,PlayerAction_DispatchEntry33,player_action_dispatch
DATA8_00E2D9,PlayerAction_DispatchEntry34,player_action_dispatch
DATA8_00E349,PlayerAction_DispatchEntry35,player_action_dispatch
DATA8_00E36E,PlayerAction_DispatchEntry36,player_action_dispatch
DATA8_00E394,PlayerAction_DispatchEntry37,player_action_dispatch
DATA8_00E404,PlayerAction_DispatchEntry38,player_action_dispatch
DATA8_00E429,PlayerAction_DispatchEntry39,player_action_dispatch
DATA8_00E44E,PlayerAction_DispatchEntry3A,player_action_dispatch
DATA8_00E473,PlayerAction_DispatchEntry3B,player_action_dispatch
