file_sample,old_label,new_label
project_buildable/src/labels.asm,DATA8_00BE44,LegacyLowBankAlias_00BE44
project_buildable/src/labels.asm,DATA8_00BEEC,LegacyLowBankAlias_00BEEC
project_buildable/src/labels.asm,DATA8_00AB3C,LegacyLowBankAlias_00AB3C
project_buildable/src/labels.asm,DATA8_00AB5F,LegacyLowBankAlias_00AB5F
project_buildable/src/labels.asm,DATA8_00AB82,LegacyLowBankAlias_00AB82
project_buildable/src/labels.asm,DATA8_00ABA5,LegacyLowBankAlias_00ABA5
project_buildable/src/labels.asm,DATA8_00ABC8,LegacyLowBankAlias_00ABC8
project_buildable/src/labels.asm,DATA8_00ABEB,LegacyLowBankAlias_00ABEB
project_buildable/src/labels.asm,DATA8_00AC0E,LegacyLowBankAlias_00AC0E
project_buildable/src/labels.asm,DATA8_00AC31,LegacyLowBankAlias_00AC31
project_buildable/src/labels.asm,DATA8_00AC54,LegacyLowBankAlias_00AC54
project_buildable/src/labels.asm,DATA8_00AC77,LegacyLowBankAlias_00AC77
project_buildable/src/labels.asm,DATA8_00AC9A,LegacyLowBankAlias_00AC9A
project_buildable/src/labels.asm,DATA8_00ACBD,LegacyLowBankAlias_00ACBD
project_buildable/src/labels.asm,DATA8_00ACE0,LegacyLowBankAlias_00ACE0
project_buildable/src/labels.asm,DATA8_00ACF9,LegacyLowBankAlias_00ACF9
project_buildable/src/labels.asm,DATA8_00AD12,LegacyLowBankAlias_00AD12
project_buildable/src/labels.asm,DATA8_00AD2B,LegacyLowBankAlias_00AD2B
project_buildable/src/labels.asm,DATA8_00AD44,LegacyLowBankAlias_00AD44
project_buildable/src/labels.asm,DATA8_00AD67,LegacyLowBankAlias_00AD67
project_buildable/src/labels.asm,DATA8_00AD8A,LegacyLowBankAlias_00AD8A
project_buildable/src/labels.asm,DATA8_00ADAD,LegacyLowBankAlias_00ADAD
project_buildable/src/labels.asm,DATA8_00ADD0,LegacyLowBankAlias_00ADD0
project_buildable/src/labels.asm,DATA8_00ADF3,LegacyLowBankAlias_00ADF3
project_buildable/src/labels.asm,DATA8_00AE11,LegacyLowBankAlias_00AE11
project_buildable/src/labels.asm,DATA8_00AE2F,LegacyLowBankAlias_00AE2F
project_buildable/src/labels.asm,DATA8_00AE4D,LegacyLowBankAlias_00AE4D
project_buildable/src/labels.asm,DATA8_00AE66,LegacyLowBankAlias_00AE66
project_buildable/src/labels.asm,DATA8_00AE7F,LegacyLowBankAlias_00AE7F
project_buildable/src/labels.asm,DATA8_00AE98,LegacyLowBankAlias_00AE98
project_buildable/src/labels.asm,DATA8_00AEB1,LegacyLowBankAlias_00AEB1
project_buildable/src/labels.asm,DATA8_00AECA,LegacyLowBankAlias_00AECA
project_buildable/src/labels.asm,DATA8_00AEE3,LegacyLowBankAlias_00AEE3
project_buildable/src/labels.asm,DATA8_00AEFC,LegacyLowBankAlias_00AEFC
project_buildable/src/labels.asm,DATA8_00AF15,LegacyLowBankAlias_00AF15
project_buildable/src/labels.asm,DATA8_00AF2E,LegacyLowBankAlias_00AF2E
project_buildable/src/labels.asm,DATA8_00AF47,LegacyLowBankAlias_00AF47
project_buildable/src/labels.asm,DATA8_00AF60,LegacyLowBankAlias_00AF60
project_buildable/src/labels.asm,DATA8_00AF79,LegacyLowBankAlias_00AF79
