old_label,new_label
CODE_0093C9,EventScriptBank84_Branch_0093C9
CODE_009513,EventScriptBank84_Branch_009513
CODE_009553,EventScriptBank84_Branch_009553
CODE_00957D,EventScriptBank84_Branch_00957D
CODE_0095E8,EventScriptBank84_Branch_0095E8
CODE_009777,EventScriptBank84_Branch_009777
CODE_009810,EventScriptBank84_Branch_009810
CODE_009857,EventScriptBank84_Branch_009857
CODE_00A90F,EventScriptBank84_Branch_00A90F
CODE_00A94C,EventScriptBank84_Branch_00A94C
CODE_84817D,EventScriptBank84_Branch_84817D
CODE_848184,EventScriptBank84_Branch_848184
CODE_8481C3,EventScriptBank84_Branch_8481C3
CODE_8481DA,EventScriptBank84_Branch_8481DA
CODE_8481DF,EventScriptBank84_Branch_8481DF
CODE_8481E7,EventScriptBank84_Branch_8481E7
CODE_84829B,EventScriptBank84_Branch_84829B
CODE_8482DF,EventScriptBank84_Branch_8482DF
CODE_8482F0,EventScriptBank84_Branch_8482F0
CODE_84830A,EventScriptBank84_Branch_84830A
CODE_84830E,EventScriptBank84_Branch_84830E
CODE_848343,EventScriptBank84_Branch_848343
CODE_848385,EventScriptBank84_Branch_848385
CODE_84838B,EventScriptBank84_Branch_84838B
CODE_84839F,EventScriptBank84_Branch_84839F
CODE_8483A5,EventScriptBank84_Branch_8483A5
CODE_8483DC,EventScriptBank84_Branch_8483DC
CODE_8483EF,EventScriptBank84_Branch_8483EF
CODE_84840E,EventScriptBank84_Branch_84840E
CODE_848415,EventScriptBank84_Branch_848415
CODE_84841C,EventScriptBank84_Branch_84841C
CODE_848423,EventScriptBank84_Branch_848423
CODE_84842E,EventScriptBank84_Branch_84842E
CODE_848435,EventScriptBank84_Branch_848435
CODE_84843C,EventScriptBank84_Branch_84843C
CODE_848443,EventScriptBank84_Branch_848443
CODE_848446,EventScriptBank84_Branch_848446
CODE_848456,EventScriptBank84_Branch_848456
CODE_848470,EventScriptBank84_Branch_848470
CODE_84849C,EventScriptBank84_Branch_84849C
CODE_84849F,EventScriptBank84_Branch_84849F
CODE_8484CB,EventScriptBank84_Branch_8484CB
CODE_8484CE,EventScriptBank84_Branch_8484CE
CODE_8484FA,EventScriptBank84_Branch_8484FA
CODE_8484FD,EventScriptBank84_Branch_8484FD
CODE_848529,EventScriptBank84_Branch_848529
CODE_84852C,EventScriptBank84_Branch_84852C
CODE_848565,EventScriptBank84_Branch_848565
CODE_84858E,EventScriptBank84_Branch_84858E
CODE_8485C7,EventScriptBank84_Branch_8485C7
CODE_8485F0,EventScriptBank84_Branch_8485F0
CODE_848629,EventScriptBank84_Branch_848629
CODE_848652,EventScriptBank84_Branch_848652
CODE_84868B,EventScriptBank84_Branch_84868B
CODE_8486B3,EventScriptBank84_Branch_8486B3
CODE_8486F4,EventScriptBank84_Branch_8486F4
CODE_84871D,EventScriptBank84_Branch_84871D
CODE_848730,EventScriptBank84_Branch_848730
CODE_848749,EventScriptBank84_Branch_848749
CODE_84876D,EventScriptBank84_Branch_84876D
CODE_848772,EventScriptBank84_Branch_848772
CODE_848786,EventScriptBank84_Branch_848786
CODE_84878B,EventScriptBank84_Branch_84878B
CODE_8487CB,EventScriptBank84_Branch_8487CB
CODE_8487E3,EventScriptBank84_Branch_8487E3
CODE_8487FD,EventScriptBank84_Branch_8487FD
CODE_848817,EventScriptBank84_Branch_848817
CODE_848854,EventScriptBank84_Branch_848854
CODE_848868,EventScriptBank84_Branch_848868
CODE_848C0A,EventScriptBank84_Branch_848C0A
CODE_849095,EventScriptBank84_Branch_849095
CODE_8490A1,EventScriptBank84_Branch_8490A1
CODE_8490AD,EventScriptBank84_Branch_8490AD
CODE_8490B9,EventScriptBank84_Branch_8490B9
CODE_8490C5,EventScriptBank84_Branch_8490C5
CODE_8490D1,EventScriptBank84_Branch_8490D1
CODE_8490DD,EventScriptBank84_Branch_8490DD
CODE_8490EA,EventScriptBank84_Branch_8490EA
CODE_849185,EventScriptBank84_Branch_849185
CODE_8491C7,EventScriptBank84_Branch_8491C7
CODE_84920B,EventScriptBank84_Branch_84920B
CODE_849232,EventScriptBank84_Branch_849232
CODE_849238,EventScriptBank84_Branch_849238
CODE_84964F,EventScriptBank84_Branch_84964F
CODE_84965B,EventScriptBank84_Branch_84965B
CODE_849667,EventScriptBank84_Branch_849667
CODE_849673,EventScriptBank84_Branch_849673
CODE_84967F,EventScriptBank84_Branch_84967F
CODE_84968B,EventScriptBank84_Branch_84968B
CODE_849697,EventScriptBank84_Branch_849697
CODE_8496A4,EventScriptBank84_Branch_8496A4
CODE_8496B0,EventScriptBank84_Branch_8496B0
CODE_8496C4,EventScriptBank84_Branch_8496C4
CODE_84975F,EventScriptBank84_Branch_84975F
CODE_8498A1,EventScriptBank84_Branch_8498A1
CODE_8498B1,EventScriptBank84_Branch_8498B1
CODE_8498BD,EventScriptBank84_Branch_8498BD
CODE_8498C5,EventScriptBank84_Branch_8498C5
CODE_8498CD,EventScriptBank84_Branch_8498CD
CODE_8498D5,EventScriptBank84_Branch_8498D5
CODE_8498DF,EventScriptBank84_Branch_8498DF
CODE_8498E9,EventScriptBank84_Branch_8498E9
CODE_8498F5,EventScriptBank84_Branch_8498F5
CODE_849902,EventScriptBank84_Branch_849902
CODE_84990E,EventScriptBank84_Branch_84990E
CODE_849918,EventScriptBank84_Branch_849918
CODE_849922,EventScriptBank84_Branch_849922
CODE_84992C,EventScriptBank84_Branch_84992C
CODE_84993A,EventScriptBank84_Branch_84993A
CODE_849943,EventScriptBank84_Branch_849943
CODE_849991,EventScriptBank84_Branch_849991
CODE_8499AB,EventScriptBank84_Branch_8499AB
CODE_8499B9,EventScriptBank84_Branch_8499B9
CODE_8499C8,EventScriptBank84_Branch_8499C8
CODE_8499F8,EventScriptBank84_Branch_8499F8
CODE_849A23,EventScriptBank84_Branch_849A23
CODE_849A41,EventScriptBank84_Branch_849A41
CODE_849A4F,EventScriptBank84_Branch_849A4F
CODE_849A5F,EventScriptBank84_Branch_849A5F
CODE_849A6D,EventScriptBank84_Branch_849A6D
CODE_849B3E,EventScriptBank84_Branch_849B3E
CODE_849B45,EventScriptBank84_Branch_849B45
CODE_849B55,EventScriptBank84_Branch_849B55
CODE_849B61,EventScriptBank84_Branch_849B61
CODE_849B6D,EventScriptBank84_Branch_849B6D
CODE_849B79,EventScriptBank84_Branch_849B79
CODE_849B85,EventScriptBank84_Branch_849B85
CODE_849B91,EventScriptBank84_Branch_849B91
CODE_849B9B,EventScriptBank84_Branch_849B9B
CODE_849BA7,EventScriptBank84_Branch_849BA7
CODE_849BBF,EventScriptBank84_Branch_849BBF
CODE_849BCD,EventScriptBank84_Branch_849BCD
CODE_849BDB,EventScriptBank84_Branch_849BDB
CODE_849BE9,EventScriptBank84_Branch_849BE9
CODE_849BEC,EventScriptBank84_Branch_849BEC
CODE_849C3F,EventScriptBank84_Branch_849C3F
CODE_849C46,EventScriptBank84_Branch_849C46
CODE_849C4D,EventScriptBank84_Branch_849C4D
CODE_849C5D,EventScriptBank84_Branch_849C5D
CODE_849C64,EventScriptBank84_Branch_849C64
CODE_849C86,EventScriptBank84_Branch_849C86
CODE_849CA8,EventScriptBank84_Branch_849CA8
CODE_849CB6,EventScriptBank84_Branch_849CB6
CODE_849CBF,EventScriptBank84_Branch_849CBF
CODE_849CCB,EventScriptBank84_Branch_849CCB
CODE_849CCE,EventScriptBank84_Branch_849CCE
CODE_849CE7,EventScriptBank84_Branch_849CE7
CODE_849CFD,EventScriptBank84_Branch_849CFD
CODE_849D13,EventScriptBank84_Branch_849D13
CODE_849D29,EventScriptBank84_Branch_849D29
CODE_849D3F,EventScriptBank84_Branch_849D3F
CODE_849D46,EventScriptBank84_Branch_849D46
CODE_849D5F,EventScriptBank84_Branch_849D5F
CODE_849D75,EventScriptBank84_Branch_849D75
CODE_849D8B,EventScriptBank84_Branch_849D8B
CODE_849DA1,EventScriptBank84_Branch_849DA1
CODE_849DB7,EventScriptBank84_Branch_849DB7
CODE_849DBE,EventScriptBank84_Branch_849DBE
CODE_849DCA,EventScriptBank84_Branch_849DCA
CODE_849DD1,EventScriptBank84_Branch_849DD1
