old_symbol,new_symbol,replacements
CODE_008428,LegacyLowBankCodeAlias_008428,1
CODE_00867B,LegacyLowBankCodeAlias_00867B,1
CODE_008698,LegacyLowBankCodeAlias_008698,1
CODE_008699,LegacyLowBankCodeAlias_008699,1
CODE_00D643,PlayerAction_LowBankDispatchAlias_00D643,1
CODE_00D6E2,PlayerAction_LowBankDispatchAlias_00D6E2,1
CODE_00D70F,PlayerAction_LowBankDispatchAlias_00D70F,1
CODE_00D711,PlayerAction_LowBankDispatchAlias_00D711,1
CODE_00D715,PlayerAction_LowBankDispatchAlias_00D715,1
CODE_00D9CC,PlayerAction_LowBankDispatchAlias_00D9CC,2
CODE_00DB38,PlayerAction_LowBankDispatchAlias_00DB38,2
CODE_00DBCC,PlayerAction_LowBankDispatchAlias_00DBCC,2
CODE_00DBCE,PlayerAction_LowBankDispatchAlias_00DBCE,2
CODE_00DBD0,PlayerAction_LowBankDispatchAlias_00DBD0,2
CODE_00DBD2,PlayerAction_LowBankDispatchAlias_00DBD2,2
CODE_00DC58,PlayerAction_LowBankDispatchAlias_00DC58,2
CODE_00DC5A,PlayerAction_LowBankDispatchAlias_00DC5A,2
CODE_00DC5C,PlayerAction_LowBankDispatchAlias_00DC5C,2
CODE_00DC5E,PlayerAction_LowBankDispatchAlias_00DC5E,2
CODE_00DCCE,PlayerAction_LowBankDispatchAlias_00DCCE,2
CODE_00DD18,PlayerAction_LowBankDispatchAlias_00DD18,2
CODE_808EBC,Bank80_MainLogicBranch_808EBC,2
CODE_808ED0,Bank80_MainLogicBranch_808ED0,2
CODE_808F2C,Bank80_MainLogicBranch_808F2C,3
CODE_808F52,Bank80_MainLogicBranch_808F52,2
CODE_808F57,Bank80_MainLogicBranch_808F57,2
CODE_808F62,Bank80_MainLogicBranch_808F62,2
CODE_809194,Bank80_MainLogicBranch_809194,2
CODE_8091C6,Bank80_MainLogicBranch_8091C6,2
CODE_809358,Bank80_MainLogicBranch_809358,2
CODE_80936E,Bank80_MainLogicBranch_80936E,2
CODE_809380,Bank80_MainLogicBranch_809380,2
CODE_809392,Bank80_MainLogicBranch_809392,2
CODE_809457,Bank80_MainLogicBranch_809457,3
CODE_809460,Bank80_MainLogicBranch_809460,4
CODE_80946B,Bank80_MainLogicBranch_80946B,2
CODE_80949A,Bank80_MainLogicBranch_80949A,2
CODE_8094A1,Bank80_MainLogicBranch_8094A1,2
CODE_8094A8,Bank80_MainLogicBranch_8094A8,2
CODE_8094AF,Bank80_MainLogicBranch_8094AF,2
CODE_8094B6,Bank80_MainLogicBranch_8094B6,2
CODE_8094BD,Bank80_MainLogicBranch_8094BD,6
CODE_80975A,Bank80_MainLogicBranch_80975A,3
CODE_809764,Bank80_MainLogicBranch_809764,2
CODE_809775,Bank80_MainLogicBranch_809775,3
CODE_809783,Bank80_MainLogicBranch_809783,2
CODE_809806,Bank80_MainLogicBranch_809806,2
CODE_80981D,Bank80_MainLogicBranch_80981D,2
CODE_809828,Bank80_MainLogicBranch_809828,2
CODE_8098A8,Bank80_MainLogicBranch_8098A8,8
CODE_809912,Bank80_MainLogicBranch_809912,2
CODE_8099B1,Bank80_MainLogicBranch_8099B1,5
CODE_8099BC,Bank80_MainLogicBranch_8099BC,2
CODE_8099CD,Bank80_MainLogicBranch_8099CD,2
CODE_8099E4,Bank80_MainLogicBranch_8099E4,2
CODE_809AEF,Bank80_MainLogicBranch_809AEF,2
CODE_809AF6,Bank80_MainLogicBranch_809AF6,2
CODE_809B36,Bank80_MainLogicBranch_809B36,2
CODE_809B5F,Bank80_MainLogicBranch_809B5F,2
CODE_809B6E,Bank80_MainLogicBranch_809B6E,2
CODE_809B7D,Bank80_MainLogicBranch_809B7D,8
CODE_809B88,Bank80_MainLogicBranch_809B88,2
CODE_809B9A,Bank80_MainLogicBranch_809B9A,3
CODE_809BAE,Bank80_MainLogicBranch_809BAE,3
CODE_809BC4,Bank80_MainLogicBranch_809BC4,4
CODE_809BE0,Bank80_MainLogicBranch_809BE0,3
CODE_809BEC,Bank80_MainLogicBranch_809BEC,3
CODE_809BFE,Bank80_MainLogicBranch_809BFE,3
CODE_809C14,Bank80_MainLogicBranch_809C14,9
CODE_809C30,Bank80_MainLogicBranch_809C30,3
CODE_809C56,Bank80_MainLogicBranch_809C56,2
CODE_809C5D,Bank80_MainLogicBranch_809C5D,2
CODE_809C67,Bank80_MainLogicBranch_809C67,3
CODE_809CA0,Bank80_MainLogicBranch_809CA0,2
CODE_809CB1,Bank80_MainLogicBranch_809CB1,2
CODE_809CC2,Bank80_MainLogicBranch_809CC2,2
CODE_809CD3,Bank80_MainLogicBranch_809CD3,2
CODE_809CE0,Bank80_MainLogicBranch_809CE0,2
CODE_809CFF,Bank80_MainLogicBranch_809CFF,4
CODE_809D18,Bank80_MainLogicBranch_809D18,2
CODE_809D23,Bank80_MainLogicBranch_809D23,2
CODE_809D2A,Bank80_MainLogicBranch_809D2A,2
CODE_809D37,Bank80_MainLogicBranch_809D37,2
