old_label,new_label,file
CODE_8393C5,Bank83_NpcSpriteLogicBranch_8393C5,src/code_banks/bank_83.asm
CODE_839439,Bank83_NpcSpriteLogicBranch_839439,src/code_banks/bank_83.asm
CODE_8394B0,Bank83_NpcSpriteLogicBranch_8394B0,src/code_banks/bank_83.asm
CODE_8394C4,Bank83_NpcSpriteLogicBranch_8394C4,src/code_banks/bank_83.asm
CODE_8394CD,Bank83_NpcSpriteLogicBranch_8394CD,src/code_banks/bank_83.asm
CODE_8394EA,Bank83_NpcSpriteLogicBranch_8394EA,src/code_banks/bank_83.asm
CODE_83950A,Bank83_NpcSpriteLogicBranch_83950A,src/code_banks/bank_83.asm
CODE_839517,Bank83_NpcSpriteLogicBranch_839517,src/code_banks/bank_83.asm
CODE_83952A,Bank83_NpcSpriteLogicBranch_83952A,src/code_banks/bank_83.asm
CODE_839534,Bank83_NpcSpriteLogicBranch_839534,src/code_banks/bank_83.asm
CODE_83954F,Bank83_NpcSpriteLogicBranch_83954F,src/code_banks/bank_83.asm
CODE_839557,Bank83_NpcSpriteLogicBranch_839557,src/code_banks/bank_83.asm
CODE_83955F,Bank83_NpcSpriteLogicBranch_83955F,src/code_banks/bank_83.asm
CODE_839567,Bank83_NpcSpriteLogicBranch_839567,src/code_banks/bank_83.asm
CODE_83956F,Bank83_NpcSpriteLogicBranch_83956F,src/code_banks/bank_83.asm
CODE_839587,Bank83_NpcSpriteLogicBranch_839587,src/code_banks/bank_83.asm
CODE_83959D,Bank83_NpcSpriteLogicBranch_83959D,src/code_banks/bank_83.asm
CODE_8395A4,Bank83_NpcSpriteLogicBranch_8395A4,src/code_banks/bank_83.asm
CODE_8395C9,Bank83_NpcSpriteLogicBranch_8395C9,src/code_banks/bank_83.asm
CODE_8395D9,Bank83_NpcSpriteLogicBranch_8395D9,src/code_banks/bank_83.asm
CODE_8395E7,Bank83_NpcSpriteLogicBranch_8395E7,src/code_banks/bank_83.asm
CODE_8395F1,Bank83_NpcSpriteLogicBranch_8395F1,src/code_banks/bank_83.asm
CODE_83960D,Bank83_NpcSpriteLogicBranch_83960D,src/code_banks/bank_83.asm
CODE_839621,Bank83_NpcSpriteLogicBranch_839621,src/code_banks/bank_83.asm
CODE_83966E,Bank83_NpcSpriteLogicBranch_83966E,src/code_banks/bank_83.asm
CODE_83967A,Bank83_NpcSpriteLogicBranch_83967A,src/code_banks/bank_83.asm
CODE_83969E,Bank83_NpcSpriteLogicBranch_83969E,src/code_banks/bank_83.asm
