old_label,new_label,scope,pass
CODE_818072,Bank81_HeldItemMapActionBranch_818072,bank_81.asm,Pass70
CODE_818099,Bank81_HeldItemMapActionBranch_818099,bank_81.asm,Pass70
CODE_818149,Bank81_HeldItemMapActionBranch_818149,bank_81.asm,Pass70
CODE_818161,Bank81_HeldItemMapActionBranch_818161,bank_81.asm,Pass70
CODE_818179,Bank81_HeldItemMapActionBranch_818179,bank_81.asm,Pass70
CODE_818191,Bank81_HeldItemMapActionBranch_818191,bank_81.asm,Pass70
CODE_8181C7,Bank81_HeldItemMapActionBranch_8181C7,bank_81.asm,Pass70
CODE_8181E1,Bank81_HeldItemMapActionBranch_8181E1,bank_81.asm,Pass70
CODE_8181FB,Bank81_HeldItemMapActionBranch_8181FB,bank_81.asm,Pass70
CODE_81820A,Bank81_HeldItemMapActionBranch_81820A,bank_81.asm,Pass70
CODE_81821D,Bank81_HeldItemMapActionBranch_81821D,bank_81.asm,Pass70
CODE_81822C,Bank81_HeldItemMapActionBranch_81822C,bank_81.asm,Pass70
CODE_81823D,Bank81_HeldItemMapActionBranch_81823D,bank_81.asm,Pass70
CODE_81824C,Bank81_HeldItemMapActionBranch_81824C,bank_81.asm,Pass70
CODE_81825F,Bank81_HeldItemMapActionBranch_81825F,bank_81.asm,Pass70
CODE_81826E,Bank81_HeldItemMapActionBranch_81826E,bank_81.asm,Pass70
CODE_81827F,Bank81_HeldItemMapActionBranch_81827F,bank_81.asm,Pass70
CODE_81828E,Bank81_HeldItemMapActionBranch_81828E,bank_81.asm,Pass70
CODE_8182A1,Bank81_HeldItemMapActionBranch_8182A1,bank_81.asm,Pass70
CODE_8182B0,Bank81_HeldItemMapActionBranch_8182B0,bank_81.asm,Pass70
CODE_8182C1,Bank81_HeldItemMapActionBranch_8182C1,bank_81.asm,Pass70
CODE_8182E0,Bank81_HeldItemMapActionBranch_8182E0,bank_81.asm,Pass70
CODE_8182EF,Bank81_HeldItemMapActionBranch_8182EF,bank_81.asm,Pass70
CODE_818328,Bank81_HeldItemMapActionBranch_818328,bank_81.asm,Pass70
CODE_818337,Bank81_HeldItemMapActionBranch_818337,bank_81.asm,Pass70
CODE_81835E,Bank81_HeldItemMapActionBranch_81835E,bank_81.asm,Pass70
CODE_81836C,Bank81_HeldItemMapActionBranch_81836C,bank_81.asm,Pass70
CODE_8184BB,Bank81_HeldItemMapActionBranch_8184BB,bank_81.asm,Pass70
CODE_8184C7,Bank81_HeldItemMapActionBranch_8184C7,bank_81.asm,Pass70
CODE_8184D4,Bank81_HeldItemMapActionBranch_8184D4,bank_81.asm,Pass70
CODE_8184F7,Bank81_HeldItemMapActionBranch_8184F7,bank_81.asm,Pass70
CODE_818503,Bank81_HeldItemMapActionBranch_818503,bank_81.asm,Pass70
CODE_818510,Bank81_HeldItemMapActionBranch_818510,bank_81.asm,Pass70
CODE_818533,Bank81_HeldItemMapActionBranch_818533,bank_81.asm,Pass70
CODE_81853F,Bank81_HeldItemMapActionBranch_81853F,bank_81.asm,Pass70
CODE_81854C,Bank81_HeldItemMapActionBranch_81854C,bank_81.asm,Pass70
CODE_81856F,Bank81_HeldItemMapActionBranch_81856F,bank_81.asm,Pass70
CODE_81857B,Bank81_HeldItemMapActionBranch_81857B,bank_81.asm,Pass70
CODE_818588,Bank81_HeldItemMapActionBranch_818588,bank_81.asm,Pass70
CODE_8185AB,Bank81_HeldItemMapActionBranch_8185AB,bank_81.asm,Pass70
CODE_8185B7,Bank81_HeldItemMapActionBranch_8185B7,bank_81.asm,Pass70
CODE_8185C4,Bank81_HeldItemMapActionBranch_8185C4,bank_81.asm,Pass70
CODE_8185DE,Bank81_HeldItemMapActionBranch_8185DE,bank_81.asm,Pass70
CODE_8185F5,Bank81_HeldItemMapActionBranch_8185F5,bank_81.asm,Pass70
CODE_81860C,Bank81_HeldItemMapActionBranch_81860C,bank_81.asm,Pass70
CODE_818623,Bank81_HeldItemMapActionBranch_818623,bank_81.asm,Pass70
CODE_81864E,Bank81_HeldItemMapActionBranch_81864E,bank_81.asm,Pass70
CODE_81865A,Bank81_HeldItemMapActionBranch_81865A,bank_81.asm,Pass70
CODE_818685,Bank81_HeldItemMapActionBranch_818685,bank_81.asm,Pass70
CODE_818691,Bank81_HeldItemMapActionBranch_818691,bank_81.asm,Pass70
CODE_8186BC,Bank81_HeldItemMapActionBranch_8186BC,bank_81.asm,Pass70
CODE_8186C8,Bank81_HeldItemMapActionBranch_8186C8,bank_81.asm,Pass70
CODE_8186F3,Bank81_HeldItemMapActionBranch_8186F3,bank_81.asm,Pass70
CODE_8186FF,Bank81_HeldItemMapActionBranch_8186FF,bank_81.asm,Pass70
CODE_81872A,Bank81_HeldItemMapActionBranch_81872A,bank_81.asm,Pass70
CODE_818736,Bank81_HeldItemMapActionBranch_818736,bank_81.asm,Pass70
CODE_81874D,Bank81_HeldItemMapActionBranch_81874D,bank_81.asm,Pass70
CODE_818764,Bank81_HeldItemMapActionBranch_818764,bank_81.asm,Pass70
CODE_818780,Bank81_HeldItemMapActionBranch_818780,bank_81.asm,Pass70
CODE_81879C,Bank81_HeldItemMapActionBranch_81879C,bank_81.asm,Pass70
CODE_8187B6,Bank81_HeldItemMapActionBranch_8187B6,bank_81.asm,Pass70
CODE_8187D2,Bank81_HeldItemMapActionBranch_8187D2,bank_81.asm,Pass70
CODE_818846,Bank81_HeldItemMapActionBranch_818846,bank_81.asm,Pass70
CODE_81884D,Bank81_HeldItemMapActionBranch_81884D,bank_81.asm,Pass70
CODE_818854,Bank81_HeldItemMapActionBranch_818854,bank_81.asm,Pass70
CODE_818861,Bank81_HeldItemMapActionBranch_818861,bank_81.asm,Pass70
CODE_818868,Bank81_HeldItemMapActionBranch_818868,bank_81.asm,Pass70
CODE_81886F,Bank81_HeldItemMapActionBranch_81886F,bank_81.asm,Pass70
CODE_818876,Bank81_HeldItemMapActionBranch_818876,bank_81.asm,Pass70
CODE_81887D,Bank81_HeldItemMapActionBranch_81887D,bank_81.asm,Pass70
CODE_818884,Bank81_HeldItemMapActionBranch_818884,bank_81.asm,Pass70
CODE_81888B,Bank81_HeldItemMapActionBranch_81888B,bank_81.asm,Pass70
CODE_818892,Bank81_HeldItemMapActionBranch_818892,bank_81.asm,Pass70
CODE_818899,Bank81_HeldItemMapActionBranch_818899,bank_81.asm,Pass70
CODE_8188A6,Bank81_HeldItemMapActionBranch_8188A6,bank_81.asm,Pass70
CODE_8188AD,Bank81_HeldItemMapActionBranch_8188AD,bank_81.asm,Pass70
CODE_8188B4,Bank81_HeldItemMapActionBranch_8188B4,bank_81.asm,Pass70
CODE_8188BB,Bank81_HeldItemMapActionBranch_8188BB,bank_81.asm,Pass70
CODE_8188C8,Bank81_HeldItemMapActionBranch_8188C8,bank_81.asm,Pass70
CODE_8188CF,Bank81_HeldItemMapActionBranch_8188CF,bank_81.asm,Pass70
CODE_8188D6,Bank81_HeldItemMapActionBranch_8188D6,bank_81.asm,Pass70
CODE_8188DD,Bank81_HeldItemMapActionBranch_8188DD,bank_81.asm,Pass70
CODE_8188E4,Bank81_HeldItemMapActionBranch_8188E4,bank_81.asm,Pass70
CODE_8188F1,Bank81_HeldItemMapActionBranch_8188F1,bank_81.asm,Pass70
CODE_8188F8,Bank81_HeldItemMapActionBranch_8188F8,bank_81.asm,Pass70
CODE_8188FF,Bank81_HeldItemMapActionBranch_8188FF,bank_81.asm,Pass70
CODE_818906,Bank81_HeldItemMapActionBranch_818906,bank_81.asm,Pass70
CODE_81890D,Bank81_HeldItemMapActionBranch_81890D,bank_81.asm,Pass70
CODE_818914,Bank81_HeldItemMapActionBranch_818914,bank_81.asm,Pass70
CODE_81891B,Bank81_HeldItemMapActionBranch_81891B,bank_81.asm,Pass70
CODE_818922,Bank81_HeldItemMapActionBranch_818922,bank_81.asm,Pass70
CODE_818937,Bank81_HeldItemMapActionBranch_818937,bank_81.asm,Pass70
CODE_81893E,Bank81_HeldItemMapActionBranch_81893E,bank_81.asm,Pass70
CODE_81893F,Bank81_HeldItemMapActionBranch_81893F,bank_81.asm,Pass70
CODE_818957,Bank81_HeldItemMapActionBranch_818957,bank_81.asm,Pass70
CODE_818964,Bank81_HeldItemMapActionBranch_818964,bank_81.asm,Pass70
CODE_818989,Bank81_HeldItemMapActionBranch_818989,bank_81.asm,Pass70
CODE_818995,Bank81_HeldItemMapActionBranch_818995,bank_81.asm,Pass70
CODE_81899D,Bank81_HeldItemMapActionBranch_81899D,bank_81.asm,Pass70
CODE_8189AE,Bank81_HeldItemMapActionBranch_8189AE,bank_81.asm,Pass70
CODE_8189BB,Bank81_HeldItemMapActionBranch_8189BB,bank_81.asm,Pass70
CODE_8189E9,Bank81_HeldItemMapActionBranch_8189E9,bank_81.asm,Pass70
CODE_8189EB,Bank81_HeldItemMapActionBranch_8189EB,bank_81.asm,Pass70
CODE_818A03,Bank81_HeldItemMapActionBranch_818A03,bank_81.asm,Pass70
CODE_818A10,Bank81_HeldItemMapActionBranch_818A10,bank_81.asm,Pass70
CODE_818A3A,Bank81_HeldItemMapActionBranch_818A3A,bank_81.asm,Pass70
CODE_818A44,Bank81_HeldItemMapActionBranch_818A44,bank_81.asm,Pass70
CODE_818A4E,Bank81_HeldItemMapActionBranch_818A4E,bank_81.asm,Pass70
CODE_818A66,Bank81_HeldItemMapActionBranch_818A66,bank_81.asm,Pass70
CODE_818A73,Bank81_HeldItemMapActionBranch_818A73,bank_81.asm,Pass70
CODE_818A94,Bank81_HeldItemMapActionBranch_818A94,bank_81.asm,Pass70
CODE_818AA0,Bank81_HeldItemMapActionBranch_818AA0,bank_81.asm,Pass70
CODE_818AE7,Bank81_HeldItemMapActionBranch_818AE7,bank_81.asm,Pass70
CODE_818AF4,Bank81_HeldItemMapActionBranch_818AF4,bank_81.asm,Pass70
CODE_818B19,Bank81_HeldItemMapActionBranch_818B19,bank_81.asm,Pass70
CODE_818B25,Bank81_HeldItemMapActionBranch_818B25,bank_81.asm,Pass70
CODE_818B63,Bank81_HeldItemMapActionBranch_818B63,bank_81.asm,Pass70
CODE_818B6A,Bank81_HeldItemMapActionBranch_818B6A,bank_81.asm,Pass70
CODE_818B6B,Bank81_HeldItemMapActionBranch_818B6B,bank_81.asm,Pass70
CODE_818BA5,Bank81_HeldItemMapActionBranch_818BA5,bank_81.asm,Pass70
CODE_818BB1,Bank81_HeldItemMapActionBranch_818BB1,bank_81.asm,Pass70
CODE_818BB9,Bank81_HeldItemMapActionBranch_818BB9,bank_81.asm,Pass70
CODE_818C0C,Bank81_HeldItemMapActionBranch_818C0C,bank_81.asm,Pass70
CODE_818C23,Bank81_HeldItemMapActionBranch_818C23,bank_81.asm,Pass70
CODE_818C24,Bank81_HeldItemMapActionBranch_818C24,bank_81.asm,Pass70
CODE_818C3E,Bank81_HeldItemMapActionBranch_818C3E,bank_81.asm,Pass70
CODE_818C53,Bank81_HeldItemMapActionBranch_818C53,bank_81.asm,Pass70
CODE_818C71,Bank81_HeldItemMapActionBranch_818C71,bank_81.asm,Pass70
CODE_818C85,Bank81_HeldItemMapActionBranch_818C85,bank_81.asm,Pass70
CODE_818C91,Bank81_HeldItemMapActionBranch_818C91,bank_81.asm,Pass70
CODE_818CF9,Bank81_HeldItemMapActionBranch_818CF9,bank_81.asm,Pass70
CODE_818D2E,Bank81_HeldItemMapActionBranch_818D2E,bank_81.asm,Pass70
CODE_818D38,Bank81_HeldItemMapActionBranch_818D38,bank_81.asm,Pass70
CODE_818D79,Bank81_HeldItemMapActionBranch_818D79,bank_81.asm,Pass70
CODE_818DAB,Bank81_HeldItemMapActionBranch_818DAB,bank_81.asm,Pass70
CODE_818DEC,Bank81_HeldItemMapActionBranch_818DEC,bank_81.asm,Pass70
CODE_818E16,Bank81_HeldItemMapActionBranch_818E16,bank_81.asm,Pass70
CODE_818E1B,Bank81_HeldItemMapActionBranch_818E1B,bank_81.asm,Pass70
CODE_818E57,Bank81_HeldItemMapActionBranch_818E57,bank_81.asm,Pass70
CODE_818E72,Bank81_HeldItemMapActionBranch_818E72,bank_81.asm,Pass70
CODE_818E98,Bank81_HeldItemMapActionBranch_818E98,bank_81.asm,Pass70
CODE_818ECC,Bank81_HeldItemMapActionBranch_818ECC,bank_81.asm,Pass70
CODE_818ED4,Bank81_HeldItemMapActionBranch_818ED4,bank_81.asm,Pass70
CODE_818EDC,Bank81_HeldItemMapActionBranch_818EDC,bank_81.asm,Pass70
CODE_818EFB,Bank81_HeldItemMapActionBranch_818EFB,bank_81.asm,Pass70
CODE_818F03,Bank81_HeldItemMapActionBranch_818F03,bank_81.asm,Pass70
CODE_818F0B,Bank81_HeldItemMapActionBranch_818F0B,bank_81.asm,Pass70
CODE_818F2A,Bank81_HeldItemMapActionBranch_818F2A,bank_81.asm,Pass70
CODE_818F5A,Bank81_HeldItemMapActionBranch_818F5A,bank_81.asm,Pass70
CODE_818F66,Bank81_HeldItemMapActionBranch_818F66,bank_81.asm,Pass70
CODE_818F6E,Bank81_HeldItemMapActionBranch_818F6E,bank_81.asm,Pass70
CODE_818FD7,Bank81_HeldItemMapActionBranch_818FD7,bank_81.asm,Pass70
CODE_818FEA,Bank81_HeldItemMapActionBranch_818FEA,bank_81.asm,Pass70
CODE_81900F,Bank81_HeldItemMapActionBranch_81900F,bank_81.asm,Pass70
CODE_819010,Bank81_HeldItemMapActionBranch_819010,bank_81.asm,Pass70
CODE_819021,Bank81_HeldItemMapActionBranch_819021,bank_81.asm,Pass70
CODE_819049,Bank81_HeldItemMapActionBranch_819049,bank_81.asm,Pass70
CODE_819063,Bank81_HeldItemMapActionBranch_819063,bank_81.asm,Pass70
CODE_819078,Bank81_HeldItemMapActionBranch_819078,bank_81.asm,Pass70
CODE_819096,Bank81_HeldItemMapActionBranch_819096,bank_81.asm,Pass70
CODE_8190AA,Bank81_HeldItemMapActionBranch_8190AA,bank_81.asm,Pass70
CODE_8190B6,Bank81_HeldItemMapActionBranch_8190B6,bank_81.asm,Pass70
CODE_8190D9,Bank81_HeldItemMapActionBranch_8190D9,bank_81.asm,Pass70
CODE_8190E4,Bank81_HeldItemMapActionBranch_8190E4,bank_81.asm,Pass70
CODE_8190EB,Bank81_HeldItemMapActionBranch_8190EB,bank_81.asm,Pass70
CODE_8190F4,Bank81_HeldItemMapActionBranch_8190F4,bank_81.asm,Pass70
CODE_8190FF,Bank81_HeldItemMapActionBranch_8190FF,bank_81.asm,Pass70
CODE_81910C,Bank81_HeldItemMapActionBranch_81910C,bank_81.asm,Pass70
CODE_819132,Bank81_HeldItemMapActionBranch_819132,bank_81.asm,Pass70
CODE_81914C,Bank81_HeldItemMapActionBranch_81914C,bank_81.asm,Pass70
CODE_81917E,Bank81_HeldItemMapActionBranch_81917E,bank_81.asm,Pass70
CODE_819195,Bank81_HeldItemMapActionBranch_819195,bank_81.asm,Pass70
CODE_8191DE,Bank81_HeldItemMapActionBranch_8191DE,bank_81.asm,Pass70
CODE_819220,Bank81_HeldItemMapActionBranch_819220,bank_81.asm,Pass70
CODE_819227,Bank81_HeldItemMapActionBranch_819227,bank_81.asm,Pass70
CODE_819228,Bank81_HeldItemMapActionBranch_819228,bank_81.asm,Pass70
CODE_819242,Bank81_HeldItemMapActionBranch_819242,bank_81.asm,Pass70
CODE_819257,Bank81_HeldItemMapActionBranch_819257,bank_81.asm,Pass70
CODE_819275,Bank81_HeldItemMapActionBranch_819275,bank_81.asm,Pass70
CODE_819289,Bank81_HeldItemMapActionBranch_819289,bank_81.asm,Pass70
CODE_819295,Bank81_HeldItemMapActionBranch_819295,bank_81.asm,Pass70
CODE_8192B8,Bank81_HeldItemMapActionBranch_8192B8,bank_81.asm,Pass70
CODE_8192DF,Bank81_HeldItemMapActionBranch_8192DF,bank_81.asm,Pass70
CODE_8192E7,Bank81_HeldItemMapActionBranch_8192E7,bank_81.asm,Pass70
CODE_81930E,Bank81_HeldItemMapActionBranch_81930E,bank_81.asm,Pass70
CODE_819316,Bank81_HeldItemMapActionBranch_819316,bank_81.asm,Pass70
CODE_81933D,Bank81_HeldItemMapActionBranch_81933D,bank_81.asm,Pass70
CODE_819345,Bank81_HeldItemMapActionBranch_819345,bank_81.asm,Pass70
CODE_81934D,Bank81_HeldItemMapActionBranch_81934D,bank_81.asm,Pass70
CODE_819359,Bank81_HeldItemMapActionBranch_819359,bank_81.asm,Pass70
CODE_81936F,Bank81_HeldItemMapActionBranch_81936F,bank_81.asm,Pass70
CODE_819378,Bank81_HeldItemMapActionBranch_819378,bank_81.asm,Pass70
CODE_819379,Bank81_HeldItemMapActionBranch_819379,bank_81.asm,Pass70
CODE_819386,Bank81_HeldItemMapActionBranch_819386,bank_81.asm,Pass70
CODE_81938D,Bank81_HeldItemMapActionBranch_81938D,bank_81.asm,Pass70
CODE_819394,Bank81_HeldItemMapActionBranch_819394,bank_81.asm,Pass70
CODE_819397,Bank81_HeldItemMapActionBranch_819397,bank_81.asm,Pass70
CODE_8193BD,Bank81_HeldItemMapActionBranch_8193BD,bank_81.asm,Pass70
CODE_8195BB,Bank81_HeldItemMapActionBranch_8195BB,bank_81.asm,Pass70
CODE_8195C6,Bank81_HeldItemMapActionBranch_8195C6,bank_81.asm,Pass70
CODE_8195D1,Bank81_HeldItemMapActionBranch_8195D1,bank_81.asm,Pass70
CODE_8195DC,Bank81_HeldItemMapActionBranch_8195DC,bank_81.asm,Pass70
CODE_8195E7,Bank81_HeldItemMapActionBranch_8195E7,bank_81.asm,Pass70
CODE_8195F2,Bank81_HeldItemMapActionBranch_8195F2,bank_81.asm,Pass70
CODE_8195F4,Bank81_HeldItemMapActionBranch_8195F4,bank_81.asm,Pass70
CODE_81962C,Bank81_HeldItemMapActionBranch_81962C,bank_81.asm,Pass70
CODE_819631,Bank81_HeldItemMapActionBranch_819631,bank_81.asm,Pass70
CODE_81965B,Bank81_HeldItemMapActionBranch_81965B,bank_81.asm,Pass70
CODE_81968F,Bank81_HeldItemMapActionBranch_81968F,bank_81.asm,Pass70
CODE_819695,Bank81_HeldItemMapActionBranch_819695,bank_81.asm,Pass70
CODE_81A510,Bank81_HeldItemMapActionBranch_81A510,bank_81.asm,Pass70
CODE_81A528,Bank81_HeldItemMapActionBranch_81A528,bank_81.asm,Pass70
CODE_81A52A,Bank81_HeldItemMapActionBranch_81A52A,bank_81.asm,Pass70
CODE_81A58F,Bank81_HeldItemMapActionBranch_81A58F,bank_81.asm,Pass70
CODE_81A5A9,Bank81_HeldItemMapActionBranch_81A5A9,bank_81.asm,Pass70
CODE_81A5D1,Bank81_HeldItemMapActionBranch_81A5D1,bank_81.asm,Pass70
CODE_81A5E0,Bank81_HeldItemMapActionBranch_81A5E0,bank_81.asm,Pass70
CODE_81A60E,Bank81_HeldItemMapActionBranch_81A60E,bank_81.asm,Pass70
CODE_81A621,Bank81_HeldItemMapActionBranch_81A621,bank_81.asm,Pass70
CODE_81A629,Bank81_HeldItemMapActionBranch_81A629,bank_81.asm,Pass70
CODE_81A659,Bank81_HeldItemMapActionBranch_81A659,bank_81.asm,Pass70
CODE_81A65C,Bank81_HeldItemMapActionBranch_81A65C,bank_81.asm,Pass70
CODE_81A65D,Bank81_HeldItemMapActionBranch_81A65D,bank_81.asm,Pass70
CODE_81A667,Bank81_HeldItemMapActionBranch_81A667,bank_81.asm,Pass70
CODE_81A692,Bank81_HeldItemMapActionBranch_81A692,bank_81.asm,Pass70
CODE_81A6C0,Bank81_HeldItemMapActionBranch_81A6C0,bank_81.asm,Pass70
CODE_81A6E2,Bank81_HeldItemMapActionBranch_81A6E2,bank_81.asm,Pass70
CODE_81A6F9,Bank81_HeldItemMapActionBranch_81A6F9,bank_81.asm,Pass70
CODE_81A701,Bank81_HeldItemMapActionBranch_81A701,bank_81.asm,Pass70
CODE_81A70C,Bank81_HeldItemMapActionBranch_81A70C,bank_81.asm,Pass70
CODE_81A728,Bank81_HeldItemMapActionBranch_81A728,bank_81.asm,Pass70
CODE_81A730,Bank81_HeldItemMapActionBranch_81A730,bank_81.asm,Pass70
CODE_81A767,Bank81_HeldItemMapActionBranch_81A767,bank_81.asm,Pass70
CODE_81A8C0,Bank81_HeldItemMapActionBranch_81A8C0,bank_81.asm,Pass70
CODE_81A8C4,Bank81_HeldItemMapActionBranch_81A8C4,bank_81.asm,Pass70
CODE_81A8CD,Bank81_HeldItemMapActionBranch_81A8CD,bank_81.asm,Pass70
CODE_81A8EF,Bank81_HeldItemMapActionBranch_81A8EF,bank_81.asm,Pass70
CODE_81A8FD,Bank81_HeldItemMapActionBranch_81A8FD,bank_81.asm,Pass70
CODE_81A910,Bank81_HeldItemMapActionBranch_81A910,bank_81.asm,Pass70
CODE_81A94A,Bank81_HeldItemMapActionBranch_81A94A,bank_81.asm,Pass70
CODE_81A956,Bank81_HeldItemMapActionBranch_81A956,bank_81.asm,Pass70
CODE_81A96E,Bank81_HeldItemMapActionBranch_81A96E,bank_81.asm,Pass70
CODE_81A979,Bank81_HeldItemMapActionBranch_81A979,bank_81.asm,Pass70
CODE_81A982,Bank81_HeldItemMapActionBranch_81A982,bank_81.asm,Pass70
CODE_81A9AE,Bank81_HeldItemMapActionBranch_81A9AE,bank_81.asm,Pass70
CODE_81A9E4,Bank81_HeldItemMapActionBranch_81A9E4,bank_81.asm,Pass70
CODE_81AC24,Bank81_HeldItemMapActionBranch_81AC24,bank_81.asm,Pass70
CODE_81AC48,Bank81_HeldItemMapActionBranch_81AC48,bank_81.asm,Pass70
CODE_81AC92,Bank81_HeldItemMapActionBranch_81AC92,bank_81.asm,Pass70
CODE_81ACB7,Bank81_HeldItemMapActionBranch_81ACB7,bank_81.asm,Pass70
CODE_81ACE3,Bank81_HeldItemMapActionBranch_81ACE3,bank_81.asm,Pass70
CODE_81AD0A,Bank81_HeldItemMapActionBranch_81AD0A,bank_81.asm,Pass70
CODE_81AD3A,Bank81_HeldItemMapActionBranch_81AD3A,bank_81.asm,Pass70
CODE_81AD61,Bank81_HeldItemMapActionBranch_81AD61,bank_81.asm,Pass70
CODE_81ADE3,Bank81_HeldItemMapActionBranch_81ADE3,bank_81.asm,Pass70
CODE_81ADF0,Bank81_HeldItemMapActionBranch_81ADF0,bank_81.asm,Pass70
CODE_81AE19,Bank81_HeldItemMapActionBranch_81AE19,bank_81.asm,Pass70
CODE_81B292,Bank81_HeldItemMapActionBranch_81B292,bank_81.asm,Pass70
CODE_81B2D3,Bank81_HeldItemMapActionBranch_81B2D3,bank_81.asm,Pass70
CODE_81B2E2,Bank81_HeldItemMapActionBranch_81B2E2,bank_81.asm,Pass70
CODE_81B2F1,Bank81_HeldItemMapActionBranch_81B2F1,bank_81.asm,Pass70
CODE_81B300,Bank81_HeldItemMapActionBranch_81B300,bank_81.asm,Pass70
CODE_81B30F,Bank81_HeldItemMapActionBranch_81B30F,bank_81.asm,Pass70
CODE_81B344,Bank81_HeldItemMapActionBranch_81B344,bank_81.asm,Pass70
CODE_81B34E,Bank81_HeldItemMapActionBranch_81B34E,bank_81.asm,Pass70
CODE_81BFD3,Bank81_HeldItemMapActionBranch_81BFD3,bank_81.asm,Pass70
CODE_81BFE8,Bank81_HeldItemMapActionBranch_81BFE8,bank_81.asm,Pass70
CODE_81BFF2,Bank81_HeldItemMapActionBranch_81BFF2,bank_81.asm,Pass70
CODE_81BFFA,Bank81_HeldItemMapActionBranch_81BFFA,bank_81.asm,Pass70
CODE_81C00E,Bank81_HeldItemMapActionBranch_81C00E,bank_81.asm,Pass70
CODE_81C013,Bank81_HeldItemMapActionBranch_81C013,bank_81.asm,Pass70
CODE_81C06F,Bank81_HeldItemMapActionBranch_81C06F,bank_81.asm,Pass70
CODE_81C08A,Bank81_HeldItemMapActionBranch_81C08A,bank_81.asm,Pass70
CODE_81C0B2,Bank81_HeldItemMapActionBranch_81C0B2,bank_81.asm,Pass70
CODE_81C0F2,Bank81_HeldItemMapActionBranch_81C0F2,bank_81.asm,Pass70
CODE_81C101,Bank81_HeldItemMapActionBranch_81C101,bank_81.asm,Pass70
CODE_81C10E,Bank81_HeldItemMapActionBranch_81C10E,bank_81.asm,Pass70
CODE_81C150,Bank81_HeldItemMapActionBranch_81C150,bank_81.asm,Pass70
CODE_81C19E,Bank81_HeldItemMapActionBranch_81C19E,bank_81.asm,Pass70
CODE_81C1ED,Bank81_HeldItemMapActionBranch_81C1ED,bank_81.asm,Pass70
CODE_81C20E,Bank81_HeldItemMapActionBranch_81C20E,bank_81.asm,Pass70
CODE_81C22F,Bank81_HeldItemMapActionBranch_81C22F,bank_81.asm,Pass70
CODE_81C260,Bank81_HeldItemMapActionBranch_81C260,bank_81.asm,Pass70
CODE_81C280,Bank81_HeldItemMapActionBranch_81C280,bank_81.asm,Pass70
CODE_81C2AC,Bank81_HeldItemMapActionBranch_81C2AC,bank_81.asm,Pass70
CODE_81C2E2,Bank81_HeldItemMapActionBranch_81C2E2,bank_81.asm,Pass70
CODE_81C303,Bank81_HeldItemMapActionBranch_81C303,bank_81.asm,Pass70
CODE_81C31E,Bank81_HeldItemMapActionBranch_81C31E,bank_81.asm,Pass70
CODE_81C330,Bank81_HeldItemMapActionBranch_81C330,bank_81.asm,Pass70
CODE_81C361,Bank81_HeldItemMapActionBranch_81C361,bank_81.asm,Pass70
CODE_81C392,Bank81_HeldItemMapActionBranch_81C392,bank_81.asm,Pass70
CODE_81C3A3,Bank81_HeldItemMapActionBranch_81C3A3,bank_81.asm,Pass70
CODE_81C3CC,Bank81_HeldItemMapActionBranch_81C3CC,bank_81.asm,Pass70
CODE_81C3D8,Bank81_HeldItemMapActionBranch_81C3D8,bank_81.asm,Pass70
CODE_81C415,Bank81_HeldItemMapActionBranch_81C415,bank_81.asm,Pass70
CODE_81C41D,Bank81_HeldItemMapActionBranch_81C41D,bank_81.asm,Pass70
CODE_81C425,Bank81_HeldItemMapActionBranch_81C425,bank_81.asm,Pass70
CODE_81C42D,Bank81_HeldItemMapActionBranch_81C42D,bank_81.asm,Pass70
CODE_81C435,Bank81_HeldItemMapActionBranch_81C435,bank_81.asm,Pass70
CODE_81C43D,Bank81_HeldItemMapActionBranch_81C43D,bank_81.asm,Pass70
CODE_81C445,Bank81_HeldItemMapActionBranch_81C445,bank_81.asm,Pass70
CODE_81C44D,Bank81_HeldItemMapActionBranch_81C44D,bank_81.asm,Pass70
CODE_81C455,Bank81_HeldItemMapActionBranch_81C455,bank_81.asm,Pass70
CODE_81C45D,Bank81_HeldItemMapActionBranch_81C45D,bank_81.asm,Pass70
CODE_81C465,Bank81_HeldItemMapActionBranch_81C465,bank_81.asm,Pass70
CODE_81C46D,Bank81_HeldItemMapActionBranch_81C46D,bank_81.asm,Pass70
CODE_81C4A2,Bank81_HeldItemMapActionBranch_81C4A2,bank_81.asm,Pass70
CODE_81C4AA,Bank81_HeldItemMapActionBranch_81C4AA,bank_81.asm,Pass70
CODE_81C4B2,Bank81_HeldItemMapActionBranch_81C4B2,bank_81.asm,Pass70
CODE_81C4BA,Bank81_HeldItemMapActionBranch_81C4BA,bank_81.asm,Pass70
CODE_81C4CA,Bank81_HeldItemMapActionBranch_81C4CA,bank_81.asm,Pass70
CODE_81C4E9,Bank81_HeldItemMapActionBranch_81C4E9,bank_81.asm,Pass70
CODE_81C4FA,Bank81_HeldItemMapActionBranch_81C4FA,bank_81.asm,Pass70
CODE_81C503,Bank81_HeldItemMapActionBranch_81C503,bank_81.asm,Pass70
CODE_81C517,Bank81_HeldItemMapActionBranch_81C517,bank_81.asm,Pass70
CODE_81C528,Bank81_HeldItemMapActionBranch_81C528,bank_81.asm,Pass70
CODE_81C531,Bank81_HeldItemMapActionBranch_81C531,bank_81.asm,Pass70
CODE_81C542,Bank81_HeldItemMapActionBranch_81C542,bank_81.asm,Pass70
