opcode,address,symbol,status
$00,$8489BB,EventCmd_00_SetAudioControlByte,covered_by_dispatch_comment
$01,$8489E3,EventCmd_01_EnableTimeFlow,covered_by_dispatch_comment
$02,$848A0D,EventCmd_02_StopTimeFlow,covered_by_dispatch_comment
$03,$848A39,EventCmd_03_SetHour,covered_by_dispatch_comment
$04,$848A58,EventCmd_04_Nop,covered_by_dispatch_comment
$05,$848A65,EventCmd_05_SetPlayerPosition,covered_by_dispatch_comment
$06,$848A94,EventCmd_06_SetTransitionDestination,covered_by_dispatch_comment
$07,$848ABF,EventCmd_07_SetPlayerDirection,covered_by_dispatch_comment
$08,$848AE7,EventCmd_08_SetGameStateControl,covered_by_dispatch_comment
$09,$848B08,EventCmd_09_StartNestedScriptSlot,covered_by_dispatch_comment
$0A,$848B83,EventCmd_0A_ScreenFadeIn,covered_by_dispatch_comment
$0B,$848BAC,EventCmd_0B_SetSlotLocalFlag7A,covered_by_dispatch_comment
$0C,$848BDC,EventCmd_0C_TestSlotLocalFlag7A,covered_by_dispatch_comment
$0D,$848C22,EventCmd_0D_SetSlotStateAndDelay,covered_by_dispatch_comment
$0E,$848CA8,EventCmd_0E_AudioCommandShort,covered_by_dispatch_comment
$0F,$848CB9,EventCmd_0F_ScreenFadeOut,covered_by_dispatch_comment
$10,$848CE2,EventCmd_10_DisableScriptSlot,covered_by_dispatch_comment
$11,$848CFD,EventCmd_11_SetGameStateControl2,covered_by_dispatch_comment
$12,$848D13,EventCmd_12_Jump,covered_by_dispatch_comment
$13,$848D24,EventCmd_13_SetWaitTimer,covered_by_dispatch_comment
$14,$848D44,EventCmd_14_JumpIfFlagSet,covered_by_dispatch_comment
$15,$848DA5,EventCmd_15_JumpIfByteEquals,covered_by_dispatch_comment
$16,$848DFB,EventCmd_16_JumpIfByteBetween,covered_by_dispatch_comment
$17,$848E68,EventCmd_17_RNG_GetNextByte,covered_by_dispatch_comment
$18,$848E90,EventCmd_18_JumpIfRNGEquals,covered_by_dispatch_comment
$19,$848EC9,EventCmd_19_SetAnimationState,covered_by_dispatch_comment
$1A,$848F0A,EventCmd_1A_SetSlotObjectMotionParams,covered_by_dispatch_comment
$1B,$848F9B,EventCmd_1B_SetSlotObjectState,covered_by_dispatch_comment
$1C,$848FEF,EventCmd_1C_StartTextBox,covered_by_dispatch_comment
$1D,$849034,EventCmd_1D_StartTextBoxCopy,covered_by_dispatch_comment
$1E,$849079,EventCmd_1E_SetSlotState,covered_by_dispatch_comment
$1F,$849079,EventCmd_1F_SetSlotStateDuplicate,covered_by_dispatch_comment
$20,$84919D,EventCmd_20_JumpIfPromptValueEquals,covered_by_dispatch_comment
$21,$8491D2,EventCmd_21_TextBoxRelatedControl,covered_by_dispatch_comment
$22,$84923F,EventCmd_22_SetSlotObjectAndPositionState,covered_by_dispatch_comment
$23,$849306,EventCmd_23_SetFlag,covered_by_dispatch_comment
$24,$849356,EventCmd_24_SetTimeOfDayPalette,covered_by_dispatch_comment
$25,$849375,EventCmd_25_SetSlotStateFlag,covered_by_dispatch_comment
$26,$8493C9,EventCmd_26_ResetFlag,covered_by_dispatch_comment
$27,$8493C9,EventCmd_27_ResetFlagAlias,covered_by_dispatch_comment
$28,$8493C9,EventCmd_28_ResetFlagAlias,covered_by_dispatch_comment
$29,$849513,EventCmd_29_MapScrolling,covered_by_dispatch_comment
$2A,$849553,EventCmd_2A_SetScrollOrCameraFlag,covered_by_dispatch_comment
$2B,$84957D,EventCmd_2B_SetSlotObjectPosition,covered_by_dispatch_comment
$2C,$8495E8,EventCmd_2C_AudioCommandLong,covered_by_dispatch_comment
$2D,$849633,EventCmd_2D_SetSlotObjectMotion,covered_by_dispatch_comment
$2E,$849777,EventCmd_2E_SetSlotExtendedState,covered_by_dispatch_comment
