group,entry,target,residual_addr,hard_group_end,pass73_category,pass74_category,reason,residual_byte,cmd_index,first_bytes_at_residual
$00,20,$B38DD1,$B38DD7,$B39359,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$81,3,$81 $10 $12 $E1 $8D $2E $01 $F0 $89 $10 $35 $12 ...
$00,95,$B39129,$B3912F,$B39359,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$91,3,$91 $12 $2D $91 $1C $A3 $03 $00 $12 $2D $91
$00,127,$B392B3,$B392BC,$B39359,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$C1,2,$C1 $92 $12 $BB $92 $23 $5E $1F $7F $04 $3D $22 ...
$00,134,$B39313,$B39332,$B39359,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$93,8,$93 $12 $30 $93 $1C $3B $01 $00 $12 $30 $93 $1A ...
$00,135,$B39313,$B39332,$B39359,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$93,8,$93 $12 $30 $93 $1C $3B $01 $00 $12 $30 $93 $1A ...
$01,1,$B39D05,$B39E41,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$CB,72,$CB $9E $12 $3D $9E $4D $51 $9E $2D $1D $9F $58 ...
$01,4,$B3A162,$B3A192,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$62,13,$62 $A2 $12 $91 $A1 $1C $CA $01 $00 $12 $86 $A1 ...
$01,5,$B3A438,$B3A470,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$A8,14,$A8 $A4 $12 $6C $A4 $1C $C7 $01 $00 $12 $61 $A4 ...
$01,6,$B3A5B1,$B3A5D3,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$5C,10,$5C $A6 $12 $CF $A5 $4D $E1 $A5 $1F $67 $A6 $12 ...
$01,7,$B3A727,$B3A749,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$A4,10,$A4 $A7 $12 $45 $A7 $1C $C9 $01 $00 $1B $AF $02 ...
$01,9,$B3AD24,$B3AD43,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$A3,9,$A3 $AD $12 $3F $AD $1C $C8 $01 $00 $12 $37 $AD ...
$01,10,$B3ADB1,$B3ADCD,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$D2,8,$D2 $AD $12 $CC $AD $1D $70 $01 $00 $12 $CC $AD ...
$01,11,$B3AE03,$B3AE08,$B3AE03,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$B4,1,$B4 $E1 $B6 $D2 $B8 $39 $BA $39 $BA $39 $BA $39 ...
$01,12,$B3AE03,$B3AE08,$B3AE03,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$B4,1,$B4 $E1 $B6 $D2 $B8 $39 $BA $39 $BA $39 $BA $39 ...
$01,13,$B3AE03,$B3AE08,$B3AE03,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$B4,1,$B4 $E1 $B6 $D2 $B8 $39 $BA $39 $BA $39 $BA $39 ...
$01,14,$B3AE03,$B3AE08,$B3AE03,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$B4,1,$B4 $E1 $B6 $D2 $B8 $39 $BA $39 $BA $39 $BA $39 ...
$01,15,$B3AE03,$B3AE08,$B3AE03,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$B4,1,$B4 $E1 $B6 $D2 $B8 $39 $BA $39 $BA $39 $BA $39 ...
$02,4,$B3B8D2,$B3B917,$B3BA39,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$F3,16,$F3 $B9 $12 $13 $B9 $4D $25 $B9 $1F $2A $BA $12 ...
$02,5,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,6,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,7,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,8,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,9,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,10,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,11,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,12,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,13,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,14,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$02,15,$B3BA39,$B3BA3A,$B3BA39,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$BA,1,$BA $2D $BD $E4 $C1 $07 $C5 $07 $C5 $07 $C5 $07 ...
$03,0,$B3BA59,$B3BAD6,$B3C507,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$DB,22,$DB $BA $12 $D5 $BA $1D $C3 $01 $00 $20 $00 $E7 ...
$03,3,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,4,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,5,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,6,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,7,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,8,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,9,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,10,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,11,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,12,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
$03,13,$B3C507,$B3C50C,$B3C507,short_script_then_inline_residual_payload,cross_group_boundary_artifact,linear scan reached the next EventScriptGroup start or later; not a missing opcode for this group,$C6,1,$C6 $10 $C8 $2A $C9 $98 $CA $60 $CB $A5 $CB $71 ...
