group,group_start,hard_group_end,commands_or_markers,pass73_residuals,cross_group_artifacts,true_in_group_residuals,pass74_effective_known_percent,status
$00,$B38BB8,$B39359,480,5,0,5,98.958,needs_manual_inline_trace
$01,$B39359,$B3AE03,329,12,5,7,97.872,needs_manual_inline_trace
$02,$B3AE03,$B3BA39,225,12,11,1,99.556,needs_manual_inline_trace
$03,$B3BA39,$B3C507,207,14,13,1,99.517,needs_manual_inline_trace
$04,$B3C507,$B3CC71,395,8,8,0,100.000,closed_after_boundary_overlay
$05,$B3CC71,$B3D447,108,15,15,0,100.000,closed_after_boundary_overlay
$06,$B3D447,$B3D9F7,333,9,9,0,100.000,closed_after_boundary_overlay
$07,$B3D9F7,$B3E0BF,389,8,8,0,100.000,closed_after_boundary_overlay
$08,$B3E0BF,$B3E603,312,8,8,0,100.000,closed_after_boundary_overlay
$09,$B3E603,$B3E83B,76,16,15,1,98.684,needs_manual_inline_trace
$0A,$B3E83B,$B3E9DA,28,10,10,0,100.000,closed_after_boundary_overlay
$0B,$B3E9DA,$B3EF5A,91,5,3,2,97.802,needs_manual_inline_trace
$0C,$B3EF5A,$B3F068,16,14,14,0,100.000,closed_after_boundary_overlay
$0D,$B3F068,$B3F0E6,30,14,14,0,100.000,closed_after_boundary_overlay
$0E,$B3F0E6,$B48000,648,0,0,0,100.000,closed_after_boundary_overlay
$0F,$B48000,$B487B8,22,10,10,0,100.000,closed_after_boundary_overlay
$10,$B487B8,$B48818,35,15,15,0,100.000,closed_after_boundary_overlay
$11,$B48818,$B488A0,16,15,15,0,100.000,closed_after_boundary_overlay
$12,$B488A0,$B4892A,31,15,15,0,100.000,closed_after_boundary_overlay
$13,$B4892A,$B489D2,16,15,15,0,100.000,closed_after_boundary_overlay
$14,$B489D2,$B48C25,42,11,11,0,100.000,closed_after_boundary_overlay
$15,$B48C25,$B48D38,62,16,15,1,98.387,needs_manual_inline_trace
$16,$B48D38,$B48E05,31,15,15,0,100.000,closed_after_boundary_overlay
$17,$B48E05,$B48EC5,17,16,15,1,94.118,needs_manual_inline_trace
$18,$B48EC5,$B48F95,18,15,15,0,100.000,closed_after_boundary_overlay
$19,$B48F95,$B490D3,16,14,14,0,100.000,closed_after_boundary_overlay
$1A,$B490D3,$B491B3,16,14,14,0,100.000,closed_after_boundary_overlay
$1B,$B491B3,$B492D2,17,15,14,1,94.118,needs_manual_inline_trace
$1C,$B492D2,$B4943C,17,14,13,1,94.118,needs_manual_inline_trace
