group,commands_or_markers,pass74_true_in_group_residuals,pass75_b4_payload_closed,pass75_remaining_non_b4_residuals,pass75_effective_known_percent,pass75_status
$00,480,5,0,5,98.958,needs_manual_non_b4_trace
$01,329,7,0,7,97.872,needs_manual_non_b4_trace
$02,225,1,0,1,99.556,needs_manual_non_b4_trace
$03,207,1,0,1,99.517,needs_manual_non_b4_trace
$04,395,0,0,0,100.000,closed_after_pass75_b4_overlay
$05,108,0,0,0,100.000,closed_after_pass75_b4_overlay
$06,333,0,0,0,100.000,closed_after_pass75_b4_overlay
$07,389,0,0,0,100.000,closed_after_pass75_b4_overlay
$08,312,0,0,0,100.000,closed_after_pass75_b4_overlay
$09,76,1,0,1,98.684,needs_manual_non_b4_trace
$0A,28,0,0,0,100.000,closed_after_pass75_b4_overlay
$0B,91,2,0,2,97.802,needs_manual_non_b4_trace
$0C,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$0D,30,0,0,0,100.000,closed_after_pass75_b4_overlay
$0E,648,0,0,0,100.000,closed_after_pass75_b4_overlay
$0F,22,0,0,0,100.000,closed_after_pass75_b4_overlay
$10,35,0,0,0,100.000,closed_after_pass75_b4_overlay
$11,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$12,31,0,0,0,100.000,closed_after_pass75_b4_overlay
$13,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$14,42,0,0,0,100.000,closed_after_pass75_b4_overlay
$15,62,1,0,1,98.387,needs_manual_non_b4_trace
$16,31,0,0,0,100.000,closed_after_pass75_b4_overlay
$17,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$18,18,0,0,0,100.000,closed_after_pass75_b4_overlay
$19,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$1A,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$1B,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$1C,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$1D,21,0,0,0,100.000,closed_after_pass75_b4_overlay
$1E,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$1F,29,0,0,0,100.000,closed_after_pass75_b4_overlay
$20,31,0,0,0,100.000,closed_after_pass75_b4_overlay
$21,17,0,0,0,100.000,closed_after_pass75_b4_overlay
$22,16,0,0,0,100.000,closed_after_pass75_b4_overlay
$23,24,0,0,0,100.000,closed_after_pass75_b4_overlay
$24,36,4,0,4,88.889,needs_manual_non_b4_trace
$25,40,0,0,0,100.000,closed_after_pass75_b4_overlay
$26,21,1,1,0,100.000,closed_after_pass75_b4_overlay
$27,20,0,0,0,100.000,closed_after_pass75_b4_overlay
$28,32,0,0,0,100.000,closed_after_pass75_b4_overlay
$29,18,0,0,0,100.000,closed_after_pass75_b4_overlay
$2A,56,0,0,0,100.000,closed_after_pass75_b4_overlay
$2B,24,0,0,0,100.000,closed_after_pass75_b4_overlay
$2C,22,0,0,0,100.000,closed_after_pass75_b4_overlay
$2D,49,0,0,0,100.000,closed_after_pass75_b4_overlay
$2E,32,1,1,0,100.000,closed_after_pass75_b4_overlay
$2F,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$30,257,1,1,0,100.000,closed_after_pass75_b4_overlay
$31,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$32,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$33,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$34,34,1,1,0,100.000,closed_after_pass75_b4_overlay
$35,18,1,1,0,100.000,closed_after_pass75_b4_overlay
$36,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$37,19,1,1,0,100.000,closed_after_pass75_b4_overlay
$38,32,1,1,0,100.000,closed_after_pass75_b4_overlay
$39,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$3A,32,2,2,0,100.000,closed_after_pass75_b4_overlay
$3B,18,2,2,0,100.000,closed_after_pass75_b4_overlay
$3C,18,2,2,0,100.000,closed_after_pass75_b4_overlay
$3D,32,2,2,0,100.000,closed_after_pass75_b4_overlay
$3E,32,1,1,0,100.000,closed_after_pass75_b4_overlay
$3F,32,1,1,0,100.000,closed_after_pass75_b4_overlay
$40,17,1,1,0,100.000,closed_after_pass75_b4_overlay
$41,18,1,1,0,100.000,closed_after_pass75_b4_overlay
$42,1796,2,2,0,100.000,closed_after_pass75_b4_overlay
$43,231,4,0,4,98.268,needs_manual_non_b4_trace
$44,523,0,0,0,100.000,closed_after_pass75_b4_overlay
$45,166,0,0,0,100.000,closed_after_pass75_b4_overlay
$46,29,13,13,0,100.000,closed_after_pass75_b4_overlay
$47,657,30,30,0,100.000,closed_after_pass75_b4_overlay
