group,commands_or_markers_pass76_model,pass76_remaining_non_b4_residuals,pass76_effective_known_percent,pass76_status
$00,502,1,99.801,needs_manual_non_b4_trace
$01,737,0,100.000,closed_after_dynamic_target_payload_model
$02,288,0,100.000,closed_after_dynamic_target_payload_model
$03,217,0,100.000,closed_after_dynamic_target_payload_model
$04,395,0,100.000,closed_after_dynamic_target_payload_model
$05,108,0,100.000,closed_after_dynamic_target_payload_model
$06,333,0,100.000,closed_after_dynamic_target_payload_model
$07,389,0,100.000,closed_after_dynamic_target_payload_model
$08,312,0,100.000,closed_after_dynamic_target_payload_model
$09,76,1,98.684,needs_manual_non_b4_trace
$0A,28,0,100.000,closed_after_dynamic_target_payload_model
$0B,102,0,100.000,closed_after_dynamic_target_payload_model
$0C,16,0,100.000,closed_after_dynamic_target_payload_model
$0D,30,0,100.000,closed_after_dynamic_target_payload_model
$0E,648,0,100.000,closed_after_dynamic_target_payload_model
$0F,22,0,100.000,closed_after_dynamic_target_payload_model
$10,35,0,100.000,closed_after_dynamic_target_payload_model
$11,16,0,100.000,closed_after_dynamic_target_payload_model
$12,31,0,100.000,closed_after_dynamic_target_payload_model
$13,16,0,100.000,closed_after_dynamic_target_payload_model
$14,42,0,100.000,closed_after_dynamic_target_payload_model
$15,110,0,100.000,closed_after_dynamic_target_payload_model
$16,31,0,100.000,closed_after_dynamic_target_payload_model
$17,17,0,100.000,closed_after_dynamic_target_payload_model
$18,18,0,100.000,closed_after_dynamic_target_payload_model
$19,16,0,100.000,closed_after_dynamic_target_payload_model
$1A,16,0,100.000,closed_after_dynamic_target_payload_model
$1B,17,0,100.000,closed_after_dynamic_target_payload_model
$1C,17,0,100.000,closed_after_dynamic_target_payload_model
$1D,21,0,100.000,closed_after_dynamic_target_payload_model
$1E,16,0,100.000,closed_after_dynamic_target_payload_model
$1F,29,0,100.000,closed_after_dynamic_target_payload_model
$20,31,0,100.000,closed_after_dynamic_target_payload_model
$21,17,0,100.000,closed_after_dynamic_target_payload_model
$22,16,0,100.000,closed_after_dynamic_target_payload_model
$23,24,0,100.000,closed_after_dynamic_target_payload_model
$24,36,4,88.889,needs_manual_non_b4_trace
$25,40,0,100.000,closed_after_dynamic_target_payload_model
$26,21,0,100.000,closed_after_dynamic_target_payload_model
$27,20,0,100.000,closed_after_dynamic_target_payload_model
$28,32,0,100.000,closed_after_dynamic_target_payload_model
$29,18,0,100.000,closed_after_dynamic_target_payload_model
$2A,56,0,100.000,closed_after_dynamic_target_payload_model
$2B,24,0,100.000,closed_after_dynamic_target_payload_model
$2C,22,0,100.000,closed_after_dynamic_target_payload_model
$2D,49,0,100.000,closed_after_dynamic_target_payload_model
$2E,32,0,100.000,closed_after_dynamic_target_payload_model
$2F,17,0,100.000,closed_after_dynamic_target_payload_model
$30,257,0,100.000,closed_after_dynamic_target_payload_model
$31,17,0,100.000,closed_after_dynamic_target_payload_model
$32,17,0,100.000,closed_after_dynamic_target_payload_model
$33,17,0,100.000,closed_after_dynamic_target_payload_model
$34,34,0,100.000,closed_after_dynamic_target_payload_model
$35,18,0,100.000,closed_after_dynamic_target_payload_model
$36,17,0,100.000,closed_after_dynamic_target_payload_model
$37,19,0,100.000,closed_after_dynamic_target_payload_model
$38,32,0,100.000,closed_after_dynamic_target_payload_model
$39,17,0,100.000,closed_after_dynamic_target_payload_model
$3A,32,0,100.000,closed_after_dynamic_target_payload_model
$3B,18,0,100.000,closed_after_dynamic_target_payload_model
$3C,18,0,100.000,closed_after_dynamic_target_payload_model
$3D,32,0,100.000,closed_after_dynamic_target_payload_model
$3E,32,0,100.000,closed_after_dynamic_target_payload_model
$3F,32,0,100.000,closed_after_dynamic_target_payload_model
$40,17,0,100.000,closed_after_dynamic_target_payload_model
$41,18,0,100.000,closed_after_dynamic_target_payload_model
$42,1796,0,100.000,closed_after_dynamic_target_payload_model
$43,651,0,100.000,closed_after_dynamic_target_payload_model
$44,523,0,100.000,closed_after_dynamic_target_payload_model
$45,166,0,100.000,closed_after_dynamic_target_payload_model
$46,29,0,100.000,closed_after_dynamic_target_payload_model
$47,657,0,100.000,closed_after_dynamic_target_payload_model
