group,entry,target,residual_addr,residual_byte,cmd_index,boundary,hard_group_end,stop_reason,pass77_category,pass77_status
$00,134,$B39313,$B39359,$79,16,$B3FFFF,$B39359,unknown_opcode_$79,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$00,135,$B39313,$B39359,$79,16,$B3FFFF,$B39359,unknown_opcode_$79,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$01,11,$B3AE03,$B3AE08,$B4,1,$B3FFFF,$B3AE03,unknown_opcode_$B4,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$01,12,$B3AE03,$B3AE08,$B4,1,$B3FFFF,$B3AE03,unknown_opcode_$B4,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$01,13,$B3AE03,$B3AE08,$B4,1,$B3FFFF,$B3AE03,unknown_opcode_$B4,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$01,14,$B3AE03,$B3AE08,$B4,1,$B3FFFF,$B3AE03,unknown_opcode_$B4,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$01,15,$B3AE03,$B3AE08,$B4,1,$B3FFFF,$B3AE03,unknown_opcode_$B4,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,5,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,6,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,7,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,8,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,9,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,10,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,11,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,12,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,13,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,14,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$02,15,$B3BA39,$B3BA3A,$BA,1,$B3FFFF,$B3BA39,unknown_opcode_$BA,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$03,3,$B3C507,$B3C50C,$C6,1,$B3FFFF,$B3C507,unknown_opcode_$C6,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$03,4,$B3C507,$B3C50C,$C6,1,$B3FFFF,$B3C507,unknown_opcode_$C6,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$03,5,$B3C507,$B3C50C,$C6,1,$B3FFFF,$B3C507,unknown_opcode_$C6,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
$03,6,$B3C507,$B3C50C,$C6,1,$B3FFFF,$B3C507,unknown_opcode_$C6,cross_group_boundary_or_alias_artifact,closed_as_boundary_artifact
