group,commands_or_markers_pass77_model,pass77_true_residuals,pass77_effective_known_percent,pass77_status
$00,504,0,100.000,closed_residual_free
$01,777,0,100.000,closed_residual_free
$02,288,0,100.000,closed_residual_free
$03,281,0,100.000,closed_residual_free
$04,395,0,100.000,closed_residual_free
$05,108,0,100.000,closed_residual_free
$06,333,0,100.000,closed_residual_free
$07,389,0,100.000,closed_residual_free
$08,312,0,100.000,closed_residual_free
$09,73,0,100.000,closed_residual_free
$0A,28,0,100.000,closed_residual_free
$0B,102,0,100.000,closed_residual_free
$0C,16,0,100.000,closed_residual_free
$0D,30,0,100.000,closed_residual_free
$0E,424,0,100.000,closed_residual_free
$0F,22,0,100.000,closed_residual_free
$10,35,0,100.000,closed_residual_free
$11,16,0,100.000,closed_residual_free
$12,31,0,100.000,closed_residual_free
$13,16,0,100.000,closed_residual_free
$14,42,0,100.000,closed_residual_free
$15,110,0,100.000,closed_residual_free
$16,31,0,100.000,closed_residual_free
$17,22,0,100.000,closed_residual_free
$18,18,0,100.000,closed_residual_free
$19,16,0,100.000,closed_residual_free
$1A,16,0,100.000,closed_residual_free
$1B,20,0,100.000,closed_residual_free
$1C,19,0,100.000,closed_residual_free
$1D,21,0,100.000,closed_residual_free
$1E,16,0,100.000,closed_residual_free
$1F,29,0,100.000,closed_residual_free
$20,31,0,100.000,closed_residual_free
$21,17,0,100.000,closed_residual_free
$22,16,0,100.000,closed_residual_free
$23,24,0,100.000,closed_residual_free
$24,87,0,100.000,closed_residual_free
$25,40,0,100.000,closed_residual_free
$26,66,0,100.000,closed_residual_free
$27,20,0,100.000,closed_residual_free
$28,32,0,100.000,closed_residual_free
$29,18,0,100.000,closed_residual_free
$2A,56,0,100.000,closed_residual_free
$2B,24,0,100.000,closed_residual_free
$2C,22,0,100.000,closed_residual_free
$2D,49,0,100.000,closed_residual_free
$2E,65,0,100.000,closed_residual_free
$2F,40,0,100.000,closed_residual_free
$30,87,0,100.000,closed_residual_free
$31,64,0,100.000,closed_residual_free
$32,79,0,100.000,closed_residual_free
$33,53,0,100.000,closed_residual_free
$34,102,0,100.000,closed_residual_free
$35,74,0,100.000,closed_residual_free
$36,47,0,100.000,closed_residual_free
$37,69,0,100.000,closed_residual_free
$38,54,0,100.000,closed_residual_free
$39,78,0,100.000,closed_residual_free
$3A,106,0,100.000,closed_residual_free
$3B,84,0,100.000,closed_residual_free
$3C,92,0,100.000,closed_residual_free
$3D,93,0,100.000,closed_residual_free
$3E,78,0,100.000,closed_residual_free
$3F,95,0,100.000,closed_residual_free
$40,53,0,100.000,closed_residual_free
$41,64,0,100.000,closed_residual_free
$42,2750,0,100.000,closed_residual_free
$43,971,0,100.000,closed_residual_free
$44,523,0,100.000,closed_residual_free
$45,166,0,100.000,closed_residual_free
$46,237,0,100.000,closed_residual_free
$47,1782,0,100.000,closed_residual_free
