group,entry,target,pass79_proposed_alias,direct_dialog_cmds,unique_text_ids,top_categories,top_roles,confidence,sample_text_labels,sample_previews
$00,95,$B39129,EventScript_G00_Entry095_LivestockChickenLivestockAnimal,1,1,Animal:1,livestock_chicken_context:1,medium_single_text_anchor,Text_3A3_Animal_AhChickenFeather,"Ah, This is a chicken feather?,"
$00,134,$B39313,EventScript_G00_Entry134_EveHouseUpgradeHouseUpgradeFamily,3,3,Dialog:3,npc_or_event_dialogue:2 house_upgrade_or_family_context:1,high_text_named,Text_13A_Dialog_BuildTerrificOneLookForward Text_13B_Dialog_CostsGEnlargeHouseTake Text_13C_Dialog_Have,"I'll build a terrific one, Look forward to it. | It costs <CTRL_B3><CTRL_B2><CTRL_B2><CTRL_B2><CTRL_B2>G... | Oh no:just do what you have to do.OK?"
$00,135,$B39313,EventScript_G00_Entry135_EveHouseUpgradeHouseUpgradeFamily,3,3,Dialog:3,npc_or_event_dialogue:2 house_upgrade_or_family_context:1,high_text_named,Text_13A_Dialog_BuildTerrificOneLookForward Text_13B_Dialog_CostsGEnlargeHouseTake Text_13C_Dialog_Have,"I'll build a terrific one, Look forward to it. | It costs <CTRL_B3><CTRL_B2><CTRL_B2><CTRL_B2><CTRL_B2>G... | Oh no:just do what you have to do.OK?"
$01,1,$B39D05,EventScript_G01_Entry001_MariaEveFlorist,25,24,Dialog:10 Romance:6 Animal:4 Festival:4,npc_or_event_dialogue:8 festival_event:5 npc_maria_romance_or_family:4 weather_context:3 child_family_event:2,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_200_Dialog_Thank Text_3B8_Dialog_Want Text_035_Dialog_HowsGoingWorkTooHard Text_036_Animal_AskFloristFlowersAskLivestock Text_20B_Festival_OneHasGoFestivalBut,Hey: you are giving it to a wrong person. | Thank you. | I don't want it.
$01,2,$B39F3E,EventScript_G01_Entry002_MariaEveChurch,13,12,Animal:5 Dialog:3 Church:2 Romance:2,event_dialogue_unknown_specific_owner:5 npc_or_event_dialogue:3 festival_event:2 npc_eve_romance_or_family:1 weather_context:1,high_text_named,Text_1E0_Animal_TraditionAreaCalledBlueFeather Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_057_Church_CalmInsideChurchManyPeople Text_058_Animal_FeltTimeWentSlowlyWas Text_3CB_Animal_ThinkPeopleWhoCheatWho,"That's a tradition in this area called ""Blue feather of... | Thank you. | ......Th-thank you."
$01,3,$B3A086,EventScript_G01_Entry003_NinaEveShipping,11,10,Dialog:5 Romance:2 Sign:2 Shipping:1,npc_or_event_dialogue:4 shop_or_purchase_context:2 npc_nina_romance_or_family:2 shop_or_shipping_context:2 weather_context:2,high_text_named,Text_1C6_Romance_SillyMarried Text_200_Dialog_Thank Text_3B9_Dialog_Trouble Text_046_Shop_AlwaysLookFineBagSeed Text_047_Dialog_GrassGrowsAutumnYoudontHave Text_3C5_Romance_NinaLikesSweetsSuchAs,Don't be silly:I'm married. | Thank you. | I could be in trouble.
$01,4,$B3A162,EventScript_G01_Entry004_AnnEveLivestock,37,34,Dialog:20 Romance:9 Animal:3 Weather:2,npc_or_event_dialogue:19 romance_or_marriage_dialogue:6 npc_ann_romance_or_family:4 festival_event:3 child_family_event:2,high_text_named,Text_1CA_Romance_HaveGiveGirlLoveGirl Text_200_Dialog_Thank Text_049_Dialog_Entry Text_041_Animal_HowsWorkGoingSomeWild Text_040_Romance_WonderIfDaughterAnncanGet Text_040_Romance_WonderIfDaughterAnncanGet,You have to give it to the girl you love: OK? To the gi... | Thank you. | ....
$01,5,$B3A438,EventScript_G01_Entry005_EveEllenLivestock,18,17,Dialog:11 Romance:5 Animal:1 Weather:1,npc_or_event_dialogue:10 npc_ellen_romance_or_family:2 romance_or_marriage_dialogue:2 festival_or_title_context:1 child_family_event:1,high_text_named,Text_1C7_Dialog_WhoPlayingJokeYoungMan Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_04C_Dialog_CoincidenceHavingMealToday Text_04D_Dialog_EasyWorkSteadilyButWorthwhile Text_23F_Dialog_BringFoodsEatGreatHarvest,Who are you playing a joke on:young man? | Thank you. | What? I can't take this kindof stuff.
$01,6,$B3A5B1,EventScript_G01_Entry006_MariaAnnNina,16,16,Romance:4 Dialog:4 Sign:4 Church:1,npc_or_event_dialogue:4 romance_or_marriage_dialogue:3 npc_maria_romance_or_family:3 festival_event:1 npc_ann_romance_or_family:1,high_text_named,Text_1CA_Romance_HaveGiveGirlLoveGirl Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_062_Romance_TheresUsefulBookOverAbout Text_060_Dialog_RedoLifeMightHaveSecond Text_3E9_Dialog_FaceBecomingBetterLooking,You have to give it to the girl you love: OK? To the gi... | Thank you. | What? I can't take this kindof stuff.
$01,7,$B3A727,EventScript_G01_Entry007_EveEllenLivestock,11,10,Animal:6 Dialog:3 Manual:1 Romance:1,event_dialogue_unknown_specific_owner:4 npc_or_event_dialogue:2 livestock_cow_context:2 child_family_event:1 festival_event:1,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_05C_Animal_ToughTakeCareCowsTake Text_05D_Animal_HensLayEggsPutCage Text_05D_Animal_HensLayEggsPutCage,Hey: you are giving it to a wrong person. | Thank you. | What? I can't take this kindof stuff.
$01,9,$B3AD24,EventScript_G01_Entry009_EveLivestockHouseUpgrade,8,8,Dialog:7 Animal:1,npc_or_event_dialogue:5 house_upgrade_or_family_context:1 ranch_livestock_context:1 weather_context:1 event_dialogue_unknown_specific_owner:1,high_text_named,Text_1C8_Dialog_Come Text_3BC_Dialog_GiveMe Text_3BB_Dialog_TakeKindofStuff Text_130_Dialog_WantEnlargeHouseC Text_131_Dialog_RanchTomorrow Text_132_Animal_LetMeKnowWheneverWant,"That's it, Come on, | What? Do you give it to me? | What? I can't take this kindof stuff."
$01,10,$B3ADB1,EventScript_G01_Entry010_EveLivestockCow,3,3,Dialog:2 Animal:1,npc_or_event_dialogue:1 ranch_livestock_context:1 livestock_cow_context:1,high_text_named,Text_170_Dialog_ListenGoThroughRock Text_171_Dialog_MightAbleGoEndRanch Text_172_Animal_HaveSeenMoleScaresCows,Hey:listen: we can go through the rock. | It might be able to go to the end of the ranch faster t... | Have you seen a mole?It scares the cows sometimes. You'...
$02,0,$B3AE23,EventScript_G02_Entry000_EveRomanceMarriageRomance,3,3,Dialog:2 Romance:1,npc_or_event_dialogue:2 romance_or_marriage_dialogue:1,high_text_named,Text_1CA_Romance_HaveGiveGirlLoveGirl Text_200_Dialog_Thank Text_049_Dialog_Entry,You have to give it to the girl you love: OK? To the gi... | Thank you. | ....
$02,1,$B3B44A,EventScript_G02_Entry001_MariaEveChild,10,9,Dialog:7 Romance:3,npc_or_event_dialogue:6 child_family_event:2 npc_maria_romance_or_family:1 romance_or_marriage_dialogue:1,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_200_Dialog_Thank Text_3B8_Dialog_Want Text_038_Dialog_OffTodayKeepUpAll Text_1CD_Romance_MariaDadWasWrongCome Text_1C6_Romance_SillyMarried,Hey: you are giving it to a wrong person. | Thank you. | I don't want it.
$02,2,$B3B4E3,EventScript_G02_Entry002_MariaEveWeather,14,13,Dialog:7 Romance:3 Sign:2 Animal:1,npc_or_event_dialogue:7 event_dialogue_unknown_specific_owner:2 npc_maria_romance_or_family:2 romance_or_marriage_dialogue:2 weather_context:1,high_text_named,Text_1E0_Animal_TraditionAreaCalledBlueFeather Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_05A_Dialog_NecessarilyRightWrongDailyIncidents Text_1CF_Romance_SeemsMariaFatherArguedOver Text_1CA_Romance_HaveGiveGirlLoveGirl,"That's a tradition in this area called ""Blue feather of... | Thank you. | ......Th-thank you."
$02,3,$B3B6E1,EventScript_G02_Entry003_EveChildShipping,9,9,Dialog:6 Sign:1 Manual:1 Shipping:1,npc_or_event_dialogue:5 event_dialogue_unknown_specific_owner:2 child_family_event:1 shop_or_shipping_context:1,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_200_Dialog_Thank Text_3B8_Dialog_Want Text_07E_Mountain_WantFishC Text_07F_Manual_UseMyFishingRodUse Text_080_Shipping_PrettyGoodTastesGoodSells,Hey: you are giving it to a wrong person. | Thank you. | I don't want it.
$02,4,$B3B8D2,EventScript_G02_Entry004_NinaEveLivestock,17,17,Dialog:12 Romance:3 Weather:1 Animal:1,npc_or_event_dialogue:11 npc_nina_romance_or_family:2 weather_forecast_system:1 romance_or_marriage_dialogue:1 event_dialogue_unknown_specific_owner:1,high_text_named,Text_43F_Weather_UummmAnswerNowIfSunny Text_178_Dialog_AfraidTooEarly Text_200_Dialog_Thank Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_3B1_Dialog_PickUpHerbsWithoutThinking,........Uummm:well:I can't answer now. If it's sunny...... | I'm afraid it's too early... | Thank you.
$03,0,$B3BA59,EventScript_G03_Entry000_EveChurchEventDialog,2,2,Sign:1 Church:1,event_dialogue_unknown_specific_owner:2,high_text_named,Text_1C3_Shop_BlueFeatherHappinessHappinessDifferent Text_1C4_Church_GodBless,"This is ""Blue feather of happiness.""Well:happiness is d... | God bless you,"
$03,1,$B3BD2D,EventScript_G03_Entry001_MariaAnnEve,43,34,Dialog:23 Romance:8 Church:6 Animal:3,npc_or_event_dialogue:22 event_dialogue_unknown_specific_owner:9 romance_or_marriage_dialogue:3 npc_maria_romance_or_family:2 child_family_event:2,high_text_named,Text_1E0_Animal_TraditionAreaCalledBlueFeather Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_059_Animal_HaveSympathyPeopleKindPeople Text_1CF_Romance_SeemsMariaFatherArguedOver Text_1C9_Dialog_GivingWrongPerson,"That's a tradition in this area called ""Blue feather of... | Thank you. | ......Th-thank you."
$03,2,$B3C1E4,EventScript_G03_Entry002_EveChildChildFamily,4,4,Dialog:3 Sign:1,child_family_event:2 npc_or_event_dialogue:2,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_3BC_Dialog_GiveMe Text_049_Dialog_Entry Text_07D_Mountain_SomeMushroomsPoisonousCareful,Hey: you are giving it to a wrong person. | What? Do you give it to me? | ....
$04,0,$B3C527,EventScript_G04_Entry000_MariaEveChurch,21,19,Dialog:13 Weather:4 Romance:3 Sign:1,npc_or_event_dialogue:12 child_family_event:3 weather_forecast_system:3 weather_context:1 npc_maria_romance_or_family:1,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_200_Dialog_Thank Text_3B8_Dialog_Want Text_039_Weather_PeopleTownTalkDifferentlyAccording Text_3BE_Weather_GettingColderWhenitRainsWinter Text_1CD_Romance_MariaDadWasWrongCome,Hey: you are giving it to a wrong person. | Thank you. | I don't want it.
$04,1,$B3C6AE,EventScript_G04_Entry001_MariaEveWeatherForecast,5,5,Dialog:2 Animal:1 Weather:1 Romance:1,npc_or_event_dialogue:2 event_dialogue_unknown_specific_owner:1 weather_forecast_system:1 npc_maria_romance_or_family:1,high_text_named,Text_1E0_Animal_TraditionAreaCalledBlueFeather Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_05B_Weather_KnowConsumeYourstaminaRainyDay Text_1CF_Romance_SeemsMariaFatherArguedOver,"That's a tradition in this area called ""Blue feather of... | Thank you. | ......Th-thank you."
$04,2,$B3C6FE,EventScript_G04_Entry002_NinaEveWeatherForecast,13,12,Dialog:8 Weather:3 Romance:2,npc_or_event_dialogue:8 weather_forecast_system:3 romance_or_marriage_dialogue:1 npc_nina_romance_or_family:1,high_text_named,Text_1C6_Romance_SillyMarried Text_200_Dialog_Thank Text_3B9_Dialog_Trouble Text_04B_Weather_KindDarkRainyDaysFeels Text_43F_Weather_UummmAnswerNowIfSunny Text_178_Dialog_AfraidTooEarly,Don't be silly:I'm married. | Thank you. | I could be in trouble.
$04,3,$B3C810,EventScript_G04_Entry003_AnnEveWife,14,12,Dialog:9 Weather:4 Romance:1,npc_or_event_dialogue:9 weather_forecast_system:3 romance_or_marriage_dialogue:1 npc_ann_romance_or_family:1 weather_context:1,high_text_named,Text_1CA_Romance_HaveGiveGirlLoveGirl Text_200_Dialog_Thank Text_049_Dialog_Entry Text_079_Weather_FencesEasyBreakAfterRain Text_1DC_Weather_MadeWeatherCockFormyWife Text_43E_Weather_SoundsGoodButNowiSunny,You have to give it to the girl you love: OK? To the gi... | Thank you. | ....
