group,pass80_semantic_group_name,pass80_category,pass80_confidence,previous_status,entries,unique_targets,commands,pass73_bucket,pass73_confidence,dominant_classes,dominant_opcodes,top_symbols,top_text_ids,direct_dialog_cmds,unique_text_ids,reason
$00,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,high,pass79_dialog_named,136,135,480,animal_or_object_visual_setup,high,cc_state_object:223 script_control:201 special_unknown:22 animals:15 unknown:5 conditional:5,$12:122 $2F:72 $13:59 $1B:52 $1A:26 $2B:22 $0D:19 $2E:18,season:3 $8000D4:2 $7F1F5A:1,Text_$1293:1 Text_$013A:1,7,4,Pass79 direct-dialog anchor preserved.
$01,MixedNpcFestivalRomanceDialogHub,dialog_anchor,high,pass79_dialog_named,16,12,329,mixed_event_script,medium,script_control:129 conditional:68 cc_state_object:58 dialog_text:36 unknown:12 screen_transition:11,$12:74 $1C:36 $15:28 $09:26 $14:21 $4D:17 $2D:14 $18:13,season:14 marriage_flags:13 day:12 $7F1F6A:4 family_event_flags:4,Text_$0200:3 Text_$03DC:2 Text_$0047:2 Text_$01C9:1 Text_$03B8:1,142,116,Pass79 direct-dialog anchor preserved.
$02,FamilyRomanceDialogueMatrix_A,dialog_anchor,high,pass79_dialog_named,16,6,225,family_romance_dialogue_matrix,high,script_control:99 dialog_text:36 conditional:31 cc_state_object:25 unknown:12 player_interaction_control:11,$12:60 $1C:35 $09:18 $14:16 $16:12 $4D:11 $59:11 $BA:11,marriage_flags:6 hour:6 old_item_on_hand_or_event_item_mirror:6 $7F1F6A:6 family_event_flags:5,Text_$0200:6 Text_$01CA:2 Text_$01C9:2 Text_$03B8:2 Text_$0049:1,53,44,Pass79 direct-dialog anchor preserved.
$03,MarriageChurchBlueFeatherDialogueMatrix,dialog_anchor,high,pass79_dialog_named,16,4,207,family_romance_dialogue_matrix,high,script_control:78 cc_state_object:35 conditional:32 dialog_text:32 unknown:14 flags_values:13,$12:48 $1C:32 $09:19 $1B:19 $14:17 $27:13 $C6:13 $16:10,marriage_flags:6 $7F1F6A:5 old_item_on_hand_or_event_item_mirror:5 family_event_flags:4 hour:3,Text_$0200:4 Text_$01C9:2 Text_$0049:2 Text_$01E0:1 Text_$03B0:1,49,38,Pass79 direct-dialog anchor preserved.
$04,FamilyRomanceWeatherDialogueMatrix_B,dialog_anchor,high,pass79_dialog_named,16,9,395,family_romance_dialogue_matrix,high,script_control:167 dialog_text:91 conditional:66 cc_state_object:57 unknown:8 screen_transition:6,$12:126 $1C:91 $16:25 $14:19 $41:19 $15:18 $09:17 $1A:16,old_item_on_hand_or_event_item_mirror:40 $7F1F6A:8 family_event_flags:7 marriage_flags:4 season:3,Text_$0200:13 Text_$0212:4 Text_$03B2:4 Text_$03BB:4 Text_$03B0:3,91,61,Pass79 direct-dialog anchor preserved.
$05,EveFamilyRomanceDialogueSet,dialog_anchor,high,pass79_dialog_named,16,2,108,family_romance_dialogue_matrix,high,script_control:37 conditional:20 cc_state_object:17 dialog_text:17 unknown:15 screen_transition:1,$12:24 $1C:17 $67:15 $09:10 $14:10 $1B:10 $15:6 $1A:3,marriage_flags:8 season:4 family_event_flags:2 old_item_on_hand_or_event_item_mirror:2 day:2,Text_$03BC:2 Text_$0069:2 Text_$0056:2 Text_$01C9:1 Text_$03BB:1,17,14,Pass79 direct-dialog anchor preserved.
$06,EveWeatherLivestockDialogueMatrix,dialog_anchor,high,pass79_dialog_named,16,8,333,family_romance_dialogue_matrix,high,script_control:134 dialog_text:73 conditional:57 cc_state_object:44 time_rng_palette:9 unknown:9,$12:105 $1C:72 $14:22 $16:16 $1A:15 $15:15 $09:14 $2D:14,old_item_on_hand_or_event_item_mirror:31 player_house_and_event_flags:13 marriage_flags:4 family_event_flags:3 $7F1F6A:2,Text_$0200:13 Text_$0212:4 Text_$03B2:3 Text_$03BB:3 Text_$03B9:2,73,48,Pass79 direct-dialog anchor preserved.
$07,MountainWeatherRomanceDialogueMatrix,dialog_anchor,high,pass79_dialog_named,16,9,389,family_romance_dialogue_matrix,high,script_control:165 dialog_text:89 cc_state_object:66 conditional:53 screen_transition:8 unknown:8,$12:123 $1C:89 $15:25 $14:20 $41:20 $09:17 $1A:16 $4D:15,day:22 $7F1F6A:8 family_event_flags:8 old_item_on_hand_or_event_item_mirror:7 marriage_flags:4,Text_$0200:13 Text_$03B2:3 Text_$01C9:2 Text_$03EC:2 Text_$01C6:2,89,68,Pass79 direct-dialog anchor preserved.
$08,GeneralNpcWeatherFamilyDialogueMatrix,dialog_anchor,high,pass79_dialog_named,16,9,312,family_romance_dialogue_matrix,high,script_control:131 dialog_text:65 cc_state_object:46 conditional:44 screen_transition:10 flags_values:8,$12:100 $1C:65 $16:21 $09:17 $1A:17 $2D:16 $41:12 $15:10,old_item_on_hand_or_event_item_mirror:31 marriage_flags:4 family_event_flags:3 $7F1F6A:2 hearts_ellen:2,Text_$0200:13 Text_$03BB:5 Text_$0212:3 Text_$03B2:3 Text_$03BC:3,65,38,Pass79 direct-dialog anchor preserved.
$09,ParentsVisitCameraMotionCutsceneSetup,cutscene_motion,medium,unnamed_before_pass80,16,2,76,mixed_event_script,medium,script_control:22 unknown:16 player_camera_motion:15 cc_state_object:7 time_rng_palette:6 screen_transition:3,$5B:15 $13:14 $19:10 $09:8 $02:4 $07:3 $39:3 $40:2,,,0,0,Existing B3 comment + camera-motion dominant class identify this as the parents-scene/camera setup group.
