group,group_semantic_name,group_category,entries,entry_aliases,alias_coverage_percent,direct_text_anchor,group_semantic_structural,table_structural_alias,top_confidence,sample_aliases
$00,ObjectAnimalHouseUpgradeDialogHub,dialog_anchor,136,136,100.000,3,133,0,medium_high_structural:133 high_text_named:2 medium_single_text_anchor:1,EventScript_G00_Entry000_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup | EventScript_G00_Entry001_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup | EventScript_G00_Entry002_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup
$01,MixedNpcFestivalRomanceDialogHub,dialog_anchor,16,16,100.000,9,7,0,high_text_named:9 medium_high_structural:7,EventScript_G01_Entry000_MixedNpcFestivalRomanceDialogHub_Transition | EventScript_G01_Entry001_MariaEveFlorist | EventScript_G01_Entry002_MariaEveChurch
$02,FamilyRomanceDialogueMatrix_A,dialog_anchor,16,16,100.000,5,11,0,medium_high_structural:11 high_text_named:5,EventScript_G02_Entry000_EveRomanceMarriageRomance | EventScript_G02_Entry001_MariaEveChild | EventScript_G02_Entry002_MariaEveWeather
$03,MarriageChurchBlueFeatherDialogueMatrix,dialog_anchor,16,16,100.000,3,13,0,medium_high_structural:13 high_text_named:3,EventScript_G03_Entry000_EveChurchEventDialog | EventScript_G03_Entry001_MariaAnnEve | EventScript_G03_Entry002_EveChildChildFamily
$04,FamilyRomanceWeatherDialogueMatrix_B,dialog_anchor,16,16,100.000,8,8,0,high_text_named:8 medium_high_structural:8,EventScript_G04_Entry000_MariaEveChurch | EventScript_G04_Entry001_MariaEveWeatherForecast | EventScript_G04_Entry002_NinaEveWeatherForecast
$05,EveFamilyRomanceDialogueSet,dialog_anchor,16,16,100.000,1,15,0,medium_high_structural:15 high_text_named:1,EventScript_G05_Entry000_EveChildWeatherForecast | EventScript_G05_Entry001_EveFamilyRomanceDialogueSet_StructuralPayload | EventScript_G05_Entry002_EveFamilyRomanceDialogueSet_StructuralPayload
$06,EveWeatherLivestockDialogueMatrix,dialog_anchor,16,16,100.000,7,9,0,medium_high_structural:9 high_text_named:7,EventScript_G06_Entry000_EveChurchWeatherForecast | EventScript_G06_Entry001_EveWeatherForecastWeather | EventScript_G06_Entry002_EveLivestockRanchLivestock
$07,MountainWeatherRomanceDialogueMatrix,dialog_anchor,16,16,100.000,8,8,0,high_text_named:8 medium_high_structural:8,EventScript_G07_Entry000_MariaEveChurch | EventScript_G07_Entry001_MariaEveChurch | EventScript_G07_Entry002_EveShippingWeatherForecast
$08,GeneralNpcWeatherFamilyDialogueMatrix,dialog_anchor,16,16,100.000,8,8,0,high_text_named:8 medium_high_structural:8,EventScript_G08_Entry000_EveLivestockChurch | EventScript_G08_Entry001_EveRomance | EventScript_G08_Entry002_EveLivestockRanchLivestock
$09,ParentsVisitCameraMotionCutsceneSetup,cutscene_motion,16,16,100.000,0,16,0,medium_structural:16,EventScript_G09_Entry000_ParentsVisitCameraMotionCutsceneSetup_Transition | EventScript_G09_Entry001_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload | EventScript_G09_Entry002_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload
$0A,TableDrivenCutsceneObjectScript_FA,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G0A_Entry000_TableDrivenCutsceneObjectScriptFA_ObjectVisual | EventScript_G0A_Entry001_TableDrivenCutsceneObjectScriptFA_ObjectVisual | EventScript_G0A_Entry002_TableDrivenCutsceneObjectScriptFA_ObjectVisual
$0B,MountainAnglerFishingSignDialogue,dialog_anchor,16,16,100.000,3,13,0,medium_high_structural:13 high_text_named:2 medium_single_text_anchor:1,EventScript_G0B_Entry000_MountainAnglerFishingSignDialogue_ScriptFlow | EventScript_G0B_Entry001_MountainAnglerFishingSignDialogue_ScriptFlow | EventScript_G0B_Entry002_MountainAnglerFishingSignDialogue_ScriptFlow
$0C,TableDrivenEventScript_Opcode88Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G0C_Entry000_TableDrivenEventScriptOpcode88Cluster_ToolInteraction | EventScript_G0C_Entry001_TableDrivenEventScriptOpcode88Cluster_ToolInteraction | EventScript_G0C_Entry002_TableDrivenEventScriptOpcode88Cluster_StructuralPayload
$0D,MapTransitionDestinationRouter,transition_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G0D_Entry000_MapTransitionDestinationRouter_ToolInteraction | EventScript_G0D_Entry001_MapTransitionDestinationRouter_ToolInteraction | EventScript_G0D_Entry002_MapTransitionDestinationRouter_MapTransition
$0E,AudioCueMusicSequenceTable_A,audio_sequence,16,16,100.000,0,16,0,medium_high_structural:16,EventScript_G0E_Entry000_AudioCueMusicSequenceTableA_ObjectVisual | EventScript_G0E_Entry001_AudioCueMusicSequenceTableA_ObjectVisual | EventScript_G0E_Entry002_AudioCueMusicSequenceTableA_AudioCue
