visual_or_object_pointer_ref,entry_refs
$7F1F,72
$B38D,64
$0001,56
$003C,31
$B38C,25
$0168,15
$0088,13
$0058,12
$0068,12
$B3E5,12
$8001,12
$B38E,11
$0028,11
$B3CB,11
$B3DB,11
$00E8,10
$B3D9,10
$B3E0,10
$812C,9
$B3D6,9
$B3DF,9
$86C0,8
$B38F,8
$B3AD,8
$B3D5,8
$0200,8
$B3E2,8
$86A8,7
$80FC,7
$8318,7
$8234,7
$B3A5,7
$B3C7,7
$B3C8,7
$8009,7
$01A8,6
$01D8,6
$B3A1,6
$B3B8,6
$B3DC,6
$B3E1,6
$B3E3,6
$0059,6
$B5A1,6
$86F0,5
$8114,5
$2020,5
$0078,5
$836C,5
$0178,5
$B392,5
$B39F,5
$8354,5
$B3A0,5
$0050,5
$82E8,5
$B3A7,5
$0098,5
$B3B4,5
$B3C6,5
$B589,5
$B58E,5
$B593,5
$B59B,5
$00B8,4
$8504,4
$01CB,4
$01BF,4
$B39D,4
$B3A4,4
$B3CA,4
$B3EE,4
$FFF8,4
$B580,4
$B599,4
$B59D,4
$B5A2,4
$8144,3
$8768,3
$FFE0,3
$8378,3
$02AF,3
$0148,3
$8240,3
$0040,3
$0268,3
$009C,3
$B584,3
$B59F,3
$B5A4,3
$8150,2
$86CC,2
$86B4,2
$8708,2
$86D8,2
$872C,2
$0191,2
$0048,2
$8900,2
$0108,2
$0188,2
$01B8,2
$01C8,2
$8000,2
$0005,2
$0020,2
$0208,2
$88AC,2
$B390,2
$88DC,2
$83B4,2
$87C8,2
$01B2,2
$8258,2
$1293,2
$013A,2
$B393,2
$0120,2
$8264,2
$00A8,2
$8300,2
$849F,2
$01C9,2
$B3DD,2
$03BC,2
$B3E4,2
$0305,2
$B4C5,2
$B585,2
$0000,2
$B5A5,2
$815C,1
$8108,1
$8714,1
$86E4,1
$86FC,1
$01A4,1
$8138,1
$8120,1
$8948,1
$B336,1
$8774,1
$8780,1
$87BC,1
$2001,1
$00F8,1
$3801,1
$0801,1
$01E8,1
$B401,1
$CC01,1
$8720,1
$00D8,1
$82A0,1
$0274,1
$0206,1
$0207,1
$0321,1
$84F8,1
$8738,1
$8744,1
$8750,1
$87F8,1
$8804,1
$8960,1
$8954,1
$896C,1
$8978,1
$8984,1
$8990,1
$899C,1
$89A8,1
$89B4,1
$89C0,1
$89CC,1
$89D8,1
$89FC,1
$8A08,1
$8A14,1
$8A20,1
$8858,1
$8864,1
$8870,1
$887C,1
$8888,1
$8894,1
$88A0,1
$88F4,1
$893C,1
$8A2C,1
$8810,1
$881C,1
$8828,1
$8834,1
$8840,1
$884C,1
$88B8,1
$88C4,1
$88D0,1
$88E8,1
$8918,1
$02BE,1
$0328,1
$03DA,1
$00B4,1
$0018,1
$01B9,1
$B39E,1
$1020,1
$0C01,1
$489D,1
$83FC,1
$ABA0,1
$01C6,1
$B3A2,1
$0198,1
$8330,1
$ECA6,1
$59A7,1
$4FAD,1
$84C8,1
$73B4,1
$B3BA,1
$D3C6,1
$01E0,1
$C4CA,1
$01CA,1
$0288,1
$88CB,1
$CECB,1
$B8D5,1
$B3D7,1
$FBD7,1
$2DD9,1
$B6D9,1
$90DB,1
$31DF,1
$ECE0,1
$59E0,1
$00A0,1
$E8E1,1
$4BE3,1
$0EE5,1
$7DE5,1
$B9E5,1
$012A,1
$82AC,1
$0218,1
$87A4,1
$0304,1
$8798,1
$0303,1
$0228,1
$0258,1
$87B0,1
$0307,1
$001A,1
$84EC,1
$B597,1
$B598,1
$B59C,1
$B59E,1
$B5A6,1
