group,entry,target,pass81_entry_alias,group_semantic_name,pass82_owner_domain,pass83_visual_domain,pass82_scene_role,pass83_visual_role,pass83_visual_confidence,visual_commands,visual_pointer_refs,candidate_visual_refs,ref_class_counts,direct_text_ids,text_preview_sample,pseudocode_preview
$00,0,$B38CC8,EventScript_G00_Entry000_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,chicken_poultry_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual,$815C $B38C,$815C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1,,,"SetCCObjectVisual(ptr=$815C, bank_or_mode=$00) ; ChickenRelated() ; Jump(target=$B38CCC)"
$00,1,$B38CD0,EventScript_G00_Entry001_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,chicken_poultry_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5 SetCCObjectParam10,$8150 $8150 $B38C,$8150 $8150,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$8150, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8150, d=$10) ; SetCCObjectParam10() ; ChickenRelated() ; Jump(target=$B38CDA)"
$00,2,$B38CDE,EventScript_G00_Entry002_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,chicken_poultry_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$8144 $8144 $B38C,$8144 $8144,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$8144, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8144, d=$10) ; ChickenRelated() ; Jump(target=$B38CE7)"
$00,3,$B38CEB,EventScript_G00_Entry003_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$86C0 $86CC $B38C,$86C0 $86CC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$86C0, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86CC, d=$10) ; CowRelated() ; Jump(target=$B38CF4)"
$00,4,$B38CF8,EventScript_G00_Entry004_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$86A8 $86B4 $B38D,$86A8 $86B4,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$86A8, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86B4, d=$10) ; CowRelated() ; Jump(target=$B38D01)"
$00,5,$B38D05,EventScript_G00_Entry005_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$80FC $8108 $B38D,$80FC $8108,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$80FC, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8108, d=$10) ; CowRelated() ; Jump(target=$B38D0E)"
$00,6,$B38D12,EventScript_G00_Entry006_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$8708 $8714 $B38D,$8708 $8714,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$8708, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8714, d=$10) ; CowRelated() ; Jump(target=$B38D1B)"
$00,7,$B38D1F,EventScript_G00_Entry007_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$86D8 $86E4 $B38D,$86D8 $86E4,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$86D8, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86E4, d=$10) ; CowRelated() ; Jump(target=$B38D28)"
$00,8,$B38D2C,EventScript_G00_Entry008_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$86F0 $86FC $B38D,$86F0 $86FC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$86F0, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86FC, d=$10) ; CowRelated() ; Jump(target=$B38D35)"
$00,9,$B38D39,EventScript_G00_Entry009_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$872C $872C $B38D,$872C $872C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$872C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$872C, d=$10) ; CowRelated() ; Jump(target=$B38D42)"
