visual_or_object_ref,pass83_ref_class,entry_count,groups,domains,roles,example_entries
$7F1F,wram_or_runtime_cc_state_ref,72,$43:20 $44:20 $45:8 $08:5 $00:4 $01:3 $02:3 $04:3 $06:3 $07:3,general_livestock_visual_context:40 dog_pet_visual_context:15 npc_family_event_visual_context:13 cow_livestock_visual_context:4,cc_object_visual_pointer_setup:72,$00:38@$B38F11 $00:126@$B39250 $00:126@$B39250 $00:126@$B39250 $01:4@$B3A162 $01:5@$B3A438 $01:5@$B3A438 $02:4@$B3B8D2
$B38D,bank_b3_b5_script_target_or_local_pointer,64,$00:64,general_livestock_visual_context:56 cow_livestock_visual_context:6 dog_pet_visual_context:2,cc_object_visual_pointer_setup:63 cc_object_parameter_state_setup:1,$00:4@$B38CF8 $00:5@$B38D05 $00:6@$B38D12 $00:7@$B38D1F $00:8@$B38D2C $00:9@$B38D39 $00:12@$B38D5A $00:13@$B38D67
$0001,low_immediate_param_or_small_id,56,$00:17 $01:9 $08:7 $04:6 $07:6 $06:5 $02:2 $0B:1 $2A:1 $2B:1 $2D:1,general_livestock_visual_context:34 npc_family_event_visual_context:16 cow_livestock_visual_context:4 dog_pet_visual_context:2,cc_object_visual_pointer_setup:56,$00:21@$B38DE5 $00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D $00:29@$B38E72 $00:32@$B38E9C
$003C,low_immediate_param_or_small_id,31,$00:22 $44:6 $2A:1 $2B:1 $2C:1,general_livestock_visual_context:27 npc_family_event_visual_context:3 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:31,$00:12@$B38D5A $00:13@$B38D67 $00:14@$B38D74 $00:15@$B38D81 $00:40@$B38F43 $00:41@$B38F50 $00:42@$B38F5D $00:43@$B38F6A
$B38C,bank_b3_b5_script_target_or_local_pointer,25,$00:25,general_livestock_visual_context:21 chicken_poultry_visual_context:3 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:25,$00:0@$B38CC8 $00:1@$B38CD0 $00:2@$B38CDE $00:3@$B38CEB $00:86@$B390F3 $00:87@$B390F9 $00:88@$B390FF $00:89@$B39105
$0168,low_immediate_param_or_small_id,15,$00:5 $01:2 $04:2 $06:2 $07:2 $08:2,general_livestock_visual_context:9 npc_family_event_visual_context:5 dog_pet_visual_context:1,cc_object_visual_pointer_setup:15,$00:24@$B38E09 $00:26@$B38E33 $00:29@$B38E72 $00:44@$B38F77 $00:54@$B39001 $01:3@$B3A086 $01:4@$B3A162 $04:2@$B3C6FE
$0088,low_immediate_param_or_small_id,13,$00:5 $01:2 $04:1 $06:1 $07:1 $08:1 $0B:1 $2B:1,general_livestock_visual_context:7 npc_family_event_visual_context:4 dog_pet_visual_context:2,cc_object_visual_pointer_setup:13,$00:29@$B38E72 $00:44@$B38F77 $00:54@$B39001 $00:134@$B39313 $00:135@$B39313 $01:6@$B3A5B1 $01:9@$B3AD24 $04:5@$B3CA98
$0058,low_immediate_param_or_small_id,12,$43:5 $00:3 $02:1 $04:1 $07:1 $08:1,dog_pet_visual_context:5 general_livestock_visual_context:4 npc_family_event_visual_context:3,cc_object_visual_pointer_setup:12,$00:21@$B38DE5 $00:134@$B39313 $00:135@$B39313 $02:4@$B3B8D2 $04:7@$B3CBA5 $07:7@$B3E037 $08:7@$B3E59A $43:0@$B58020
$0068,low_immediate_param_or_small_id,12,$43:5 $01:2 $00:1 $04:1 $06:1 $07:1 $08:1,general_livestock_visual_context:7 dog_pet_visual_context:3 cow_livestock_visual_context:1 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:12,$00:24@$B38E09 $01:2@$B39F3E $01:10@$B3ADB1 $04:1@$B3C6AE $06:1@$B3D59D $07:1@$B3DB72 $08:1@$B3E1C9 $43:0@$B58020
$8001,candidate_visual_gobj_pointer_or_asset_table,12,$43:5 $44:5 $45:2,general_livestock_visual_context:6 dog_pet_visual_context:3 npc_family_event_visual_context:2 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:12,$43:0@$B58020 $43:1@$B584DA $43:2@$B58990 $43:3@$B58E4E $43:4@$B59313 $44:0@$B597F1 $44:1@$B599EB $44:2@$B59BE3
$B3E5,bank_b3_b5_script_target_or_local_pointer,12,$08:12,npc_family_event_visual_context:8 cow_livestock_visual_context:4,cc_object_visual_pointer_setup:12,$08:5@$B3E4ED $08:5@$B3E4ED $08:5@$B3E4ED $08:6@$B3E560 $08:6@$B3E560 $08:6@$B3E560 $08:6@$B3E560 $08:7@$B3E59A
$0028,low_immediate_param_or_small_id,11,$01:3 $04:2 $06:2 $07:2 $08:2,npc_family_event_visual_context:5 general_livestock_visual_context:4 dog_pet_visual_context:2,cc_object_visual_pointer_setup:11,$01:3@$B3A086 $01:4@$B3A162 $01:5@$B3A438 $04:2@$B3C6FE $04:3@$B3C810 $06:2@$B3D5E3 $06:3@$B3D6CF $07:2@$B3DBD5
$B38E,bank_b3_b5_script_target_or_local_pointer,11,$00:11,general_livestock_visual_context:10 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:11,$00:23@$B38DFC $00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D $00:29@$B38E72 $00:31@$B38E94
$B3CB,bank_b3_b5_script_target_or_local_pointer,11,$04:11,npc_family_event_visual_context:6 general_livestock_visual_context:5,cc_object_visual_pointer_setup:11,$04:5@$B3CA98 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:7@$B3CBA5 $04:7@$B3CBA5
$B3DB,bank_b3_b5_script_target_or_local_pointer,11,$07:11,general_livestock_visual_context:11,cc_object_visual_pointer_setup:11,$07:1@$B3DB72 $07:1@$B3DB72 $07:1@$B3DB72 $07:1@$B3DB72 $07:1@$B3DB72 $07:2@$B3DBD5 $07:2@$B3DBD5 $07:2@$B3DBD5
$00E8,low_immediate_param_or_small_id,10,$01:2 $04:2 $06:2 $07:2 $08:2,general_livestock_visual_context:6 cow_livestock_visual_context:3 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:10,$01:2@$B39F3E $01:7@$B3A727 $04:1@$B3C6AE $04:6@$B3CB60 $06:1@$B3D59D $06:6@$B3D99B $07:1@$B3DB72 $07:6@$B3DFCE
$B3D9,bank_b3_b5_script_target_or_local_pointer,10,$06:10,general_livestock_visual_context:5 cow_livestock_visual_context:5,cc_object_visual_pointer_setup:10,$06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:6@$B3D99B $06:6@$B3D99B $06:6@$B3D99B
$B3E0,bank_b3_b5_script_target_or_local_pointer,10,$07:5 $08:5,npc_family_event_visual_context:5 general_livestock_visual_context:5,cc_object_visual_pointer_setup:10,$07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $08:0@$B3E0DF $08:0@$B3E0DF $08:0@$B3E0DF
