visual_or_object_ref,pass84_resolution_class,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,groups,example_entries
$B38C,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_chicken_poultry_B38C,manual_asset_table_decode_needed,low,25,chicken_poultry,$00:25,$00:0@$B38CC8 $00:1@$B38CD0 $00:2@$B38CDE $00:3@$B38CEB $00:86@$B390F3 $00:87@$B390F9 $00:88@$B390FF $00:89@$B39105
$8001,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_cow_livestock_8001,manual_asset_table_decode_needed,low,12,cow_livestock,$43:5 $44:5 $45:2,$43:0@$B58020 $43:1@$B584DA $43:2@$B58990 $43:3@$B58E4E $43:4@$B59313 $44:0@$B597F1 $44:1@$B599EB $44:2@$B59BE3
$B3DB,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B3DB,manual_asset_table_decode_needed,low,11,general_livestock,$07:11,$07:1@$B3DB72 $07:1@$B3DB72 $07:1@$B3DB72 $07:1@$B3DB72 $07:1@$B3DB72 $07:2@$B3DBD5 $07:2@$B3DBD5 $07:2@$B3DBD5
$812C,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_812C,manual_asset_table_decode_needed,low,9,general_livestock,$00:9,$00:16@$B38D8E $00:20@$B38DD1 $00:25@$B38E1E $00:40@$B38F43 $00:41@$B38F50 $00:42@$B38F5D $00:43@$B38F6A $00:75@$B390B1
$B3DF,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B3DF,manual_asset_table_decode_needed,low,9,general_livestock,$07:9,$07:5@$B3DF0F $07:5@$B3DF0F $07:5@$B3DF0F $07:5@$B3DF0F $07:5@$B3DF0F $07:6@$B3DFCE $07:6@$B3DFCE $07:6@$B3DFCE
$80FC,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_cow_livestock_80FC,manual_asset_table_decode_needed,low,7,cow_livestock,$00:7,$00:5@$B38D05 $00:12@$B38D5A $00:13@$B38D67 $00:14@$B38D74 $00:15@$B38D81 $00:26@$B38E33 $00:94@$B39123
$B3E1,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B3E1,manual_asset_table_decode_needed,low,6,general_livestock,$08:6,$08:0@$B3E0DF $08:0@$B3E0DF $08:1@$B3E1C9 $08:1@$B3E1C9 $08:1@$B3E1C9 $08:1@$B3E1C9
$B3A7,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_cow_livestock_B3A7,manual_asset_table_decode_needed,low,5,cow_livestock,$01:5,$01:7@$B3A727 $01:7@$B3A727 $01:7@$B3A727 $01:7@$B3A727 $01:7@$B3A727
$B3C6,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B3C6,manual_asset_table_decode_needed,low,5,general_livestock,$04:5,$04:1@$B3C6AE $04:1@$B3C6AE $04:1@$B3C6AE $04:1@$B3C6AE $04:1@$B3C6AE
$B5A2,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_npc_family_or_romance_B5A2,manual_asset_table_decode_needed,low,4,npc_family_or_romance,$45:4,$45:0@$B5A205 $45:0@$B5A205 $45:0@$B5A205 $45:0@$B5A205
$B59F,unresolved_asset_table_or_immediate,InlineAssetOrImmediate_general_livestock_B59F,manual_asset_table_decode_needed,low,3,general_livestock,$44:3,$44:3@$B59DD3 $44:3@$B59DD3 $44:3@$B59DD3
