visual_or_object_ref,pass83_ref_class,pass84_resolution_class,pass84_confidence,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,gobj_id_matches,anim_sequence_matches,source_address_matches,groups,domains,roles,example_entries,pass86_semantic_alias,pass86_resolution_class,pass86_alias_confidence,pass86_resolution_note
$B38D,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,context_source_address_not_final_gobj,medium,64,cow_livestock,,,$84B38D:<data>:src/code_banks/bank_84.asm:7075 | $B4B38D:<data>:src/data_banks/bank_B4.asm:862,$00:64,general_livestock_visual_context:56 cow_livestock_visual_context:6 dog_pet_visual_context:2,cc_object_visual_pointer_setup:63 cc_object_parameter_state_setup:1,$00:4@$B38CF8 $00:5@$B38D05 $00:6@$B38D12 $00:7@$B38D1F $00:8@$B38D2C $00:9@$B38D39 $00:12@$B38D5A $00:13@$B38D67,SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8001,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_cow_livestock_8001,manual_asset_table_decode_needed,low,12,cow_livestock,,,,$43:5 $44:5 $45:2,general_livestock_visual_context:6 dog_pet_visual_context:3 npc_family_event_visual_context:2 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:12,$43:0@$B58020 $43:1@$B584DA $43:2@$B58990 $43:3@$B58E4E $43:4@$B59313 $44:0@$B597F1 $44:1@$B599EB $44:2@$B59BE3,CCVisualPtr_cow_livestock_8001,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$B3E5,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B3E5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,12,cow_livestock,,,$84B3E5:<data>:src/code_banks/bank_84.asm:7118 | $A5B3E5:<data>:src/data_banks/bank_A5.asm:836,$08:12,npc_family_event_visual_context:8 cow_livestock_visual_context:4,cc_object_visual_pointer_setup:12,$08:5@$B3E4ED $08:5@$B3E4ED $08:5@$B3E4ED $08:6@$B3E560 $08:6@$B3E560 $08:6@$B3E560 $08:6@$B3E560 $08:7@$B3E59A,SourceLineRef_cow_livestock_B3E5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B38E,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B38E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,11,cow_livestock,,,$B5B38E:<data>:src/data_banks/bank_B5.asm:836,$00:11,general_livestock_visual_context:10 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:11,$00:23@$B38DFC $00:24@$B38E09 $00:25@$B38E1E $00:26@$B38E33 $00:27@$B38E48 $00:28@$B38E5D $00:29@$B38E72 $00:31@$B38E94,SourceLineRef_cow_livestock_B38E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3CB,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3CB_code_banks_bank_84,context_source_address_not_final_gobj,medium,11,general_livestock,,,$84B3CB:<data>:src/code_banks/bank_84.asm:7106,$04:11,npc_family_event_visual_context:6 general_livestock_visual_context:5,cc_object_visual_pointer_setup:11,$04:5@$B3CA98 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:6@$B3CB60 $04:7@$B3CBA5 $04:7@$B3CBA5,SourceLineRef_general_livestock_B3CB_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3D9,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_B3D9_code_banks_bank_84,context_source_address_not_final_gobj,medium,10,cow_livestock,,,$84B3D9:<data>:src/code_banks/bank_84.asm:7113,$06:10,general_livestock_visual_context:5 cow_livestock_visual_context:5,cc_object_visual_pointer_setup:10,$06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:5@$B3D90E $06:6@$B3D99B $06:6@$B3D99B $06:6@$B3D99B,SourceLineRef_cow_livestock_B3D9_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3E0,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3E0_code_banks_bank_84_data_banks_bank_86,context_source_address_not_final_gobj,medium,10,general_livestock,,,$84B3E0:<data>:src/code_banks/bank_84.asm:7116 | $86B3E0:<data>:src/data_banks/bank_86.asm:836 | $87B3E0:<data>:src/data_banks/bank_87.asm:835 | $88B3E0:<data>:src/data_banks/bank_88.asm:834 | $89B3E0:<data>:src/data_banks/bank_89.asm:834,$07:5 $08:5,npc_family_event_visual_context:5 general_livestock_visual_context:5,cc_object_visual_pointer_setup:10,$07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $07:7@$B3E037 $08:0@$B3E0DF $08:0@$B3E0DF $08:0@$B3E0DF,SourceLineRef_general_livestock_B3E0_code_banks_bank_84_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$812C,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_812C,manual_asset_table_decode_needed,low,9,general_livestock,,,,$00:9,general_livestock_visual_context:9,cc_object_visual_pointer_setup:8 cc_object_parameter_state_setup:1,$00:16@$B38D8E $00:20@$B38DD1 $00:25@$B38E1E $00:40@$B38F43 $00:41@$B38F50 $00:42@$B38F5D $00:43@$B38F6A $00:75@$B390B1,CCVisualPtr_general_livestock_812C,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$B3D6,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3D6_code_banks_bank_84,context_source_address_not_final_gobj,medium,9,general_livestock,,,$84B3D6:<data>:src/code_banks/bank_84.asm:7111,$06:9,general_livestock_visual_context:9,cc_object_visual_pointer_setup:9,$06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3 $06:2@$B3D5E3 $06:3@$B3D6CF $06:3@$B3D6CF $06:3@$B3D6CF $06:3@$B3D6CF,SourceLineRef_general_livestock_B3D6_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$86C0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86C0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,8,cow_livestock,,,$8686C0:<data>:src/data_banks/bank_86.asm:114 | $8786C0:<data>:src/data_banks/bank_87.asm:113 | $8886C0:<data>:src/data_banks/bank_88.asm:112 | $8986C0:<data>:src/data_banks/bank_89.asm:112 | $8A86C0:<data>:src/data_banks/bank_8A.asm:112,$00:8,general_livestock_visual_context:7 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:8,$00:3@$B38CEB $00:28@$B38E5D $00:37@$B38F03 $00:100@$B3916E $00:101@$B3917B $00:102@$B39188 $00:103@$B39195 $00:120@$B39212,SourceLineRef_cow_livestock_86C0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
