owner_scene_or_character,entries,percent
FamilyRomanceEvent,936,72.671
CowLivestockEvent,118,9.161
WeatherFarmWarning,38,2.950
ChickenPoultryEvent,36,2.795
FestivalEvent,31,2.407
ShippingStatus,31,2.407
GeneralLivestockEvent,20,1.553
ObjectVisualSetup,16,1.242
Maria,13,1.009
BabyChildFamily,9,0.699
WifeFamilyRoutine,8,0.621
AnimalLivestock,7,0.543
Ellen,5,0.388
BookcaseSignManual,5,0.388
CarpenterHouseUpgrade,3,0.233
Nina,3,0.233
Ann,3,0.233
ChurchPriest,3,0.233
BlueFeatherMarriageProposal,1,0.078
Eve,1,0.078
RomanceDialogue,1,0.078
