group,entry,target,pass87_owner_scene_or_character,pass87_owner_type,pass87_confidence,pass87_evidence,direct_dialog_count,direct_text_ids,direct_text_labels,text_preview_sample,pass81_entry_alias,group_semantic_name,pass82_owner_domain,pass82_scene_role,pass86_visual_name_confidence,pass86_primary_visual_semantic_names,pseudocode_preview
$00,0,$B38CC8,ChickenPoultryEvent,animal_livestock,domain_inferred,domain:animal_chicken_or_poultry,0,,,,EventScript_G00_Entry000_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_chicken_poultry_815C_code_banks_bank_81 | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$815C, bank_or_mode=$00) ; ChickenRelated() ; Jump(target=$B38CCC)"
$00,1,$B38CD0,ChickenPoultryEvent,animal_livestock,domain_inferred,domain:animal_chicken_or_poultry,0,,,,EventScript_G00_Entry001_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_chicken_poultry_8150_data_banks_bank_86_data_banks_bank_87 | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$8150, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8150, d=$10) ; SetCCObjectParam10() ; ChickenRelated() ; Jump(target=$B38CDA)"
$00,2,$B38CDE,ChickenPoultryEvent,animal_livestock,domain_inferred,domain:animal_chicken_or_poultry,0,,,,EventScript_G00_Entry002_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_chicken_poultry_8144_code_banks_bank_81_data_banks_bank_AD | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$8144, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8144, d=$10) ; ChickenRelated() ; Jump(target=$B38CE7)"
$00,3,$B38CEB,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry003_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_cow_livestock_86C0_data_banks_bank_86_data_banks_bank_87 | SourceLineRef_cow_livestock_86CC_code_banks_bank_81_data_banks_bank_B8 | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$86C0, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86CC, d=$10) ; CowRelated() ; Jump(target=$B38CF4)"
$00,4,$B38CF8,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry004_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_86A8_code_banks_bank_81_data_banks_bank_B3 | SourceLineRef_cow_livestock_86B4_data_banks_bank_AD_data_banks_bank_B9 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$86A8, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86B4, d=$10) ; CowRelated() ; Jump(target=$B38D01)"
$00,5,$B38D05,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry005_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_cow_livestock_8108_data_banks_bank_B3_data_banks_bank_B6 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4 | CCVisualPtr_cow_livestock_80FC,"SetCCObjectVisual(ptr=$80FC, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8108, d=$10) ; CowRelated() ; Jump(target=$B38D0E)"
$00,6,$B38D12,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry006_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_8708_code_banks_bank_81_data_banks_bank_B3 | SourceLineRef_cow_livestock_8714_data_banks_bank_AD_data_banks_bank_B9 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$8708, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8714, d=$10) ; CowRelated() ; Jump(target=$B38D1B)"
$00,7,$B38D1F,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry007_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_86D8_data_banks_bank_B3 | SourceLineRef_cow_livestock_86E4_data_banks_bank_AD_data_banks_bank_B9 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$86D8, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86E4, d=$10) ; CowRelated() ; Jump(target=$B38D28)"
$00,8,$B38D2C,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry008_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_86F0_code_banks_bank_81_data_banks_bank_86 | SourceLineRef_cow_livestock_86FC_code_banks_bank_81 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$86F0, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86FC, d=$10) ; CowRelated() ; Jump(target=$B38D35)"
$00,9,$B38D39,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry009_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_872C_code_banks_bank_81_data_banks_bank_B6 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$872C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$872C, d=$10) ; CowRelated() ; Jump(target=$B38D42)"
