group,entries,exact_text_anchored_owner,domain_specific_owner_inferred,structural_owner_lane,dominant_tier
$00,136,3,117,16,domain_specific_owner_inferred
$01,16,9,7,0,exact_text_anchored_owner
$02,16,5,0,11,structural_owner_lane
$03,16,3,0,13,structural_owner_lane
$04,16,8,8,0,exact_text_anchored_owner
$05,16,1,0,15,structural_owner_lane
$06,16,7,9,0,domain_specific_owner_inferred
$07,16,8,8,0,exact_text_anchored_owner
$08,16,7,9,0,domain_specific_owner_inferred
$09,16,0,0,16,structural_owner_lane
$0A,16,0,0,16,structural_owner_lane
$0B,16,2,1,13,structural_owner_lane
$0C,16,0,0,16,structural_owner_lane
$0D,16,0,0,16,structural_owner_lane
$0E,16,0,0,16,structural_owner_lane
$0F,16,0,0,16,structural_owner_lane
$10,16,0,0,16,structural_owner_lane
$11,16,0,0,16,structural_owner_lane
$12,16,0,0,16,structural_owner_lane
$13,16,0,0,16,structural_owner_lane
$14,16,0,0,16,structural_owner_lane
$15,16,1,0,15,structural_owner_lane
$16,16,0,0,16,structural_owner_lane
$17,16,0,0,16,structural_owner_lane
$18,16,0,0,16,structural_owner_lane
$19,16,0,0,16,structural_owner_lane
$1A,16,0,0,16,structural_owner_lane
$1B,16,0,0,16,structural_owner_lane
$1C,16,0,0,16,structural_owner_lane
$1D,16,0,0,16,structural_owner_lane
$1E,16,0,0,16,structural_owner_lane
$1F,16,0,16,0,domain_specific_owner_inferred
$20,16,0,0,16,structural_owner_lane
$21,16,0,0,16,structural_owner_lane
$22,16,0,0,16,structural_owner_lane
$23,16,0,0,16,structural_owner_lane
$24,16,3,13,0,domain_specific_owner_inferred
$25,16,0,0,16,structural_owner_lane
$26,16,0,1,15,structural_owner_lane
$27,16,0,0,16,structural_owner_lane
$28,16,0,0,16,structural_owner_lane
$29,16,0,0,16,structural_owner_lane
$2A,16,0,1,15,structural_owner_lane
$2B,16,0,1,15,structural_owner_lane
$2C,16,0,1,15,structural_owner_lane
$2D,16,0,1,15,structural_owner_lane
$2E,16,0,0,16,structural_owner_lane
$2F,16,0,0,16,structural_owner_lane
$30,16,0,16,0,domain_specific_owner_inferred
$31,16,0,0,16,structural_owner_lane
$32,16,0,0,16,structural_owner_lane
$33,16,0,0,16,structural_owner_lane
$34,16,0,15,1,domain_specific_owner_inferred
$35,16,0,0,16,structural_owner_lane
$36,16,0,0,16,structural_owner_lane
$37,16,0,0,16,structural_owner_lane
$38,16,0,16,0,domain_specific_owner_inferred
$39,16,0,0,16,structural_owner_lane
$3A,16,0,0,16,structural_owner_lane
$3B,16,0,0,16,structural_owner_lane
$3C,16,0,0,16,structural_owner_lane
$3D,16,0,0,16,structural_owner_lane
$3E,16,0,0,16,structural_owner_lane
$3F,16,0,0,16,structural_owner_lane
$40,16,0,0,16,structural_owner_lane
$41,16,0,0,16,structural_owner_lane
$42,16,0,0,16,structural_owner_lane
$43,16,5,0,11,structural_owner_lane
$44,16,5,11,0,domain_specific_owner_inferred
$45,16,0,2,14,structural_owner_lane
$46,16,1,15,0,domain_specific_owner_inferred
$47,32,0,0,32,structural_owner_lane
