group,entry,target,pass87_owner_scene_or_character,pass87_owner_type,pass87_confidence,pass87_evidence,direct_dialog_count,direct_text_ids,direct_text_labels,text_preview_sample,pass81_entry_alias,group_semantic_name,pass82_owner_domain,pass82_scene_role,pass86_visual_name_confidence,pass86_primary_visual_semantic_names,pseudocode_preview,pass88_precision_tier,pass88_refined_owner_lane,pass88_manual_target_type,pass88_recommended_next_action,pass88_evidence,pass89_final_name_candidate,pass89_candidate_status,pass89_confirmation_level,pass89_manual_confirmation_action,pass89_manual_prototype_key,pass89_final_alias_line
$00,0,$B38CC8,ChickenPoultryEvent,animal_livestock,domain_inferred,domain:animal_chicken_or_poultry,0,,,,EventScript_G00_Entry000_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_chicken_poultry_815C_code_banks_bank_81 | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$815C, bank_or_mode=$00) ; ChickenRelated() ; Jump(target=$B38CCC)",domain_specific_owner_inferred,ChickenPoultryEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_chicken_or_poultry;visual=contextual_resolved_no_low_manual_refs,ChickenPoultryEvent_VisualObjectSetup_Entry000,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::ChickenPoultryEvent::VisualObjectSetup,$B38CC8 => ChickenPoultryEvent_VisualObjectSetup_Entry000
$00,1,$B38CD0,ChickenPoultryEvent,animal_livestock,domain_inferred,domain:animal_chicken_or_poultry,0,,,,EventScript_G00_Entry001_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_chicken_poultry_8150_data_banks_bank_86_data_banks_bank_87 | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$8150, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8150, d=$10) ; SetCCObjectParam10() ; ChickenRelated() ; Jump(target=$B38CDA)",domain_specific_owner_inferred,ChickenPoultryEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_chicken_or_poultry;visual=contextual_resolved_no_low_manual_refs,ChickenPoultryEvent_VisualObjectSetup_Entry001,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::ChickenPoultryEvent::VisualObjectSetup,$B38CD0 => ChickenPoultryEvent_VisualObjectSetup_Entry001
$00,2,$B38CDE,ChickenPoultryEvent,animal_livestock,domain_inferred,domain:animal_chicken_or_poultry,0,,,,EventScript_G00_Entry002_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_chicken_or_poultry,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_chicken_poultry_8144_code_banks_bank_81_data_banks_bank_AD | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$8144, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8144, d=$10) ; ChickenRelated() ; Jump(target=$B38CE7)",domain_specific_owner_inferred,ChickenPoultryEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_chicken_or_poultry;visual=contextual_resolved_no_low_manual_refs,ChickenPoultryEvent_VisualObjectSetup_Entry002,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::ChickenPoultryEvent::VisualObjectSetup,$B38CDE => ChickenPoultryEvent_VisualObjectSetup_Entry002
$00,3,$B38CEB,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry003_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_cow_livestock_86C0_data_banks_bank_86_data_banks_bank_87 | SourceLineRef_cow_livestock_86CC_code_banks_bank_81_data_banks_bank_B8 | EventLocalAnchor_chicken_poultry_B38C,"SetCCObjectVisual(ptr=$86C0, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86CC, d=$10) ; CowRelated() ; Jump(target=$B38CF4)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=contextual_resolved_no_low_manual_refs,CowLivestockEvent_VisualObjectSetup_Entry003,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38CEB => CowLivestockEvent_VisualObjectSetup_Entry003
$00,4,$B38CF8,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry004_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_86A8_code_banks_bank_81_data_banks_bank_B3 | SourceLineRef_cow_livestock_86B4_data_banks_bank_AD_data_banks_bank_B9 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$86A8, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86B4, d=$10) ; CowRelated() ; Jump(target=$B38D01)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=medium_context_source_or_param_evidence,CowLivestockEvent_VisualObjectSetup_Entry004,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38CF8 => CowLivestockEvent_VisualObjectSetup_Entry004
$00,5,$B38D05,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry005_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,contextual_resolved_no_low_manual_refs,SourceLineRef_cow_livestock_8108_data_banks_bank_B3_data_banks_bank_B6 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4 | CCVisualPtr_cow_livestock_80FC,"SetCCObjectVisual(ptr=$80FC, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8108, d=$10) ; CowRelated() ; Jump(target=$B38D0E)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=contextual_resolved_no_low_manual_refs,CowLivestockEvent_VisualObjectSetup_Entry005,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38D05 => CowLivestockEvent_VisualObjectSetup_Entry005
$00,6,$B38D12,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry006_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_8708_code_banks_bank_81_data_banks_bank_B3 | SourceLineRef_cow_livestock_8714_data_banks_bank_AD_data_banks_bank_B9 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$8708, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8714, d=$10) ; CowRelated() ; Jump(target=$B38D1B)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=medium_context_source_or_param_evidence,CowLivestockEvent_VisualObjectSetup_Entry006,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38D12 => CowLivestockEvent_VisualObjectSetup_Entry006
$00,7,$B38D1F,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry007_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_86D8_data_banks_bank_B3 | SourceLineRef_cow_livestock_86E4_data_banks_bank_AD_data_banks_bank_B9 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$86D8, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86E4, d=$10) ; CowRelated() ; Jump(target=$B38D28)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=medium_context_source_or_param_evidence,CowLivestockEvent_VisualObjectSetup_Entry007,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38D1F => CowLivestockEvent_VisualObjectSetup_Entry007
$00,8,$B38D2C,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry008_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_86F0_code_banks_bank_81_data_banks_bank_86 | SourceLineRef_cow_livestock_86FC_code_banks_bank_81 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$86F0, bank_or_mode=$00) ; SetCCObjectParam5(a=$02, ptr=$86FC, d=$10) ; CowRelated() ; Jump(target=$B38D35)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=medium_context_source_or_param_evidence,CowLivestockEvent_VisualObjectSetup_Entry008,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38D2C => CowLivestockEvent_VisualObjectSetup_Entry008
$00,9,$B38D39,CowLivestockEvent,animal_livestock,domain_inferred,domain:cow_livestock,0,,,,EventScript_G00_Entry009_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,visual_object_setup_or_spawn,medium_context_source_or_param_evidence,SourceLineRef_cow_livestock_872C_code_banks_bank_81_data_banks_bank_B6 | SourceLineRef_cow_livestock_B38D_code_banks_bank_84_data_banks_bank_B4,"SetCCObjectVisual(ptr=$872C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$872C, d=$10) ; CowRelated() ; Jump(target=$B38D42)",domain_specific_owner_inferred,CowLivestockEvent,needs_optional_exact_scene_name,verify_against_map_npc_or_sprite_table,owner_type=animal_livestock;domain=animal_cow_livestock;visual=medium_context_source_or_param_evidence,CowLivestockEvent_VisualObjectSetup_Entry009,domain_inferred_final_candidate,medium,verify_against_map_npc_sprite_schedule_table,domain::CowLivestockEvent::VisualObjectSetup,$B38D39 => CowLivestockEvent_VisualObjectSetup_Entry009
