group,total,domain_inferred_final_candidate,structural_lane_final_candidate,confirmed_text_or_direct_anchor_candidate,candidate_coverage_percent
$00,136,117,16,3,100.000
$01,16,7,0,9,100.000
$02,16,0,11,5,100.000
$03,16,0,13,3,100.000
$04,16,8,0,8,100.000
$05,16,0,15,1,100.000
$06,16,9,0,7,100.000
$07,16,8,0,8,100.000
$08,16,9,0,7,100.000
$09,16,0,16,0,100.000
$0A,16,0,16,0,100.000
$0B,16,1,13,2,100.000
$0C,16,0,16,0,100.000
$0D,16,0,16,0,100.000
$0E,16,0,16,0,100.000
$0F,16,0,16,0,100.000
$10,16,0,16,0,100.000
$11,16,0,16,0,100.000
$12,16,0,16,0,100.000
$13,16,0,16,0,100.000
$14,16,0,16,0,100.000
$15,16,0,15,1,100.000
$16,16,0,16,0,100.000
$17,16,0,16,0,100.000
$18,16,0,16,0,100.000
$19,16,0,16,0,100.000
$1A,16,0,16,0,100.000
$1B,16,0,16,0,100.000
$1C,16,0,16,0,100.000
$1D,16,0,16,0,100.000
$1E,16,0,16,0,100.000
$1F,16,16,0,0,100.000
$20,16,0,16,0,100.000
$21,16,0,16,0,100.000
$22,16,0,16,0,100.000
$23,16,0,16,0,100.000
$24,16,13,0,3,100.000
$25,16,0,16,0,100.000
$26,16,1,15,0,100.000
$27,16,0,16,0,100.000
$28,16,0,16,0,100.000
$29,16,0,16,0,100.000
$2A,16,1,15,0,100.000
$2B,16,1,15,0,100.000
$2C,16,1,15,0,100.000
$2D,16,1,15,0,100.000
$2E,16,0,16,0,100.000
$2F,16,0,16,0,100.000
$30,16,16,0,0,100.000
$31,16,0,16,0,100.000
$32,16,0,16,0,100.000
$33,16,0,16,0,100.000
$34,16,15,1,0,100.000
$35,16,0,16,0,100.000
$36,16,0,16,0,100.000
$37,16,0,16,0,100.000
$38,16,16,0,0,100.000
$39,16,0,16,0,100.000
$3A,16,0,16,0,100.000
$3B,16,0,16,0,100.000
$3C,16,0,16,0,100.000
$3D,16,0,16,0,100.000
$3E,16,0,16,0,100.000
$3F,16,0,16,0,100.000
$40,16,0,16,0,100.000
$41,16,0,16,0,100.000
$42,16,0,16,0,100.000
$43,16,0,11,5,100.000
$44,16,11,0,5,100.000
$45,16,2,14,0,100.000
$46,16,15,0,1,100.000
$47,32,0,32,0,100.000
