owner_type,total,domain_inferred_final_candidate,structural_lane_final_candidate,confirmed_text_or_direct_anchor_candidate
family_romance_general,936,0,936,0
animal_livestock,181,174,0,7
farm_crop_weather,33,33,0,0
festival_event,31,30,0,1
shipping_or_status,31,31,0,0
bachelorette_exact,25,0,0,25
object_visual_setup,16,0,16,0
family_child,9,0,0,9
wife_family,8,0,0,8
sign_manual_bookshelf,5,0,0,5
weather_farm_warning,5,0,0,5
carpenter_house_upgrade,3,0,0,3
church_priest,3,0,0,3
romance_general,1,0,0,1
romance_marriage_item,1,0,0,1
